UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,C6973,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
57IN00001,1948101638,48,2,U1638,0,68,,10,,,,,0,,,,,,,,122,135,3,07,,,,0923,,,,,,,,,9,,1957,9.0
57IN00002,1950101643,50,2,U1643,0,68,,10,,,,,8,,,,,,,,144,160,2,11,,,,0926,,,,,,,,,7,,1957,7.0
57IN00003,1951101644,51,2,U1644,0,68,,10,,,,,7,,,,469,,,,136,170,,,,,,,,,,,,,1994,2,6,,1957,6.0
57IN00004,1951101645,51,2,U1645,0,68,,10,,,,,7,,,,,,,,123,150,2,10,,,,0926,,,,,,,,,6,,1957,6.0
57IN00005,1951101646,51,2,U1646,0,68,,10,,,,,7,,,,,,,,135,168,3,92,,,,0923,,,,,,,,,6,,1957,6.0
57IN00006,1951101647,51,2,U1647,0,68,,10,,,,,7,,,,468,,,,133,153,,,,,,,,,,,,,1575,2,6,,1957,6.0
57IN00007,1952101650,52,2,U1650,0,68,,10,,,,,6,,,,631,,,,107,148,,,,,,,,,,,,,1857,2,5,,1957,5.0
57IN00008,1952101651,52,2,U1651,0,68,,10,,,,,6,,,,408,,,,116,133,,,,,,,,,,,,,3087,2,5,,1957,5.0
57IN00009,1952101653,52,2,U1653,0,68,,10,,,,,6,,,,651,,,,110,140,,,,,,,,,,,,,3112,2,5,,1957,5.0
57IN00010,1952101655,52,2,U1655,0,68,,10,,,,,6,,,,328,,,,134,176,,,,,,,,,,,,,4657,1,5,,1957,5.0
57IN00011,1952101658,52,2,U1658,0,68,,10,,,,,6,,,,551,,,,114,150,,,,,,,,,,,,,4377,1,5,,1957,5.0
