UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,C14,SEA,PD,RGRP,ELG,STM,TBR,ADAM,JAW,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,CAUSE,XVET,YRREC
76IN00001,1970370001,70,2,70001,,,29,,1,,,,30,,70,,,, 21,,, 1,116,122,,70,,,37,,,,000008,5,,000609,,,1976
76IN00002,1969340008,69,2,40008,,,15,,1,,,,02,,80,,,, 16,,,02,136,138,,76,,,34,,,,000004,,,065604,,,1976
76IN00003,1969390011,69,2,90011,,,09,,1,,,,51,,,,,, 20,,,02,118,144,6,75,,,39,1026,,,000195,,,329601,40,,1976
76IN00004,1969380012,69,2,80012,,,22,,1,3,,,08,,,,,,,,,11,151,130,,,,,38,,,,000008,,,052504,,,1976
76IN00005,1969380014,69,2,80014,,,22,,1,3,,,08,,,,,,,,, 2,166,156,3,,,,38,1122,,,000008,3,,101104,93,,1976
76IN00006,1969380016,69,2,80016,,,22,,1,,,,08,,80,,,, 19,,,02,166,160,,75,,,38,,,,000008,,,075904,,,1976
76IN00007,1969390018,69,2,90018,, 2,09,,1,,,,51,,80,,,, 12,,,01,104,128,,73,,,39,,,,000195,,,325901,,,1976
76IN00008,1969340018,69,2,40018,,,15,,1,,,,02,,80,,,, 14,,,04,178,170,,76,,,34,,,,000004,,,109104,,,1976
76IN00009,1969380019,69,2,80019,, 2,23,,1,,,,08,,80,,,, 08,,,02,164,168,,73,,,38,,,,000008,,,095804,,,1976
76IN00010,1969390021,69,2,90021,,,09,,1,,,,51,,80,,,, 24,,,02,106,120,,70,,,39,,,,000195,,,336601,,,1976
76IN00011,1969380031,69,2,80031,,,23,,1,,,,08,,80,,,, 23,,,02,186,188,,71,,,38,,,,000008,,,109404,,,1976
76IN00012,1970390041,70,2,90041,,,09,,1,3,,,51,,,,,,,,,03,114,112,,,,,39,,,,000095,,,430801,,,1976
76IN00013,1970390043,70,2,90043,, 1,09,,1,,,,51,,70,,,, 11,,,03,143,152,,74,,,39,,,,000095,,,379001,,,1976
76IN00014,1969340043,69,2,40043,,,15,,1,,,,02,,80,,,, 16,,,01,181,190,,76,,,34,,,,000004,,,068504,,,1976
76IN00015,1969380047,69,2,80047,,,23,,1,,,,08,,,,,,,,,,,,6,,,,38,0414,,,000008,,,103604,43,-,1976
76IN00016,1969380049,69,2,80049,, 1,23,,1,,,,08,,80,,,, 05,,,04,137,148,,74,,,38,,,,000008,,,101504,,,1976
76IN00017,1969380054,69,2,80054,,,23,,1,,,,08,,80,,,, 23,,,04,185,170,,70,,,38,,,,000008,,,079304,,,1976
76IN00018,1970390057,70,2,90057,,,09,,1,,,,51,,,,,,,,,,,,6,,,,39,0511,,,000095,,,393601,24,,1976
76IN00019,1969380058,69,2,80058,, 1,23,,1,,,,08,,80,,,, 07,,,03,157,152,,74,,,38,,,,000008,,,349301,,,1976
76IN00020,1970390059,70,2,90059,,,09,,1,,,,51,,,,,,,,,,,,6,,,,39,0330,,,000095,,,423901,01,,1976
76IN00021,1969380060,69,2,80060,, 1,22,,1,,,,08,,,,,, 05,,,03,177,162,6,,,,38,1015,,,000008,,,089404,01,,1976
76IN00022,1970390066,70,2,90066,,,09,,1,,,,51,,70,,,, 20,,,03,128,138,,75,,,39,,,,000095,,,400201,,,1976
76IN00023,1969310073,69,2,10073,,,11,,1,,,,07,,80,,,, 13,,,02,123,126,,76,,,31,,,,000001,,,288001,,,1976
76IN00024,1969340082,69,2,40082,,,15,,2,,,,02,,75,,,, 15,,,02,166,160,,76,,,34,,,,000004,,,084604,,,1976
76IN00025,1969340084,69,2,40084,,,15,,2,,,,02,,75,,,, 13,,,04,144,152,,76,,,34,,,,000004,,,051404,,,1976
76IN00026,1970390085,70,2,90085,,,09,,1,,,,51,,70,,,, 25,,,03,124,138,,71,,,39,,,,000095,,,384601,,,1976
76IN00027,1970390089,70,2,90089,, 2,09,,1,,,,51,,70,,,, 10,,,03,157,162,,73,,,39,,,,000095,,,360201,,,1976
76IN00028,1970340094,70,2,40094,,,16,,1,,,,02,,70,,,, 14,,,02,169,145,,76,,,34,,,,004504,,,072404,,,1976
76IN00029,1969310096,69,2,10096,,,10,,2,,,,07,,75,,,, 14,,,03,141,142,,76,,,31,,,,000001,,,370501,,,1976
76IN00030,1970390097,70,2,90097,,,09,,1,,,,51,,70,,,, 24,,,03,146,151,,70,,,39,,,,000095,,,419901,,,1976
76IN00031,1969380099,69,2,80099,,,22,,1,,,,08,,80,,,, 19,,,02,156,152,,75,,,38,,,,000008,,,049604,,,1976
76IN00032,1970390102,70,2,90102,,,09,,1,,,,51,,,,,,,,,,,,7,,,,39,0528,,,000095,,,386501,97,,1976
76IN00033,1969380103,69,2,80103,,,22,,1,,,,08,,,,,,,,,,,,7,,,,38,0528,,,000008,,,101704,97,,1976
76IN00034,1970390104,70,2,90104,,,09,,1,,,,51,,,,,, 24,,,02,99,105,5,,,,39,1117,,,000095,,,417201,95,,1976
76IN00035,1969380105,69,2,80105,,,23,,1,,,,08,,80,,,, 23,,,02,180,167,,71,,,38,,,,000008,,,083104,,,1976
76IN00036,1969380106,69,2,80106,,,23,,1,,,,08,,80,,,, 19,,,02,146,167,,75,,,38,,,,000008,,,055704,,,1976
76IN00037,1970390107,70,2,90107,,,09,,1,,,,51,,70,,,, 25,,,02,125,146,,71,,,39,,,,000095,,,368401,,,1976
76IN00038,1970390111,70,2,90111,, 1,09,,1,,,,51,,70,,,, 09,,,03,106,116,,74,,,39,,,,000095,,,389401,,,1976
76IN00039,1970340114,70,2,40114,,,26,,1,,,,02,,70,,,, 15,,,03,211,183,,76,,,34,,,,000004,,,329804,,,1976
76IN00040,1970390116,70,2,90116,, 2,09,,1,,,,51,,70,,,, 12,,,02,137,142,,73,,,39,,,,000095,,,392801,,,1976
76IN00041,1970340119,70,2,40119,,,16,,1,3,,,02,,,,,,,,,02,108,100,5,,,,34,1027,,,004504,,,059404,95,,1976
76IN00042,1970390120,70,2,90120,,,09,,1,,,,51,,70,,,, 20,,,02,168,163,,75,,,39,,,,000095,,,402501,,,1976
76IN00043,1970340123,70,2,40123,,,15,,1,,,,02,,70,,,, 16,,,04,169,174,,76,,,34,,,,000904,,,108804,,,1976
76IN00044,1969310127,69,2,10127,,,10,,2,,,,07,,,,,,,,,,,,6,,,,31,0405,,,000001,,,395801,50,-,1976
76IN00045,1970390131,70,2,90131,,,09,,1,3,,,51,,,,,,,,,02,104,112,,,,,39,,,,000095,,,392901,,,1976
76IN00046,1970390134,70,2,90134,,,09,,1,,,,51,,70,,,, 20,,,03,174,158,,75,,,39,,,,000095,,,435101,,,1976
76IN00047,1970390136,70,2,90136,, 1,09,,1,,,,51,,70,,,, 11,,,03,156,150,,74,,,39,,,,000095,,,385201,,,1976
76IN00048,1970340137,70,2,40137,,,26,,1,,,,02,,70,,,, 13,,,02,186,196,,76,,,34,,,,000004,,,006204,,,1976
76IN00049,1970340138,70,2,40138,,,15,,1,,,,02,,70,,,, 15,,,03,139,142,,76,,,34,,,,000904,,,070904,,,1976
76IN00050,1970390138,70,2,90138,,,09,,1,,,,51,,,,,,,,,,,,6,,,,39,0425,,,000095,,,425201,01,,1976
76IN00051,1970390155,70,2,90155,, 2,09,,1,,,,51,,70,,,, 10,,,02,180,160,,73,,,39,,,,000095,,,375801,,,1976
76IN00052,1969380156,69,2,80156,,,22,,2,,,,08,,75,,,, 19,,, 2,183,189,,75,,,38,,,,000008,,,108204,,,1976
76IN00053,1970390157,70,2,90157,, 1,09,,1,,,,51,,70,,,, 09,,,02,127,128,,74,,,39,,,,000095,,,320101,,,1976
76IN00054,1970380162,70,2,80162,,,23,,1,,,,08,,,,,,,,,,,,6,,,,38,0503,,,004208,,,101504,01,,1976
76IN00055,1970380165,70,2,80165,,,27,,1,,,,08,,70,,,, 19,,,02,178,136,,75,,,38,,,,000008,,,329104,,,1976
76IN00056,1970390165,70,2,90165,,,09,,1,,,,51,,70,,,, 24,,,02,143,174,,70,,,39,,,,000095,,,407501,,,1976
76IN00057,1970390169,70,2,90169,,,09,,1,,,,51,,70,,,, 25,,, 5,153,158,,71,,,39,,,,000095,1,,416401,,,1976
76IN00058,1970390175,70,2,90175,,,09,,1,,,,51,,70,,,, 25,,,02,137,150,,71,,,39,,,,000095,,,374901,,,1976
76IN00059,1970380177,70,2,80177,,,22,,1,,,,08,,70,,,, 23,,,02,172,158,,71,,,38,,,,000708,,,068404,,,1976
76IN00060,1970340178,70,2,40178,,,16,,1,,,,02,,70,,,, 14,,,05,155,152,,76,,,34,,,,004504,,,093204,,,1976
76IN00061,1970380179,70,2,80179,, 2,22,,1,,,,08,,70,,,, 08,,,02,151,144,,73,,,38,,,,000708,,,107104,,,1976
76IN00062,1970380191,70,2,80191,,,23,,1,,,,08,,,,,,,,,,,,7,,,,38,0528,,,004208,,,083104,97,,1976
76IN00063,1970390202,70,2,90202,,,09,,2,,,,51,,,,,,,,,,110,,7,,,,39,0915,,,000095,,,012401,97,,1976
76IN00064,1970390203,70,2,90203,,,09,,2,,,,51,,,,,,,,,,,,6,,,,39,0320,,,000095,,,012401,01,,1976
76IN00065,1970380212,70,2,80212,,,23,,1,3,,,08,,,,,,,,,11,156,142,,,,,38,,,,004208,,,048004,,,1976
76IN00066,1970380235,70,2,80235,, 1,23,,1,,,,08,,70,,,, 05,,,02,140,132,,74,,,38,,,,004208,,,113004,,,1976
76IN00067,1970340238,70,2,40238,,,05,,2,3,,,02,,,,,,,,, 2,127,112,5,,,,34,1117,,,000004,3,,048304,95,,1976
76IN00068,1970380262,70,2,80262,, 1,11,,2,,,,08,,65,,,, 07,,,08,124,130,,74,,,38,,,,000008,,,012908,,,1976
76IN00069,1970380277,70,2,80277,,,11,,2,,,,08,,65,,,, 23,,,01,135,122,,71,,,38,,,,000008,,,005808,,,1976
76IN00070,1970380280,70,2,80280,, 2,12,,2,,,,08,,65,,,, 06,,,03,138,135,,73,,,38,,,,000008,,,001408,,,1976
76IN00071,1971010503,71,2,P0503,, 2,22,,1,,,,30,,60,,,, 04,,,02,158,156,,73,,,01,,,,017608,,,008909,,,1976
76IN00072,1971010519,71,2,P0519,, 1,10,,1,,,,51,,60,,,, 11,,,02,111,129,,74,,,01,,,,000695,,,414401,,,1976
76IN00073,1971010525,71,2,P0525,, 1,22,,1,,,,30,,60,,,, 01,,,03,149,149,,74,,,01,,,,017608,,,004309,,,1976
76IN00074,1971010538,71,2,P0538,,,21,,1,,,,30,,60,,,, 22,,,03,156,146,,70,,,01,,,,016308,,,007109,,,1976
76IN00075,1971010552,71,2,P0552,,,21,,1,,,,30,,60,,,, 22,,,03,117,115,,71,,,01,,,,016308,,,001709,,,1976
76IN00076,1971010583,71,2,P0583,,,16,,1,,,,02,,60,,,, 16,,,03,117,127,,76,,,01,,,,011804,,,065604,,,1976
76IN00077,1971010585,71,2,P0585,, 1,22,,1,,,,30,,60,,,, 03,,,03,146,134,,74,,,01,,,,017608,,,011809,,,1976
76IN00078,1971010595,71,2,P0595,, 2,23,,1,,,,30,,60,,,, 04,,,02,130,135,,73,,,01,,,,020908,,,002309,,,1976
76IN00079,1971010608,71,2,P0608,,,09,,1,,,,51,,,,,,,,,,153,,7,,,,01,0915,,,000395,,,381301,97,,1976
76IN00080,1971010621,71,2,P0621,,,21,,1,,,,30,,,,,,,,,,112,,6,,,,01,0820,,,016308,,,012009,01,,1976
76IN00081,1971010634,71,2,P0634,,,10,,1,,,,51,,60,,,, 20,,,02,116,136,,75,,,01,,,,000695,,,374901,,,1976
76IN00082,1971010639,71,2,P0639,,,09,,1,,,,51,,60,,,, 20,,,02,124,145,,75,,,01,,,,000395,,,349301,,,1976
76IN00083,1971010645,71,2,P0645,,,22,,1,,,,30,,60,,,, 26,,,07,127,129,,71,,,01,,,,017608,,,013109,,,1976
76IN00084,1971010661,71,2,P0661,,,17,,1,,,,02,,,,,,,,,,169,,7,,,,01,0915,,,000904,1,,059404,97,,1976
76IN00085,1971010696,71,2,P0696,,,23,,1,,,,08,,60,,,, 23,,,02,131,136,,71,,,01,,,,020908,,,014808,,,1976
76IN00086,1971010697,71,2,P0697,,,09,,1,,,,51,,60,,,, 20,,,02,171,160,,75,,,01,,,,000395,,,424701,,,1976
76IN00087,1971010704,71,2,P0704,,,21,,1,,,,30,,60,,,, 21,,,02,166,159,,70,,,01,,,,016308,,,005909,,,1976
76IN00088,1971010715,71,2,P0715,,,17,,1,,,,02,,60,,,, 13,,,04,182,176,,76,,,01,,,,000904,,,063904,,,1976
76IN00089,1971010730,71,2,P0730,, 2,09,,1,,,,51,,60,,,, 10,,,05,135,145,,73,,,01,,,,000395,,,428401,,,1976
76IN00090,1971010733,71,2,P0733,,,17,,1,,,,02,,60,,,, 15,,,02,163,163,,76,,,01,,,,000904,,,072404,,,1976
76IN00091,1971010737,71,2,P0737,, 2,09,,1,,,,51,,60,,,, 20,,,02,129,137,,75,,,01,,,,000395,,,345701,,,1976
76IN00092,1971010756,71,2,P0756,,,10,,1,,,,51,,60,,,, 25,,,01,134,140,,71,,,01,,,,000695,,,425201,,,1976
76IN00093,1971010758,71,2,P0758,,,10,,1,,,,51,,60,,,, 24,,,02,167,152,,70,,,01,,,,000695,,,431601,,,1976
76IN00094,1971010783,71,2,P0783,, 2,22,,1,,,,08,,60,,,, 06,,,02,144,133,,73,,,01,,,,017608,,,023508,,,1976
76IN00095,1971010814,71,2,P0814,, 1,23,,1,,,,30,,60,,,, 03,,,02,140,162,,74,,,01,,,,020908,,,005809,,,1976
76IN00096,1971010832,71,2,P0832,,,23,,1,,,,30,,60,,,, 17,,,02,103,114,,75,,,01,,,,020908,,,007009,,,1976
76IN00097,1971010833,71,2,P0833,,,37,,1,3,,,08,,,,,,,,,02,141,154,,,,,01,,,,019608,,,001908,,,1976
76IN00098,1971010855,71,2,P0855,, 1,10,,1,,,,51,,,,,, 09,,,02,144,144,6,,,,01,1015,,,000695,,,436001,01,,1976
76IN00099,1971010908,71,2,P0908,,,16,,1,,,,02,,60,,,, 14,,,01,149,155,,76,,,01,,,,011804,,,104504,,,1976
76IN00100,1971010911,71,2,P0911,, 2,09,,1,,,,51,,60,,,, 12,,,02,146,143,,73,,,01,,,,000395,,,432501,,,1976
76IN00101,1971010943,71,2,P0943,,,22,,1,,,,30,,60,,,, 18,,,02,123,126,,75,,,01,,,,017608,,,001109,,,1976
76IN00102,1971010944,71,2,P0944,,,10,,1,,,,51,,60,,,, 24,,,04,155,141,,70,,,01,,,,000695,,,429101,,,1976
76IN00103,1971010997,71,2,P0997,,,23,,1,,,,08,,60,,,, 23,,,02,126,150,,70,,,01,,,,020908,,,022008,,,1976
76IN00104,1971011110,71,2,P1110,,,17,,1,,,,02,,,,,,,,,,157,,7,,,,01,0915,,,000904,,,101004,97,,1976
76IN00105,1971011167,71,2,P1167,,,06,,2,3,,,08,,,,,,,,,12,125,116,,,,,01,,,,000008,,,005808,,,1976
76IN00106,1971011175,71,2,P1175,,,06,,2,,,,08,,55,,,, 23,,,02,141,142,,71,,,01,,,,000008,,,010708,,,1976
76IN00107,1971011188,71,2,P1188,,,05,,2,,,,02,,55,,,, 14,,, 3,137,144,,76,,,01,,,,000004,1,,011404,,,1976
76IN00108,1971011191,71,2,P1191,,,06,,2,,,,08,,55,,,, 19,,,02,148,135,,75,,,01,,,,000008,,,370008,,,1976
76IN00109,1971011206,71,2,P1206,, 2,06,,2,,,,08,,55,,,, 08,,,02,173,170,,73,,,01,,,,000008,,,019008,,,1976
76IN00110,1971011216,71,2,P1216,,,06,,2,,,,30,,55,,,, 17,,,02,149,162,,75,,,01,,,,000008,,,012009,,,1976
76IN00111,1971011218,71,2,P1218,,,05,,2,,,,02,,55,,,, 14,,,04,107,129,,76,,,01,,,,000004,,,000704,,,1976
76IN00112,1971011229,71,2,P1229,,,04,,2,,,,02,,55,,,, 13,,,02,124,123,,76,,,01,,,,000004,,,090404,,,1976
76IN00113,1971011230,71,2,P1230,,,04,,2,3,,,02,,,,,,,,,11,128,142,,,,,01,,,,000004,,,090404,,,1976
76IN00114,1971011233,71,2,P1233,,,07,,2,3,,,08,,,,,,,,,06,153,156,,,,,01,,,,000008,,,327508,,,1976
76IN00115,1971011234,71,2,P1234,, 1,07,,2,,,,08,,55,,,, 07,,,02,146,150,,74,,,01,,,,000008,,,327508,,,1976
76IN00116,1971011241,71,2,P1241,,,03,,2,,,,07,,55,,,, 15,,,02,120,130,,76,,,01,,,,000001,,,006601,,,1976
76IN00117,1971011249,71,2,P1249,,,07,,2,,,,08,,55,,,, 23,,,03,119,116,,70,,,01,,,,000008,,,021108,,,1976
76IN00118,1971011255,71,2,P1255,, 1,07,,2,,,,08,,55,,,, 05,,,06,127,134,,74,,,01,,,,000008,,,018008,,,1976
76IN00119,1971011257,71,2,P1257,, 1,01,,2,,,,51,,55,,,, 09,,,03,135,130,6,74,,,01,1207,,,000095,,,367301,10,,1976
76IN00120,1972011266,72,2,P1266,, 2,21,,1,,,,30,,50,,,, 02,,,03,138,150,,73,,,01,,,,020908,,,011709,,,1976
76IN00121,1972011270,72,2,P1270,,,22,,1,,,,08,,50,,,, 23,,, 1,130,147,,70,,,01,,,,017608,5,,010508,,,1976
76IN00122,1972011275,72,2,P1275,,,23,,1,,,,08,,50,,,, 23,,,02,159,167,,71,,,01,,,,017008,,,011708,,,1976
76IN00123,1972011277,72,2,P1277,,,10,,1,,,,51,,50,,,, 25,,,01,153,155,,71,,,01,,,,000695,,,349301,,,1976
76IN00124,1972011292,72,2,P1292,, 2,22,,1,,,,30,,50,,,, 04,,,02,151,150,,73,,,01,,,,017608,,,008909,,,1976
76IN00125,1972011295,72,2,P1295,,,21,,1,,,,30,,50,,,, 18,,,02,172,206,,75,,,01,,,,020908,,,001609,,,1976
76IN00126,1972011327,72,2,P1327,,,09,,1,,,,51,,50,,,, 20,,,02,189,176,,75,,,01,,,,000495,,,266401,,,1976
76IN00127,1972011329,72,2,P1329,,,09,,1,,,,51,,50,,,, 25,,,02,132,132,,71,,,01,,,,000495,,,390101,,,1976
76IN00128,1972011330,72,2,P1330,,,16,,1,,,,02,,50,,,, 16,,,02,197,212,,76,,,01,,,,011504,,,067404,,,1976
76IN00129,1972011332,72,2,P1332,,,22,,1,,,,30,,50,,,, 17,,,02,164,170,,75,,,01,,,,017608,,,075509,,,1976
76IN00130,1972011339,72,2,P1339,,,37,,1,,,,30,,50,,,, 22,,,02,162,166,,70,,,01,,,,026408,,,016909,,,1976
76IN00131,1972011349,72,2,P1349,, 1,21,,1,,,,30,,50,,,, 01,,,02,116,124,,74,,,01,,,,020908,,,005709,,,1976
76IN00132,1972011364,72,2,P1364,,,18,,1,,,,30,,50,,,, 21,,,02,102,118,,70,,,01,,,,000307,,,065707,,,1976
76IN00133,1972011369,72,2,P1369,,,23,,1,,,,08,,50,,,, 23,,, 3,148,153,,71,,,01,,,,017008,1,,017708,,,1976
76IN00134,1972011381,72,2,P1381,,,22,,1,,,,30,,50,,,, 22,,,01,137,132,,71,,,01,,,,017608,,,017509,,,1976
76IN00135,1972011383,72,2,P1383,,,23,,1,,,,30,,50,,,, 22,,,03,143,150,,70,,,01,,,,017008,,,001109,,,1976
76IN00136,1972011384,72,2,P1384,,,23,,1,,,,30,,50,,,, 21,,,02,146,150,,70,,,01,,,,017008,,,001109,,,1976
76IN00137,1972011394,72,2,P1394,, 1,22,,1,,,,08,,50,,,, 07,,,01,149,140,,74,,,01,,,,017608,,,001008,,,1976
76IN00138,1972011395,72,2,P1395,, 2,21,,1,,,,30,,50,,,, 04,,,03,139,146,,73,,,01,,,,020908,,,011609,,,1976
76IN00139,1972011405,72,2,P1405,,,17,,1,,,,02,,50,,,, 15,,,03,113,136,,76,,,01,,,,014804,,,009404,,,1976
76IN00140,1972011409,72,2,P1409,,,22,,1,,,,30,,50,,,, 22,,,01,134,132,,70,,,01,,,,017608,,,006109,,,1976
76IN00141,1972011416,72,2,P1416,, 1,23,,1,,,,30,,50,,,, 01,,,03,146,138,,74,,,01,,,,017008,,,010409,,,1976
76IN00142,1972011418,72,2,P1418,,,10,,1,,,,51,,50,,,, 24,,,02,166,162,,70,,,01,,,,000695,,,008901,,,1976
76IN00143,1972011421,72,2,P1421,,,17,,1,,,,02,,50,,,, 15,,,03,164,198,,76,,,01,,,,014804,,,103604,,,1976
76IN00144,1972011423,72,2,P1423,,,10,,1,,,,51,,50,,,, 25,,,02,136,140,,71,,,01,,,,000695,,,366701,,,1976
76IN00145,1972011430,72,2,P1430,,,21,,1,,,,30,,50,,,, 18,,,02,145,166,,75,,,01,,,,020908,,,088109,,,1976
76IN00146,1972011445,72,2,P1445,, 2,22,,1,,,,08,,50,,,, 06,,,04,124,122,,73,,,01,,,,017608,,,021208,,,1976
76IN00147,1972011448,72,2,P1448,,,16,,1,,,,02,,50,,,, 16,,,02,166,165,,76,,,01,,,,011504,,,327104,,,1976
76IN00148,1972011459,72,2,P1459,,,23,,1,,,,30,,50,,,, 26,,,02,112,122,,71,,,01,,,,017008,,,002109,,,1976
76IN00149,1972011461,72,2,P1461,, 1,23,,1,,,,30,,50,,,, 03,,,03,136,137,,74,,,01,,,,017008,,,013609,,,1976
76IN00150,1972011474,72,2,P1474,, 2,09,,1,,,,51,,50,,,, 10,,,02,137,141,,73,,,01,,,,000495,,,002401,,,1976
76IN00151,1972011478,72,2,P1478,,,23,,1,,,,08,,50,,,, 23,,, 2,106,116,,70,,,01,,,,017008,1,,001108,,,1976
76IN00152,1972011487,72,2,P1487,,,16,,1,,,,02,,,,,,,,,,121,,5,,,,01,1117,,,011504,,,006904,95,,1976
76IN00153,1972011492,72,2,P1492,,,09,,1,,,,51,,,,,,,,,,,,6,,,,01,0403,,,000495,,,377801,18,,1976
76IN00154,1972011498,72,2,P1498,,,21,,1,,,,30,,50,,,, 21,,,02,141,148,,70,,,01,,,,020908,,,013709,,,1976
76IN00155,1972011510,72,2,P1510,,,15,,1,,,,02,,50,,,, 13,,,02,97,176,,76,,,01,,,,009104,,,094004,,,1976
76IN00156,1972011523,72,2,P1523,,,15,,1,,,,02,,50,,,, 16,,,03,138,152,,76,,,01,,,,009104,,,104504,,,1976
76IN00157,1972011527,72,2,P1527,,,15,,1,,,,02,,50,,,, 13,,,02,179,193,,76,,,01,,,,009104,,,326104,,,1976
76IN00158,1972011531,72,2,P1531,,,22,,1,,,,30,,50,,,, 22,,,01,116,116,,71,,,01,,,,017608,,,070109,,,1976
76IN00159,1972011539,72,2,P1539,, 2,21,,1,,,,30,,50,,,, 02,,,02,117,120,,73,,,01,,,,020908,,,018309,,,1976
76IN00160,1972011541,72,2,P1541,,,21,,1,,,,30,,50,,,, 21,,,02,116,118,,70,,,01,,,,020908,,,002609,,,1976
76IN00161,1972011544,72,2,P1544,,,22,,1,,,,08,,50,,,, 19,,,02,146,144,,75,,,01,,,,017608,,,019108,,,1976
76IN00162,1972011545,72,2,P1545,,,23,,1,,,,30,,50,,,, 26,,,03,147,146,,71,,,01,,,,017008,,,016509,,,1976
76IN00163,1972011556,72,2,P1556,,,23,,1,,,,08,,50,,,, 23,,, 1,149,153,,70,,,01,,,,017008,5,,006008,,,1976
76IN00164,1972011558,72,2,P1558,,,21,,1,,,,30,,50,,,, 26,,,03,141,135,,71,,,01,,,,020908,,,004609,,,1976
76IN00165,1972011562,72,2,P1562,,,22,,1,,,,30,,50,,,, 22,,,02,173,161,,71,,,01,,,,017608,,,007309,,,1976
76IN00166,1972011567,72,2,P1567,, 1,23,,1,,,,08,,50,,,, 05,,,02,147,142,,74,,,01,,,,017008,,,022708,,,1976
76IN00167,1972011571,72,2,P1571,,,16,,1,,,,02,,50,,,, 14,,,02,156,171,,76,,,01,,,,011504,,,080104,,,1976
76IN00168,1972011574,72,2,P1574,, 1,09,,1,,,,51,,50,,,, 11,,,02,135,122,,74,,,01,,,,000495,,,406001,,,1976
76IN00169,1972011576,72,2,P1576,,,17,,1,,,,02,,50,,,, 15,,,02,144,164,,76,,,01,,,,014804,,,080304,,,1976
76IN00170,1972011585,72,2,P1585,, 1,21,,1,,,,30,,50,,,, 01,,,03,144,147,,74,,,01,,,,020908,,,009709,,,1976
76IN00171,1972011588,72,2,P1588,,,10,,1,,,,51,,50,,,, 20,,,02,121,135,,75,,,01,,,,000695,,,292201,,,1976
76IN00172,1972011598,72,2,P1598,,,17,,1,,,,02,,50,,,, 13,,,01,124,142,,76,,,01,,,,014804,,,095104,,,1976
76IN00173,1972011607,72,2,P1607,, 2,22,,1,,,,08,,50,,,, 06,,,02,156,152,,73,,,01,,,,017608,,,012808,,,1976
76IN00174,1972011610,72,2,P1610,,,09,,1,,,,51,,50,,,, 25,,, 3,128,127,,71,,,01,,,,000495,4,,005901,,,1976
76IN00175,1972011611,72,2,P1611,, 2,09,,1,,,,51,,50,,,, 12,,,03,125,136,,73,,,01,,,,000495,,,005901,,,1976
76IN00176,1972011627,72,2,P1627,,,23,,1,,,,08,,50,,,, 19,,,02,138,161,,75,,,01,,,,017008,,,099708,,,1976
76IN00177,1972011628,72,2,P1628,,,09,,1,,,,51,,50,,,, 24,,, 3,141,141,,70,,,01,,,,000495,1,,351701,,,1976
76IN00178,1972011639,72,2,P1639,, 2,23,,1,,,,30,,50,,,, 04,,,02,125,126,,73,,,01,,,,017008,,,011909,,,1976
76IN00179,1972011640,72,2,P1640,,,36,,1,3,,,08,,50,,,, 23,,,01,164,163,,70,,,01,,,,326708,,,001208,,,1976
76IN00180,1972011642,72,2,P1642,,,22,,1,,,,30,,50,,,, 17,,,02,156,163,,75,,,01,,,,017608,,,013109,,,1976
76IN00181,1972011656,72,2,P1656,, 2,23,,1,,,,30,,50,,,, 04,,,02,134,138,,73,,,01,,,,017008,,,099109,,,1976
76IN00182,1972011663,72,2,P1663,,,22,,1,,,,08,,50,,,, 23,,,02,135,140,,70,,,01,,,,017608,,,003108,,,1976
76IN00183,1972011665,72,2,P1665,, 1,09,,1,,,,51,,50,,,, 09,,,02,121,130,,74,,,01,,,,000495,,,429801,,,1976
76IN00184,1972011672,72,2,P1672,,,31,,1,,,,07,,50,,,, 16,,, 3,138,146,,76,,,01,,,,003701,1,,412201,,,1976
76IN00185,1972011686,72,2,P1686,,,11,,1,,,,07,,50,,,, 13,,,03,163,181,,76,,,01,,,,032101,,,387501,,,1976
76IN00186,1972011696,72,2,P1696,,,17,,1,,,,02,,50,,,, 14,,,02,131,138,,76,,,01,,,,014804,,,329804,,,1976
76IN00187,1972011700,72,2,P1700,,,22,,1,,,,30,,50,,,, 21,,,02,136,132,,70,,,01,,,,017608,,,004309,,,1976
76IN00188,1972011701,72,2,P1701,,,22,,1,,,,30,,50,,,, 17,,,02,131,130,,75,,,01,,,,017608,,,004309,,,1976
76IN00189,1972011703,72,2,P1703,,,23,,1,,,,08,,50,,,, 23,,,01,137,140,,70,,,01,,,,017008,,,010608,,,1976
76IN00190,1972011704,72,2,P1704,, 1,09,,1,,,,51,,50,,,, 11,,,08,126,142,,74,,,01,,,,000495,,,431501,,,1976
76IN00191,1972011721,72,2,P1721,,,37,,1,,,,30,,50,,,, 22,,,02,133,137,,71,,,01,,,,026408,,,007009,,,1976
76IN00192,1972011736,72,2,P1736,, 1,37,,1,,,,30,,50,,,, 03,,,01,124,134,,74,,,01,,,,026408,,,015709,,,1976
76IN00193,1972011740,72,2,P1740,,,12,,1,,,,07,,,,,,,,,,130,,3,,,,01,0614,,,022201,,,429101,93,,1976
76IN00194,1972011751,72,2,P1751,,,36,,1,3,,,30,,,,,,,,,11,112,136,,,,,01,,,,326708,,,013409,,,1976
