UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,C6973,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
60IN02891,1959413807,59,2,G3807,4,70,712,41,1,07,,,2,,2,1,,106,,,106,122,,,092,,41,,108,3,,1743,4,   71,2,,1,,1960,1.0
60IN02892,1959413808,59,1,G3808,4,15,152,41,1,,13,1,2,,1,,,,,,123,151,3,,,,41,0801,,,,1456,4,,6717,4,1,,1960,1.0
60IN02893,1959413815,59,2,G3815,4,70,712,41,1,08,,,2,,2,1,,086,,,86,109,,,080,,41,,083,3,,1743,4,   73,21,,1,,1960,1.0
60IN02894,1959413819,59,1,G3819,4,15,151,41,1,,19,7,2,,1,,,,,,123,140,,,,,41,,,,,1685,4,,0715,4,1,,1960,1.0
60IN02895,1959413823,59,1,G3823,4,71,722,41,2,,,5,2,,2,,,,,,107,142,,,,,41,,,,,9993,4,,0705,4,1,,1960,1.0
60IN02896,1959413828,59,2,G3828,4,67,107,41,,,,,2,,9,,,,,,,,7,,,,41,0520,,,,1744,4,,,,1,,1960,1.0
60IN02897,1959413829,59,2,G3829,4,67,137,41,1,07,,,2,,9,1,,101,,,101,139,,,088,,41,,117,2,,2159,4,,9107,6,1,,1960,1.0
60IN02898,1959413833,59,1,G3833,4,04,042,41,1,,31,1,2,,1,,,,,,92,103,,,,,41,,,,,1786,4,,8895,4,1,,1960,1.0
60IN02899,1959413835,59,1,G3835,4,17,172,41,1,,05,1,2,,1,,,,,,123,165,2,,,,41,0927,,,,0556,4,,2075,4,1,,1960,1.0
60IN02900,1959413838,59,2,G3838,4,16,162,41,,,25,,2,,1,,,,,,,,7,,,,41,0520,,,,0663,4,,,,1,,1960,1.0
60IN02901,1959413840,59,2,G3840,4,71,732,41,2,08,,,2,,2,1,,092,,,92,124,,,093,,41,,142,2,,1162,4,   88,21,,1,,1960,1.0
60IN02902,1959413841,59,1,G3841,4,70,722,41,1,,,1,2,,2,,,,,,131,172,2,,,,41,0927,,,,9993,4,,2102,4,1,,1960,1.0
60IN02903,1959413843,59,1,G3843,4,71,722,41,1,,,3,2,,2,,,,,,132,146,3,,,,41,0801,,,,9993,4,,0433,4,1,,1960,1.0
60IN02904,1959413847,59,2,G3847,4,71,712,41,1,08,,,2,,2,1,,105,,,105,130,,,091,,41,,107,2,,1743,4,   87,21,,1,,1960,1.0
60IN02905,1959413851,59,1,G3851,4,71,732,41,2,,,5,2,,2,,,,,,102,130,,,,,41,,,,,1162,4,,9023,4,1,,1960,1.0
