UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VI93,Y3,GRP,DISP,DAYDIS,TRT,BPEN,COND,BGRP,AGE,RMK,YRREC
93IN00001,1986631830,K1830,63,86,2,60,1,06,613,147563,099963,0,,,2, 71,2,132,155,3,,3,,92,0923,,,,,7.0,,1993
93IN00002,1986631831,K1831,63,86,2,62,1,06,613,147563,099963,0,,,3,,1,170,167,2,,1,,93,1108,,,,,7.0,ABT.3/11/91,1993
93IN00003,1986631848,K1848,63,86,2,68,1,06,614,164863,822662,0,,,7,,*,0,0,0,,0,2,97,0110,,,,,7.0,L.EYE.CONJ.,1993
93IN00004,1986631849,K1849,63,86,2,60,1,06,613,147563,045563,0,,,6,,*,0,0,0,,1,,54,0426,,,,,7.0,UTERINE TEAR,1993
93IN00005,1986631880,K1880,63,86,2,60,1,06,601,090063,847362,0,,,6,,*,0,0,0,,1,,80,0422,,,,,7.0,FLTS,1993
93IN00006,1986631882,K1882,63,86,2,62,1,06,614,164863,045263,0,,,2, 71,5,154,169,2,,2,,92,0923,,,,,7.0,,1993
93IN00007,1986631883,K1883,63,86,2,62,1,06,602,118363,949462,0,,,7,,*,0,0,0,,0,,97,0110,,,,,7.0,ULCER.R.EYE,1993
93IN00008,1986631884,K1884,63,86,2,68,1,06,602,118363,949462,0,,,6,,*,0,0,0,,0,3,01,0310,,,,,7.0,,1993
93IN00009,1986631907,K1907,63,86,2,68,1,06,614,164863,930662,0,,,3,,1,150,163,2,,3,2,93,1108,,,,,7.0,X WEEPY EYES,1993
93IN00010,1986631910,K1910,63,86,2,68,1,06,631,087263,117263,7,,,3,29C,3,0,176,1,,0,,93,1108,,,,,7.0,,1993
93IN00011,1986631919,K1919,63,86,2,60,1,06,631,087263,897262,0,,,2, 71,2,163,156,3,,1,,92,0923,,,,,7.0,,1993
93IN00012,1986631923,K1923,63,86,2,60,1,06,  6,000063,141063,0,,,6,,*,0,0,0,,0,,43,0408,,,,,7.0,,1993
93IN00013,1986631939,K1939,63,86,2,62,1,06,634,076763,038163,0,,,7,,*,0,0,0,,0,,97,0110,,,,,7.0,BIG BAG,1993
93IN00014,1986631942,K1942,63,86,2,68,1,06,601,090063,043363,7,,,3,29C,3,0,162,2,,0,,,,,TA,,,7.0,,1993
93IN00015,1986631949,K1949,63,86,2,68,1,06,601,090063,017863,7,,,3,34A,3,0,157,2,,0,,,,,TT,,,7.0,,1993
93IN00016,1986631950,K1950,63,86,2,60,1,06,601,090063,017863,0,,,7,,*,0,0,0,,0,,97,0110,,,,,7.0,,1993
93IN00017,1986631966,K1966,63,86,2,62,1,06,  6,000063,144363,0,,,3,,1,126,131,2,,2,,93,1108,,,,,7.0,POOR,1993
