UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
90IN02224,1989633935,K3935,63,89,2,61,1,06,613,328163,171963,,,,,,, 2,075,1,,2,118,137, 2,C,,,,,,604,3,,1,10,,1990
90IN02225,1989033936,L3936,03,89,1,7x,1,30,732,086003,904402,,,1,,,,,,3,,Y,141,179,,C,,,93,0814,,,,,,10,,1990
90IN02226,1989633936,K3936,63,89,2,61,1,06,612,322063,232563,,,,,,, 2,121,1,,1,120,125, 2,A,,,,,,602,3,,1,10,,1990
90IN02227,1989633937,K3937,63,89,2,61,1,06,612,322063,232563,,,,,,, 0,000,1,,5,150,178, 1,B,,,,,,634,4,,1,10,,1990
90IN02228,1989033938,L3938,03,89,2,80,1,30,711,199903,503602,,,1,,,, 2,082,1,,2,118,136, 2,A,,,,,,303,3,,2,10,,1990
90IN02229,1989633939,K3939,63,89,1,61,1,06,614,364563,061763,,,,,,,,,1,,Y,213,254,,V,,,,,,611,,,1,10,,1990
90IN02230,1989033939,L3939,03,89,2,81,1,30,711,199903,503602,,,1,,,, 1,095,1,,2,109,134, 2,B,,,,,,313,2,,2,10,,1990
90IN02231,1989633940,K3940,63,89,1,61,1,06,614,364563,140463,,,,,,,,,3,,Y,195,198,,C,+,,93,0716,,,,,,10,R.ORCHITIS,1990
90IN02232,1989033942,L3942,03,89,1,71,1,30,712,250303,533802,,,1,,,,,,C,,Y,145,185,,C,,,,,,,,,,10,,1990
90IN02233,1989033943,L3943,03,89,1,71,1,30,712,250303,533802,,,1,,,,,,G,,Y,158,196,,V,,,,,,331,,,2,10,,1990
90IN02234,1989633944,K3944,63,89,2,60,1,06,601,285463,244863,,,,,,, 2,000,1,,5,130,149, 1,B,,,,,,613,3,,1,10,,1990
90IN02235,1989033944,L3944,03,89,2,81,1,30,733,140703,149703,,,1,,,, 2,094,1,,1,128,152, 2,A,,,,,,314,3,,2,10,,1990
90IN02236,1987803944,X3944,80,87,2,47,1,55,474,256280,502294,7,,,,,, 3,170,1,,3,188,156, 2,A,,,,,,-0-,2,,3,30,,1990
