UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,YRREC
05IN00036,2003303105, 3105,30, 3105,03,2,00,2,33,FL-,000064,705904,7,,,,7,RN,*,,0,0,0,,97,0518,F,,,1.5,MSG DRY 5/18,CxP,,0,2005
05IN00037,2003303114, 3114,30, 3114,03,2,00,2,80,FL-,000081,693104,7,,,,1,RN,3,,202,201,2,,,,F,r.4,3,1.5,,SxP,,0,2005
05IN00038,2003303120, 3120,30, 3120,03,2,00,2,33,FL-,000064,743904,7,,,,6,RN,3,,98,0,0,,05,0602,F,,,1.5,MASTITIS BAD,CxP,,0,2005
05IN00039,2003303131, 3131,30, 3131,03,2,00,2,04,AI-,000064,017011,7,,,,2, 45,3,,185,176,2,,92,0922,A,,,1.5,FLTS,CxR,,6124,2005
05IN00040,2003303148, 3148,30, 3148,03,2,00,2,04,AI-,000064,031209,7,,,,3,RN,3,,152,149,2,,93,1021,A,,,1.5,ABS. LEG,CxR,,5741,2005
05IN00041,2003303160, 3160,30, 3160,03,2,00,2,33,FL-,000064,395204,7,,,,1,RN,3,,148,155,2,,,,F,r.4,3,1.5,,CxP,,0,2005
05IN00042,2003303168, 3168,30, 3168,03,2,00,2,33,FL-,000064,378904,7,,,,B,RN,3,,183,207,2,,93,0916,F,,,1.5,,CxP,,5520,2005
05IN00043,2003303181, 3181,30, 3181,03,2,00,2,33,FL-,000064,515504,7,,,,3,RN,3,,176,174,11,,93,1021,F,,,1.5,"MASTITIS, R.",CxP,,5512,2005
05IN00044,2003303182, 3182,30, 3182,03,2,00,2,04,AI-,000064,626910,7,,,,B,RN,3,,150,161,4,,93,0916,A,,,1.5,"4 BAG, BIOMED",CxR,,5425,2005
05IN00045,2003303190, 3190,30, 3190,03,2,00,2,04,AI-,000064,025811,7,,,,2, 45,1,,143,167,1,,92,0922,A,,,1.5,,CxR,,6125,2005
05IN00046,2003303206, 3206,30, 3206,03,2,00,2,04,AI-,000064,822510,7,,,,2, 45,2,,143,173,1,,92,0922,A,,,1.5,,CxR,,6126,2005
05IN00047,1998008019, 8019,00, 8019,98,2,18,1,07,L-1,000010,778810,2,,,,3,.,5,,181,0,0,,93,0523,.,,,7.0,L.EYE TRT '02,Ramb,,1979,2005
05IN00048,1998008040, 8040,00, 8040,98,2,18,1,07,L-1,000010,741200,2,,,,O,OVX,5,,180,0,0,X,95,0523,.,OVX,O,7.0,"OVX,BARREN",Ovx,,0,2005
05IN00049,1998008059, 8059,00, 8059,98,2,18,1,07,L-1,000010,831510,2,,,,O,OVX,5,,180,0,0,X,95,0523,.,OVX,O,7.0,POLYPAY?OVX,Ovx,,0,2005
05IN00050,1998008084, 8084,00, 8084,98,2,18,1,07,L-1,000010,741400,0,,,,1,.,1,,136,158,2,,,,.,31,1,7.0,BLK. EAR,Ramb,,0,2005
05IN00051,1998008091, 8091,00, 8091,98,2,18,1,07,L-1,000010,728300,2,,,,1,.,2,,131,153,2,,,,.,32,1,7.0,THIN,Ramb,,0,2005
05IN00052,1998008136, 8136,00, 8136,98,2,00,1,03,L-0,000044,971563,2,,,,O,OVX,5,,155,0,0,X,95,0523,.,OVX,O,7.0,"T X C ewe,OVX",Ovx,,0,2005
05IN00053,1998008210, 8210,00, 8210,98,2,68,1,06,L-5,895863,774263,0,,,,U,.,1,,177,187,2,,93,1122,G,d.1,3,7.0,TEETH,Colu,,5645,2005
05IN00054,1998008281, 8281,00, 8281,98,2,18,1,07,L12,674810,674910,2,,,,O,OVX,5,,178,0,0,X,95,0523,.,OVX,O,7.0,"OVX,PROD",Ovx,,0,2005
05IN00055,1998008286, 8286,00, 8286,98,2,68,1,06,L-5,895863,768863,0,,,,1,.,1,,179,204,2,,,,G,03,1,7.0,,Colu,,0,2005
05IN00056,1998008320, 8320,00, 8320,98,2,18,1,43,L11,752910, 57100,2,,,,3,.,1,,154,149,2,,93,0926,.,,,7.0,THIN OPP?,Ramb,,5679,2005
05IN00057,1998008423, 8423,00, 8423,98,2,88,1,30,L-9,365604,886003,0,,,,2, 33,1,,115,149,2,C,92,0922,C,,,7.0,HEAD ok SALE,Ctrl,,6080,2005
05IN00058,1998008439, 8439,00, 8439,98,2,88,1,30,L-8,348004,266604,0,,,,2, 33,1,,140,146,2,C,92,0922,C,,,7.0,,Ctrl,,6077,2005
05IN00059,1998008441, 8441,00, 8441,98,2,18,1,43,L11,752910,101000,0,,,,1,.,1,,141,183,2,,,,.,33,1,7.0,,Ramb,,0,2005
05IN00060,1998008443, 8443,00, 8443,98,2,88,1,30,L-7,346704,257904,0,,,,3,.,1,,138,174,2,E,93,1021,M,,,7.0,R.UDDER CUTok,Else,,5619,2005
05IN00061,1998008462, 8462,00, 8462,98,2,88,1,30,L-9,365604,385904,0,,,,2, 32,2,,149,168,2,C,92,0922,C,,,7.0,,Ctrl,,6071,2005
05IN00062,1998008492, 8492,00, 8492,98,2,18,1,07,L18,714610,911100,2,,,,6,.,1,,184,0,0,,04,0723,.,,,7.0,,Ramb,,0,2005
05IN00063,1998008504, 8504,00, 8504,98,2,18,1,07,L13,735910,145610,0,,,,3,.,5,,171,0,0,,93,0523,.,,,7.0,THIN WEAK X,Ramb,,1966,2005
05IN00064,1998008539, 8539,00, 8539,98,2,18,1,07,L13,735910,701810,2,,,,1,.,1,,164,174,2,,,,.,34,1,7.0,1TAG,Ramb,,0,2005
05IN00065,1998008601, 8601,00, 8601,98,2,18,1,07,L18,714610,514200,2,,,,1,.,1,,175,205,2,,,,.,35,1,7.0,LUNGS,Ramb,,0,2005
05IN00066,1998008636, 8636,00, 8636,98,2,18,1,07,L13,735910,952600,2,,,,U,UTE,5,,164,0,0,X,93,0523,.,UTE,U,7.0,"11 BAG, U",Ramb,,1962,2005
05IN00067,1998008641, 8641,00, 8641,98,2,18,1,07,L21,678110,953000,2,,,,1,.,2,,135,162,2,,,,.,35,1,7.0,pg 4/24 156#,Ramb,,0,2005
05IN00068,1998008665, 8665,00, 8665,98,2,18,1,07,L12,674810,695810,2,,,,1,.,2,,174,177,2,,,,.,37,1,7.0,,Ramb,,0,2005
05IN00069,1998008668, 8668,00, 8668,98,2,88,1,30,L-6,312904,860003,0,,,,2, 32,1,,130,158,2,C,92,0922,C,,,7.0,,Ctrl,,6072,2005
05IN00070,1998008695, 8695,00, 8695,98,2,18,1,07,L14,677210,500500,0,,,,1,.,1,,169,200,2,,,,.,38,1,7.0,TAG CUT '2002,Ramb,,0,2005
05IN00071,1998008757, 8757,00, 8757,98,2,68,1,06,L-3,874463,750363,0,,,,1,.,1,,194,184,2,,,,G,02,1,7.0,,Colu,,0,2005
05IN00072,1998008764, 8764,00, 8764,98,2,18,1,43,L11,752910,952700,0,,,,1,.,2,,187,185,2,,,,.,31,1,7.0,,Ramb,,0,2005
05IN00073,1998008793, 8793,00, 8793,98,2,68,1,06,L-4,913363,699963,0,,,,3,.,2,,203,181,12,,93,1021,G,,,7.0,X 12 BAG,Colu,,5632,2005
05IN00074,1998008858, 8858,00, 8858,98,2,18,1,07,L21,678110,550400,0,,,,1,.,2,,184,181,2,,,,.,32,1,7.0,"DYSTOC,breech",Ramb,,0,2005
05IN00075,1998008876, 8876,00, 8876,98,2,18,1,43,L11,752910,405110,0,,,,6,.,*,,0,0,0,,50,0420,.,,,7.0,CSECTION CLA,Ramb,,0,2005
05IN00076,2000000001,00001,00,00001,00,2,88,1,30,L-5,484904,007109,0,,,,U,.,5,,173,197,3,E,93,1122,M,d.3,3,5.0,RP+BLOB,Else,,5449,2005
05IN00077,2000000022,00022,00,00022,00,2,00,1,92,L-0,000044,008009,1,,,0,1,BLK,1,,164,177,3,B,,,X,BLK,1,5.0,BLACK EWE,Blk,,0,2005
05IN00078,2000000035,00035,00,00035,00,2,00,1,92,L-0,000044,006509,1,,,0,1,BLK,5,,195,221,2,B,,,X,BLK,1,5.0,BLACK EWE,Blk,,0,2005
05IN00079,2000000040,00040,00,00040,00,2,00,1,92,L-0,000044,012709,1,,,0,1,BLK,1,,165,183,2,B,,,X,BLK,1,5.0,BLACK EWE,Blk,,0,2005
05IN00080,2000000087,00087,00,00087,00,2,00,1,92,L-0,000044,010909,1,,,0,3,BLK,B,,193,215,2,B,93,1021,X,,,5.0,BAD SW. BAG X,Blk,,5419,2005
05IN00081,2000000097,00097,00,00097,00,2,68,1,06,L-4,033564,091309,0,,,,1,.,2,,187,184,2,,,,G,21,1,5.0,DYSTOCIA ok,Colu,,0,2005
05IN00082,2000000102,00102,00,00102,00,2,88,1,30,L-5,484904,002209,0,,,,1,.,1,,169,190,1,E,,,M, 1,2,5.0,,Else,,0,2005
05IN00083,2000000116,00116,00,00116,00,2,18,1,07,L-3,934810,107209,2,,,,O,OVX,5,,175,0,0,X,,,.,OVX,O,5.0,OVX,Ovx,,0,2005
05IN00084,2000000148,00148,00,00148,00,2,18,1,07,L-3,934810,038609,0,,,,1,.,2,,156,174,2,,,,., 1,1,5.0,,Ramb,,0,2005
05IN00085,2000000179,00179,00,00179,00,2,18,1,07,L-2,960010,033509,0,,,,1,.,1,,204,218,2,,,,., 2,1,5.0,EYES OK,Ramb,,0,2005
05IN00086,2000000197,00197,00,00197,00,2,18,1,07,L-2,960010,022009,0,,,,1,.,1,,156,171,2,,,,., 3,1,5.0,DYSTOCIA,Ramb,,0,2005
05IN00087,2000000216,00216,00,00216,00,2,18,1,07,L-3,934810,022609,0,,,,6,.,*,,0,0,0,,50,0420,.,,,5.0,SEV. CLA,Ramb,,0,2005
05IN00088,2000000483,00483,00,00483,00,2,18,1,07,L11,926410,614900,2,,,,O,OVX,5,,155,170,1,X,,,.,OVX,O,5.0,"F2, OVX",Ovx,,0,2005
05IN00089,2000000534,00534,00,00534,00,2,68,1,06,L03,0143,706463,0,,JAR,,1,.,1,,178,170,2,,,,G,22,1,5.0,BIG BAG LTS,Colu,,0,2005
05IN00090,2000000545,00545,00,00545,00,2,18,1,07,L13,980110,016105,2,,,,1,.,2,,158,176,2,,,,., 4,1,5.0,NICE,Ramb,,0,2005
05IN00091,2000000571,00571,00,00571,00,2,18,1,43,L31,952610,810610,2,,,,O,OVX,5,,184,0,0,X,,,.,OVX,O,5.0,OVX,Ovx,,0,2005
05IN00092,2000000589,00589,00,00589,00,2,68,1,06,L03,0143,828063,0,,JAR,,1,.,1,,175,173,2,,,,G,11,1,5.0,DYSTOCIA,Colu,,0,2005
05IN00093,2000000625,00625,00,00625,00,2,68,1,06,L02,0131,824463,0,,JAR,,3,.,5,,197,207,5,,93,1021,G,,,5.0,LOW PROD.,Colu,,5478,2005
05IN00094,2000000647,00647,00,00647,00,2,68,1,06,L03,0143,013164,0,,JAR,,1,.,2,,220,226,2,,,,G,23,1,5.0,"NICE, A+",Colu,,0,2005
05IN00095,2000000657,00657,00,00657,00,2,88,1,30,L46,551504,836200,0,,,,1,.,2,,156,173,2,C,,,C, 1,2,5.0,LT SUCK1SIDE,Ctrl,,0,2005
05IN00096,2000000670,00670,00,00670,00,2,68,1,06,L04,988463,709663,0,,,,1,.,2,,180,194,2,,,,G,12,1,5.0,,Colu,,0,2005
05IN00097,2000000677,00677,00,00677,00,2,18,1,07,L33,945110,640610,0,,,,1,.,2,,170,189,5,,,,., 5,1,5.0,,Ramb,,0,2005
05IN00098,2000000678,00678,00,00678,00,2,18,1,07,L33,945110,640610,2,,,,O,OVX,5,,199,0,0,X,,,.,OVX,O,5.0,"F2, OVX",Ovx,,0,2005
05IN00099,2000000707,00707,00,00707,00,2,18,1,07,L31,952610,207610,0,,,,1,.,2,,158,172,2,,,,., 6,1,5.0,,Ramb,,0,2005
05IN00100,2000000728,00728,00,00728,00,2,18,1,43,L31,952610,853500,0,,,,1,.,1,,167,172,6,,,,., 7,1,5.0,,Ramb,,0,2005
05IN00101,2000000737,00737,00,00737,00,2,41,1,02,412,658544,655644,0,,,,1,.,2,,192,204,4,,,,M,Jar,3,5.0,#2 BORN LATE,Lww,,0,2005
05IN00102,2000000795,00795,00,00795,00,2,18,1,43,L32,904910,846810,2,,,,1,.,2,,184,196,2,,,,., 8,1,5.0,VLTS,Ramb,,0,2005
05IN00103,2000000816,00816,00,00816,00,2,18,1,43,L34,785310,701810,2,,,,1,.,1,,152,182,2,,,,.,01,1,5.0,LTS,Ramb,,0,2005
05IN00104,2000000872,00872,00,00872,00,2,18,1,07,L13,980110,734000,0,,,,1,.,2,,196,190,2,,,,.,02,1,5.0,,Ramb,,0,2005
05IN00105,2000000876,00876,00,00876,00,2,18,1,07,L13,980110,722400,2,,,,O,OVX,5,,185,0,0,X,,,.,OVX,O,5.0,OVX,Ovx,,0,2005
05IN00106,2000000904,00904,00,00904,00,2,18,1,07,L35,866710,646010,0,,,,1,.,5,,184,207,1,,,,.,03,1,5.0,NICE,Ramb,TK,0,2005
05IN00107,2000000930,00930,00,00930,00,2,18,1,07,L13,980110,619200,0,,,,6,.,2,,157,0,0,,19,0716,.,,,5.0,,Ramb,,0,2005
05IN00108,2000000976,00976,00,00976,00,2,18,1,07,L35,866710,778910,0,,,,1,.,1,,164,182,2,,,,.,04,1,5.0,,Ramb,,0,2005
05IN00109,2000000979,00979,00,00979,00,2,18,1,07,L12,805010,403100,0,,,,1,.,2,,146,169,4,,,,.,05,1,5.0,THIN,Ramb,,0,2005
05IN00110,2000000980,00980,00,00980,00,2,00,1,92,L00,000044,950663,1,,,0,6,BLK,*,,0,0,0,B,50,0329,X,,,5.0,"DOWNER, CLA",Blk,,0,2005
05IN00111,2000001015,01015,00,01015,00,2,18,1,07,L11,926410,017505,0,,,,1,.,2,,176,189,2,,,,.,06,1,5.0,IN W/ RED 41,Ramb,,0,2005
05IN00112,2000001056,01056,00,01056,00,2,18,1,07,L12,805010,883500,2,,,,O,OVX,5,,162,185,1,X,,,.,OVX,O,5.0,"OVX, SMALL",Ovx,,0,2005
05IN00113,2000001066,01066,00,01066,00,2,18,1,07,L34,785310,841500,2,,,,O,OVX,*,,0,0,0,X,16,0217,.,OVX,O,5.0,"CLR2, OVX",Ovx,,0,2005
05IN00114,2000001103,01103,00,01103,00,2,18,1,07,L35,866710,717010,2,,,,1,.,1,,161,179,2,,,,.,07,1,5.0,,Ramb,,0,2005
05IN00115,2000001131,01131,00,01131,00,2,68,1,06,L05,011664,027664,0,,,,1,.,1,,206,207,2,,,,G,03,1,5.0,,Colu,,0,2005
05IN00116,2000001139,01139,00,01139,00,2,68,1,06,L04,988463,027364,2,,,,O,OVX,5,,223,0,0,X,95,0523,.,OVX,O,5.0,"OVX,ABS.TAIL",Ovx,,0,2005
