UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
88IN00001,1986030001,L0001,03,86,2,72,2,30,724,765602,337502,6,,1,,,,,,1,,5,149,171,01,,,,,,,FL,3,,,15,,1988
88IN00002,1986030007,L0007,03,86,2,75,2,30,733,761202,675501,6,,1,,,,,,1,,5,137,161,01,,,,,,,731,3,,,15,,1988
88IN00003,1986030009,L0009,03,86,2,72,2,30,724,765602,606302,6,,1,,,,,,1,,5,137,194,02,,,,,,,FL,4,,,15,,1988
88IN00004,1986030014,L0014,03,86,2,73,2,40,005,023120,748402,6,,,,,,,,4,,5,124,144,01,,,S,92,0920,,,,,,15,,1988
88IN00005,1980020015,Y0015,02,80,2,76,1,35, 08,675107,779205,6,,0,1,0,0,,,2,125,5,162,174,02,,,,92,0922,,,,,,80,,1988
88IN00006,1986030015,L0015,03,86,2,73,2,40,005,023120,748402,6,,,,,,,,4,,5,115,131,01,,,S,92,0920,,,,,,15,,1988
88IN00007,1986030016,L0016,03,86,1,73,2,30,733,761202,069702,6,,1,,,,,,2,224,M,167,202,,,,,92,0922,,,,,,15,,1988
88IN00008,         0,M0022,97,84,1,97,1,97,,,,,,,,,,,,1,,M,286,305,,,,,,,,,,,,40,5 JAW,1988
88IN00009,1986030024,L0024,03,86,2,75,2,30,732,740202,413002,6,,1,,,,,,1,,5,145,148,01,,,,,,,732,3,,,15,,1988
88IN00010,1986030027,L0027,03,86,2,73,2,30,731,740102,390202,6,,1,,,,,,1,,5,142,146,01,,,,,,,733,3,,,15,,1988
88IN00011,1986030028,L0028,03,86,2,73,2,30,731,740102,390202,6,,1,,,,,,1,,5,133,0,,,,,50,0823,,,,,,15,,1988
88IN00012,1986030033,L0033,03,86,1,75,2,30,738,765902,807101,2,,1,,,,,,3,,*,0,0,,,,A,,,,,,,,15,ANN'S RAMS,1988
88IN00013,1986030034,L0034,03,86,1,75,2,30,738,765902,807101,6,,1,,,,,,,,M,145,0,,,,,93,0606,,,,,,15,,1988
88IN00014,1986030039,L0039,03,86,2,72,2,30,722,765502,454102,6,,1,,,,,,1,,5,120,152,01,,,,,,,FL,4,,,15,,1988
88IN00015,1982630041,K0041,63,82,2,60,1,06,603,902362,676262,,,,,,,,,1,,3,165,159,03,,,,,,,601,1,,,60,,1988
88IN00016,1982630048,K0048,63,82,2,63,1,06,631,894862,808662,7,,,,,,,,1,,8,144,151,02,,,,,,,601,2,,,60,,1988
88IN00017,1986030050,L0050,03,86,2,73,2,30,738,765902,182502,6,,1,,,,,,1,,5,166,165,01,,,,,,,734,3,,,15,,1988
88IN00018,1982630050,K0050,63,82,2,61,1,06,611,962862,824462,,,,,,,,,1,,3,162,164,03,,,,,,,611,2,,,60,,1988
88IN00019,1982630051,K0051,63,82,2,61,1,06,611,962862,824462,,,,,,,,,1,,1,160,162,04,,,,,,,612,3,,,60,,1988
