UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,C14,SEA,PD,RGRP,ELG,STM,TBR,ADAM,TRT1,TRT2,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,CAUSE,XVET,YRREC
75IN00001,1969310073,69,2,10073,,,11,,1,,,,07,,,,,,, 32,,,,144,,,,,,31,,,,000001,,,288001,,,1975
75IN00002,1969310096,69,2,10096,,,10,,2,,,,07,,,,,,, 01,,,,108,,,,,,31,,,,000001,,,370501,,,1975
75IN00003,1969310127,69,2,10127,,,10,,2,,,,07,,,,,,, 02,,, 2,143,141,,,,,31,,,,000001,3,,395801,,,1975
75IN00004,1970310332,70,2,10332,,,01,,2,,,,07,,,,,,,,,,,164,,7,,,,31,0918,,,,,,,97,,1975
75IN00005,1971010946,71,2,P0946,,,11,,1,,,,07,,,,,,,,,,,127,,4,,,,01,,,,017601,,,399601,,,1975
75IN00006,1971011197,71,2,P1197,,,02,,1,,,,07,,,,,,,,,,,85,,7,,,,01,0918,,,000001,,,291801,97,,1975
75IN00007,1971011241,71,2,P1241,,,03,,2,,,,07,,,,,,, 01,,,,114,,,,,,01,,,,000001,,,006601,,,1975
75IN00008,1972011482,72,2,P1482,,,30,,1,,3,,07,,,,,,,,,, 2,123,156,4,,,,01,,,,013501,,,024301,,,1975
75IN00009,1972011672,72,2,P1672,,,31,,1,,,,07,,,,,,, 01,,,,133,,,,,,01,,,,003701,,,412201,,,1975
75IN00010,1972011686,72,2,P1686,,,11,,1,,,,07,,,,,,, 03,,,,155,,,,,,01,,,,032101,,,387501,,,1975
75IN00011,1972011694,72,2,P1694,,,11,,1,,3,,07,,,,,,,,,, 2,127,156,4,,,,01,,,,032101,,,368401,,,1975
75IN00012,1972011740,72,2,P1740,,,12,,1,,,,07,,,,,,, 01,,,,150,,,,,,01,,,,022201,,,429101,,,1975
75IN00013,1972011854,72,2,P1854,,,30,,1,,3,,07,,,,,,,,,,,121,139,4,,,,01,,,,013501,5,,389901,,,1975
75IN00014,1972011979,72,2,P1979,,,01,,2,,,,07,,,,,,, 02,,,,141,,,,,,01,,,,000001,,,266401,,,1975
75IN00015,1973012158,73,2,P2158,,,12,,1,,,,07,,,,,,1, 03,106,09, 1,136,142,,,085,,01,,,,126101,3,,386101,,,1975
75IN00016,1973012488,73,2,P2488,,,11,,1,,,,07,,,,,,1, 01,108,08,,131,,,,078,,01,,,,121301,,,326201,,,1975
75IN00017,1967102657,67,2,U2657,,,10,,1,,,,07,,,,,,, 32,,,,129,,,,,,10,,,,000001,,,360201,,,1975
75IN00018,1967102664,67,2,U2664,,,,,,,3,,07,,,,,,,,,,,149,,3,,,,10,0825,,,,,,,93,,1975
75IN00019,1973012712,73,2,P2712,,,03,,2,,,,07,,,,,,, 02,078,,,100,,,,,,01,,,,177401,,,007301,,,1975
75IN00020,1973012713,73,2,P2713,,,03,,2,2,,,07,,,,,,, 44,079,,,89,124,2,,,,01,0925,,,177401,5,,007301,92,,1975
