UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BCS_FALL,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,BCS_NOV,WTWIN,WDAYW,BCS_WIN
21BR00001,A0049,3.0,,.,34,1,0,157,3.5,2,163,1006,W,1,,30,171,1105,4.0,195,0105,4.0
21BR00002,A0059,3.0,,.,36,1,7,167,4.0,1,177,1006,W,1,,30,178,1105,4.0,228,0105,4.0
21BR00003,A0073,3.0,,WARTS,41,1,,208,3.5,2,215,1006,W,1,,30,209,1105,4.5,241,0105,4.5
21BR00004,A0103,3.0,,ScoursTx,38,1,,162,3.0,1,175,1006,W,1,,30,173,1105,4.5,201,0105,4.0
21BR00005,A0106,3.0,,.,40,1,0,172,3.5,2,167,1007,W,1,,30,164,1105,4.5,191,0105,4.0
21BR00006,A0110,3.0,,CHUNKYMILKRS,35,1,0,167,3.5,1,172,1006,W,1,,30,176,1105,4.0,199,0105,3.5
21BR00007,A0164,3.0,,.,39,1,,204,4.5,1,202,1006,W,1,,30,205,1105,5.0,251,0105,5.0
21BR00008,A0175,3.0,,WARTS,34,1,0,174,4.0,1,177,1007,W,1,,30,180,1105,4.0,201,0105,4.5
21BR00009,A0184,3.0,,.,41,1,0,167,3.5,1,165,1006,W,1,,30,175,1105,4.0,208,0105,4.0
21BR00010,A0187,3.0,,LT,36,1,0,197,4.0,1,201,1006,W,1,,30,198,1105,4.5,228,0105,4.5
21BR00011,A0188,3.0,,.,34,1,7,161,4.0,2,164,1007,W,1,,30,166,1105,4.0,190,0105,4.5
21BR00012,A0192,3.0,,.,36,1,0,134,3.5,1,132,1007,W,1,,30,130,1105,4.0,154,0105,4.0
21BR00013,A0193,3.0,,.,38,1,0,160,3.5,1,160,1006,W,1,,30,155,1105,4.0,186,0105,4.0
21BR00014,A0196,3.0,,.,41,1,0,205,4.0,1,209,1006,W,1,,30,206,1105,4.0,239,0105,3.5
21BR00015,A0203,3.0,,.,37,1,0,197,3.5,1,208,1006,W,1,,30,212,1105,4.5,245,0105,4.5
21BR00016,A0207,3.0,,.,39,1,0,177,4.0,1,176,1006,W,1,,30,183,1105,4.0,221,0105,4.5
21BR00017,A0216,3.0,,.,39,1,,171,4.0,2,182,1006,W,1,,30,183,1105,4.0,219,0105,4.0
21BR00018,A0232,3.0,,.,40,1,0,158,4.0,1,165,1006,W,1,,30,175,1105,4.0,206,0105,4.5
21BR00019,A0244,3.0,,.,38,1,0,202,4.5,1,212,1006,W,1,,30,207,1105,4.0,238,0105,5.0
21BR00020,A0253,3.0,,.,35,1,0,163,3.5,1,164,1006,W,1,,30,165,1105,4.0,196,0105,4.5
21BR00021,A0268,3.0,,Thin 2020,37,1,0,172,4.0,1,174,1006,W,1,,30,179,1105,4.0,211,0105,4.0
21BR00022,A0287,3.0,,.,36,1,0,190,3.5,1,195,1006,W,1,,30,191,1105,4.0,229,0105,4.0
21BR00023,A0309,3.0,,.,36,1,,205,4.0,2,210,1007,W,1,,30,204,1105,4.0,241,0105,4.5
21BR00024,A0311,3.0,,.,39,1,7,223,5.0,D,224,1006,W,1,,30,227,1105,5.0,257,0105,5.0
