UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,BLEED,STM,C1107,W1107,C0111,W0111
06BR00775,R3535,5.0,18,,21,1,0,182,1,W,1,.,.,07,5,173,6,182
06BR00776,R3592,5.0,18,,24,1,0,194,1,W,1,.,.,07,6,183,6,183
06BR00777,R3598,5.0,18,THIN,15,1,0,224,1,W,1,.,.,43,7,222,7,207
06BR00778,R3600,5.0,18,FAT,15,1,0,222,1,W,1,.,.,07,7,210,8,205
06BR00779,R3646,5.0,18,B.L.NICE EWE, 5,1,0,170,1,W,1,.,.,43,6,162,6,176
06BR00780,R3662,5.0,18,4TEATS,29,1,0,159,1,W,1,.,.,43,5,153,6,154
06BR00781,R3667,5.0,18,,15,1,0,181,1,W,1,.,.,07,6,170,7,177
06BR00782,R3625,5.0,18,NEXT YEAR!,14,1,0,174,1,W,1,.,.,07,6,161,6,170
06BR00783,R3671,5.0,18,,28,1,0,192,1,W,1,.,.,07,6,185,5,165
06BR00784,R3670,5.0,18,, 8,1,0,196,1,W,1,.,.,07,7,194,7,187
06BR00785,R3678,5.0,18,,09,1,0,181,1,W,1,.,.,07,5,175,6,179
06BR00786,R3216,5.0,18,,19,1,0,171,1,W,1,.,.,07,5,163,6,171
06BR00787,R3231,5.0,18,UGLY OK, 5,1,0,161,1,W,1,.,.,43,6,149,5,160
06BR00788,R3241,5.0,18,R.P.,26,1,0,199,1,W,1,.,.,07,6,176,6,186
06BR00789,R3254,5.0,18,,17,1,0,185,1,W,1,.,.,07,6,173,7,184
06BR00790,R3260,5.0,18,4TEATS,27,1,0,191,1,W,1,.,.,07,7,181,8,177
06BR00791,R3269,5.0,18,SW.BAG,23,1,0,178,1,W,1,.,.,07,6,173,6,180
06BR00792,R3227,5.0,18,THIN,07,1,0,175,1,W,1,.,.,07,5,162,6,167
06BR00793,R3286,5.0,18,ENTR,08,1,0,190,1,W,1,.,.,07,6,172,6,179
06BR00794,R3288,5.0,18,,08,1,0,185,1,W,1,.,.,43,5,176,5,182
06BR00795,R3287,5.0,18,TEATS DOWN, 9,1,0,210,1,W,1,.,.,43,7,206,7,202
06BR00796,R3271,5.0,18,SM.BAG.OK, 8,1,0,181,1,W,1,.,.,07,6,174,7,180
06BR00797,R3811,5.0,18,THIN, 7,1,0,196,1,W,1,.,.,07,6,179,6,192
06BR00798,R3801,5.0,18,OPP TX Bio200,03,1,0,197,1,W,1,.,.,07,6,194,6,194
06BR00799,R3806,5.0,18,BOTHatONCE,04,1,0,194,1,W,1,.,.,07,6,185,6,188
06BR00800,R3830,5.0,18,NOT DILATED,29,1,0,163,1,W,1,.,.,07,4,157,5,167
06BR00801,R3845,5.0,18,METRITIS.TX.,06,1,0,194,2,W,1,.,.,07,6,177,6,183
06BR00802,R3850,5.0,18,THIN, 6,1,0,158,1,W,1,.,.,07,7,152,7,162
06BR00803,R3820,5.0,18,,17,1,0,178,1,W,1,.,.,07,5,167,5,178
06BR00804,R3886,5.0,18,,25,1,0,200,1,W,1,.,.,07,8,191,7,188
06BR00805,R3898,5.0,18,NICE,02,1,0,173,2,W,1,.,.,07,5,163,4,173
06BR00806,R3879,5.0,18,MLTS/SHRUNK,07,1,0,203,1,W,1,.,.,07,6,192,7,193
06BR00807,R3918,5.0,18,4TEATS,25,1,0,187,1,W,1,.,.,07,5,174,6,183
06BR00808,R3933,5.0,18,NICE,16,1,0,195,1,W,1,.,.,07,5,201,6,196
06BR00809,R3934,5.0,18,LTS THIN RACK,16,1,0,176,1,W,1,.,.,07,5,171,6,178
06BR00810,R3985,5.0,18,LAME Jan'07,26,1,0,223,2,W,1,.,.,07,7,212,7,197
06BR00811,R3712,5.0,18,,14,1,0,159,1,W,1,.,.,07,6,150,7,168
06BR00812,R3745,5.0,18,SORE DYST...,24,1,0,200,5,W,1,.,.,07,7,201,8,204
06BR00813,R3752,5.0,18,SUCK1SIDE,11,1,0,185,1,W,1,.,.,07,5,175,6,175
06BR00814,R3727,5.0,18,,18,1,0,198,1,W,1,.,.,07,6,189,6,179
06BR00815,R3785,5.0,18,,03,1,0,181,H,W,1,.,.,07,5,176,6,188
06BR00816,R3794,5.0,18,,02,1,0,195,1,W,1,.,.,07,6,187,6,193
06BR00817,R3772,5.0,18,,05,1,0,199,1,W,1,.,.,43,6,180,6,190
06BR00818,R4114,4.0,18,,26,1,0,141,1,W,1,.,.,07,4,137,3,155
06BR00819,R4119,4.0,18,FLTS, 1,1,0,186,1,W,1,.,.,07,6,176,7,187
06BR00820,R4101,4.0,18,NICE,04,1,0,191,1,W,1,.,.,07,6,172,6,179
06BR00821,R4105,4.0,18,NICE,19,1,0,187,1,W,1,.,.,07,6,182,6,191
06BR00822,R4108,4.0,18,,29,1,0,202,1,W,1,.,.,07,5,187,6,187
06BR00823,R4135,4.0,18,,01,1,0,176,2,W,1,.,.,07,5,172,6,183
06BR00824,R4132,4.0,18,, 1,1,0,177,1,W,1,.,.,07,5,173,5,178
06BR00825,R4155,4.0,18,"THIN, RP, TX.", 2,1,0,172,1,W,1,.,.,07,6,162,6,164
06BR00826,R4159,4.0,18,FEET SPECKS, 4,1,0,183,1,W,1,.,.,07,7,176,6,173
06BR00827,R4123,4.0,18,,12,1,0,191,1,W,1,.,.,07,7,183,6,184
06BR00828,R4126,4.0,18,NICE,21,1,0,179,1,W,1,.,.,07,6,170,6,175
06BR00829,R4127,4.0,18,DUPL. @GRN38,23,1,0,186,2,W,1,.,.,07,7,177,7,191
06BR00830,R4181,4.0,18,BIG4HER,12,1,0,195,1,W,1,.,.,07,6,182,7,190
06BR00831,R4197,4.0,18,,02,1,0,199,1,W,1,.,.,07,7,184,8,187
06BR00832,R4006,5.0,18,PLACENTITIS,06,1,0,168,1,W,1,.,.,07,5,158,6,170
06BR00833,R4060,4.0,18,BIG4HER, 8,1,0,173,1,W,1,.,.,07,7,166,6,167
06BR00834,R4063,4.0,18,THIN RACK,13,1,0,162,H,W,1,.,.,07,5,153,4,153
06BR00835,R4085,4.0,18,NICE,11,1,0,189,1,W,1,.,.,07,6,178,6,181
06BR00836,R4088,4.0,18,SUCK1SIDE,08,1,0,199,1,W,1,.,.,07,5,190,6,193
06BR00837,R4089,4.0,18,HAIRY <<<, 9,1,0,159,1,W,1,.,.,07,7,153,6,158
06BR00838,R4099,4.0,18,ABS.RR.FOOT??,09,1,0,171,H,W,1,.,.,07,5,170,5,170
06BR00839,R4301,3.0,18,, 9,1,0,212,1,W,1,.,.,07,7,203,7,201
06BR00840,R4303,3.0,18,,08,1,7,163,1,W,1,.,.,07,5,152,6,149
06BR00841,R4336,3.0,18,ONE WF+ONE BF,12,1,7,155,2,W,1,.,.,07,4,145,5,155
06BR00842,R4341,3.0,18,,09,1,7,168,1,W,1,.,.,07,5,162,6,167
06BR00843,R4353,3.0,18,HAIRY,23,1,7,160,2,W,1,.,.,07,5,149,6,164
06BR00844,R4355,3.0,18,,22,1,0,183,2,W,1,.,.,07,7,175,8,189
06BR00845,R4361,3.0,18,SUCK1SIDE,17,1,0,171,2,W,1,.,.,07,5,169,6,178
06BR00846,R4362,3.0,18,4TEATS,11,1,0,176,2,W,1,.,.,07,5,160,4,178
06BR00847,R4367,3.0,18,, 3,1,0,165,2,W,1,.,.,07,7,156,7,171
06BR00848,R4320,3.0,18,, 8,1,0,173,2,W,1,.,.,07,6,181,6,187
06BR00849,R4325,3.0,18,,23,1,0,186,1,W,1,.,.,07,6,178,6,186
06BR00850,R4322,3.0,18,,05,1,0,192,1,W,1,.,.,07,6,173,7,181
06BR00851,R4380,3.0,18,THIN R.P.,27,1,7,158,1,W,1,.,.,07,6,154,5,168
