UID,ETAG,YR,SEX,LINE,LOT,BPEN,PD,FAWT,COND,BGRP,GRP,RMK
92BR03106,X3539,87,2,65,35A,-Z-,1,183,2,L,,
92BR03107,X3578,87,2,65,30B,-Z-,1,164,3,L,,
92BR03108,X3619,87,2,67,35C,-Z-,1,153,2,L,,
92BR03109,X3629,87,2,65,35A,-Z-,1,160,3,L,,
92BR03110,X3649,87,2,65,32C,-Z-,1,188,3,L,,
92BR03111,X3667,87,2,97,,972,1,0,,1,,LATE2MILK
92BR03112,X3701,87,2,67,31B,-Z-,1,195,5,L,,
92BR03113,X3706,87,2,97,,972,1,0,,1,,
92BR03114,X3710,87,2,67,34D,-Z-,1,171,3,L,,
92BR03115,X3718,87,2,65,29A,-Z-,1,158,3,L,,
92BR03116,X3753,87,2,65,34D,-Z-,1,153,2,L,,
92BR03117,X3829,87,2,97,,972,1,0,,1,,
92BR03118,X3830,87,2,97,BFX,-X,3,0,,X,,1992-DRY
92BR03119,X3834,87,2,67,31D,-Z-,1,139,2,L,,
92BR03120,X3836,87,2,67,31B,-Z-,1,151,2,L,,SW.BAG
92BR03121,X3841,87,2,67,29C,-Z-,1,174,3,L,,
92BR03122,X3842,87,2,65,34D,-Z-,1,157,3,L,,
92BR03123,X3904,87,2,67,30A,-Z-,1,168,3,L,,
92BR03124,X3905,87,2,67,35C,-Z-,1,136,2,L,,
92BR03125,X3962,87,2,65,30B,-Z-,1,151,2,L,,
92BR03126,X4012,87,2,97,,972,1,0,,1,,
92BR03127,X4078,87,2,45,32C,R-0,1,150,2,2,,
92BR03128,X4089,87,2,47,32C,R-0,1,145,2,2,,
92BR03129,X4267,87,2,45,34D,R-0,1,161,3,2,,
92BR03130,X4317,87,2,45,31D,R-0,1,180,3,2,,
92BR03131,X4363,87,2,45,32A,R-0,1,147,3,2,,
92BR03132,X4409,87,2,47,31D,R-0,1,159,3,2,,5BAG.AB.
92BR03133,X4430,87,2,00,,B-0,1,145,3,1,B,BLACK
92BR03134,X4431,87,2,47,35A,R-0,1,147,1,2,,DYSTOCIA
92BR03135,X4486,87,2,47,32C,R-0,1,148,3,2,,
92BR03136,X4501,87,2,47,32A,R-0,1,155,3,2,,
92BR03137,X4508,87,2,45,34A,R-0,1,118,2,2,,
92BR03138,X4529,87,2,45,29A,R-0,1,162,2,2,,
92BR03139,X4549,87,2,47,32C,R-0,1,155,2,2,,
92BR03140,X4561,87,2,47,34A,R-0,1,108,2,2,,
92BR03141,X4585,87,2,47,34D,R-0,1,172,2,2,,
92BR03142,X4598,87,2,47,35A,R-0,1,138,2,2,,
92BR03143,X4608,87,2,47,34D,R-0,1,175,3,2,,
92BR03144,X4683,87,2,47,35C,R-0,1,169,2,2,,
92BR03145,X4687,87,2,00,,B-0,1,171,2,1,B,BLACK
92BR03146,X4702,87,2,45,30A,R-0,1,148,3,2,,
92BR03147,X4709,87,2,47,30B,R-0,1,148,2,2,,
92BR03148,X4727,87,2,47,34D,R-0,1,133,2,2,,
92BR03149,X4778,87,2,47,31B,R-0,1,140,3,2,,
92BR03150,X4823,87,2,45,29A,R-0,1,168,3,2,,
92BR03151,X4828,87,2,47,29A,R-0,1,166,4,2,,
92BR03152,X4831,87,2,47,29A,R-0,1,182,2,2,,
92BR03153,X4833,87,2,47,35A,R-0,1,153,2,2,,
92BR03154,X4877,87,2,47,30A,R-0,1,145,3,2,,
92BR03155,X4878,87,2,47,30A,R-0,1,151,3,2,,
92BR03156,X5075,87,2,47,31D,R-0,1,164,3,2,,
92BR03157,X5099,87,2,45,31D,R-0,1,150,2,2,,SUCK1SIDE
92BR03158,X5113,87,2,47,29A,R-0,1,176,2,2,,FIBERY?
92BR03159,X5140,87,2,47,30A,R-0,1,163,1,2,,
92BR03160,X5219,87,2,47,29A,R-0,1,179,3,2,,
92BR03161,X5283,87,2,47,34A,R-0,1,136,3,2,,
92BR03162,X5360,87,2,47,34D,R-0,1,127,3,2,,
92BR03163,X5415,87,2,47,35A,R-0,1,169,2,2,,
92BR03164,X5435,87,2,47,32C,R-0,1,178,2,2,,
92BR03165,X5509,87,2,97,BFX,-X,3,0,,X,,"THIN,LUNGER"
92BR03166,X5631,88,2,67,29A,-Z-,1,138,3,L,,
92BR03167,X5662,88,2,97,,971,1,0,,1,,
92BR03168,X5669,88,2,67,32A,-Z-,1,157,3,L,,
92BR03169,X5672,88,2,67,30A,-Z-,1,170,3,L,,SUCK1SIDE
92BR03170,X5680,88,2,65,29C,-Z-,1,187,3,L,,
92BR03171,X5698,88,2,67,32C,-Z-,1,169,2,L,,
92BR03172,X5712,88,2,65,34D,-Z-,1,177,4,L,,
92BR03173,X5821,88,2,65,34D,-Z-,1,138,1,L,,
92BR03174,X5827,88,2,65,31B,-Z-,1,130,2,L,,
92BR03175,X5836,88,2,97,,971,1,0,,1,,
92BR03176,X5870,88,2,58,34D,-Z-,1,157,2,L,,
92BR03177,X5890,88,2,67,31D,-Z-,1,165,3,L,,
92BR03178,X5923,88,2,97,,972,1,0,,1,,
92BR03179,X5936,88,2,97,,972,1,0,,1,,"THIN,REARED 2"
92BR03180,X5938,88,2,97,BFX,-X,3,0,,X,,VAG.PRO.
92BR03181,X5949,88,2,97,,972,1,0,,1,,
92BR03182,X5955,88,2,67,34A,-Z-,1,3,2,L,,lost eartag
92BR03183,X5958,88,2,65,34D,-Z-,1,156,3,L,,
92BR03184,X5987,88,2,67,35A,-Z-,1,163,2,L,,
92BR03185,X6046,88,2,67,29A,-Z-,1,149,4,L,,1TAG-U
92BR03186,X6084,88,2,97,,971,1,0,,1,,THICK.COL.
92BR03187,X6093,88,2,67,35C,-Z-,1,161,2,L,,
92BR03188,X6181,88,2,65,35C,-Z-,1,154,3,L,,
92BR03189,X6205,88,2,65,32A,-Z-,1,167,2,L,,
92BR03190,X6211,88,2,97,,972,1,0,,1,,
92BR03191,X6253,88,2,67,35A,-Z-,1,132,2,L,,
92BR03192,X6273,88,2,97,,971,1,0,,1,,THK.COLOS.
92BR03193,X6471,88,2,67,34D,-Z-,1,150,2,L,,
92BR03194,X6483,88,2,65,30A,-Z-,1,191,3,L,,
