UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
16BR00001,H5570,6.0,,.,40,1,0,169,1,W,1,,30,168,1107,171,0110
16BR00002,H5592,6.0,,4TEATS,40,1,0,155,2,W,1,,30,147,1107,150,0110
16BR00003,H5686,6.0,,TerminalOnly,43,1,0,154,2,W,1,,30,150,1107,166,0110
16BR00004,H5696,6.0,,RSDBLOODY,39,1,0,174,2,W,1,,30,180,1107,174,0110
16BR00005,H5706,6.0,,4TEATS,41,1,0,164,1,W,1,,30,168,1107,174,0110
16BR00006,H5730,6.0,,SRS.MORE,38,1,0,187,1,W,1,,30,195,1107,194,0110
16BR00007,H5768,6.0,,TerminalOnly,39,1,0,171,1,W,1,,30,161,1107,169,0110
16BR00008,H5842,6.0,,Bret Grp 3,42,1,0,175,1,W,1,,30,171,1107,175,0110
16BR00009,H5843,6.0,,In 10-25-13,41,1,0,152,1,W,1,,30,154,1107,163,0110
16BR00010,H5844,6.0,,WARTSBUTOK,39,1,0,173,1,W,1,,30,167,1107,171,0110
16BR00011,H5970,6.0,,NICE LAMB,41,1,0,184,1,W,1,,30,184,1107,198,0110
16BR00012,H6016,6.0,,RH.LAME.FT.AB,41,1,0,143,1,W,1,,30,145,1107,152,0110
16BR00013,H6032,6.0,,RP,43,1,0,176,1,W,1,,30,173,1107,172,0110
16BR00014,H6037,6.0,,2@ONCE,40,1,0,162,1,W,1,,30,167,1107,162,0110
16BR00015,H6058,6.0,,ORANGE DOT,42,1,0,155,2,W,1,,30,158,1107,162,0110
16BR00016,H6064,6.0,,LTL LAME,39,1,0,153,1,W,1,,30,151,1107,152,0110
16BR00017,H6068,6.0,,.,40,1,0,154,D,W,1,,30,152,1107,153,0110
16BR00018,H6094,6.0,,TerminalOnly,39,1,0,164,1,W,1,,30,165,1107,162,0110
16BR00019,H6177,6.0,,In 10-25-13,43,1,0,147,2,W,1,,30,149,1107,147,0110
16BR00020,H6272,6.0,,TerminalOnly,38,1,0,167,1,W,1,,30,169,1107,169,0110
16BR00021,H6388,6.0,,TerminalOnly,41,1,0,153,1,W,1,,30,152,1107,154,0110
16BR00022,H6480,6.0,,NiceForTerm,41,1,0,162,2,W,1,,30,152,1107,156,0110
16BR00023,H6526,6.0,,TerminalOnly,42,1,0,171,1,W,1,,30,160,1107,156,0110
16BR00024,H6539,5.0,,INCR.RR,39,1,0,162,1,W,1,,30,165,1107,172,0110
16BR00025,H6548,5.0,,WARTS,27,1,0,185,2,W,1,,30,195,1107,187,0110
16BR00026,H6597,5.0,,SRS.MORE,39,1,0,162,1,W,1,,30,168,1107,179,0110
16BR00027,H6601,5.0,,4TEATS,42,1,0,193,2,W,1,,30,188,1107,198,0110
16BR00028,H6632,5.0,,TerminalOnly,33,1,0,151,1,W,1,,30,165,1107,157,0110
16BR00029,H6634,5.0,,TerminalOnly,35,1,0,134,1,W,1,,30,151,1107,136,0110
16BR00030,H6671,5.0,,TerminalOnly,12,1,0,167,D,W,1,,30,153,1107,142,0110
16BR00031,H6672,5.0,,TerminalOnly,6,1,0,187,2,W,1,,30,199,1107,196,0110
16BR00032,H6680,5.0,,TerminalOnly,28,1,0,198,2,W,1,,30,224,1107,208,0110
16BR00033,H6727,5.0,,TerminalOnly,11,1,0,128,1,W,1,,30,140,1107,,
16BR00034,H6729,5.0,,TerminalOnly,7,1,0,152,1,W,1,,30,153,1107,158,0110
16BR00035,H6739,5.0,,LFTOEABSCESS,13,1,0,141,H,W,1,,30,154,1107,149,0110
16BR00036,H6751,5.0,,TerminalOnly,26,1,0,166,2,W,1,,30,160,1107,165,0110
16BR00037,H6807,5.0,,TerminalOnly,5,1,0,180,1,W,1,,30,184,1107,164,0110
16BR00038,H6832,5.0,,4TEATS  SCOUR,40,1,0,208,2,W,1,,30,206,1107,200,0110
16BR00039,H6848,5.0,,TerminalOnly,23,1,0,193,2,W,1,,30,195,1107,195,0110
16BR00040,H6850,5.0,,TerminalOnly,29,1,0,151,2,W,1,,30,164,1107,150,0110
16BR00041,H6885,5.0,,TerminalOnly,22,1,0,176,D,W,1,,30,167,1107,162,0110
16BR00042,H6900,5.0,,TerminalOnly,10,1,0,173,1,W,1,,30,184,1107,168,0110
