UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
19BR00609,S0521,4.0,,.,44,2,,187,2,176,1010,W,1,,07,178,1113,186,0108
19BR00610,S0527,4.0,,HARDLEFTS,44,2,,186,2,173,1008,W,1,,07,180,1113,180,0108
19BR00611,S0528,4.0,,.,46,2,0,166,2,164,1008,W,1,,07,172,1113,187,0108
19BR00612,S0535,4.0,,.,48,2,0,169,2,156,1008,W,1,,07,164,1113,177,0108
19BR00613,S0544,4.0,,.,47,2,0,194,2,178,1008,W,1,,07,194,1113,199,0108
19BR00614,S0560,4.0,,BL.ON.NOSE,43,2,0,185,2,172,1008,W,1,,07,171,1113,183,0108
19BR00615,S0562,4.0,,RSHLDRLACERTN,50,2,0,173,1,160,1008,W,1,,07,174,1113,185,0108
19BR00616,S0564,4.0,,ClawAmputated,52,2,0,156,2,152,1008,W,1,,07,186,1113,175,0108
19BR00617,S0581,4.0,,.,43,2,0,168,2,169,1008,W,1,,07,167,1113,176,0108
19BR00618,S0620,4.0,,.,53,2,0,179,2,180,1008,W,1,,07,186,1113,201,0108
19BR00619,S0622,4.0,,.,44,2,,187,2,173,1008,W,1,,07,177,1113,186,0108
19BR00620,S0662,4.0,,.,49,2,0,183,2,184,1008,W,1,,07,185,1113,193,0108
19BR00621,S0664,4.0,,SM.BAG,61,2,,194,1,188,1008,W,1,,01,202,1113,206,0108
19BR00622,S0678,4.0,,LAME.LH,54,2,0,178,1,165,1008,W,1,,07,184,1113,191,0108
19BR00623,S0684,4.0,,.,51,2,0,199,2,182,1008,W,1,,07,193,1113,201,0108
19BR00624,S0685,4.0,,OKFORONE,48,2,,156,1,143,1008,W,1,,07,161,1113,168,0108
19BR00625,S0710,4.0,,.,53,2,0,178,1,171,1010,W,1,,07,190,1113,189,0108
19BR00626,S0720,4.0,,.,51,2,0,183,1,176,1008,W,1,,07,193,1113,186,0108
19BR00627,S0748,3.0,,.,50,2,0,195,1,182,1008,W,1,,07,197,1113,197,0108
19BR00628,S0751,3.0,,X Lame,47,2,0,157,2,157,1008,W,3,93,07,,,,
19BR00629,S0755,3.0,,.,42,2,0,215,D,200,1008,W,1,,07,202,1113,201,0108
19BR00630,S0757,3.0,,.,63,2,0,223,2,216,1008,W,1,,07,220,1113,221,0108
19BR00631,S0759,3.0,,.,55,2,0,202,2,204,1008,W,1,,07,213,1113,221,0108
19BR00632,S0760,3.0,,SM.BAG,50,2,0,185,2,177,1008,W,1,,07,194,1113,194,0108
19BR00633,S0763,3.0,,RHBumblefoot,56,2,0,153,1,142,1010,W,1,,07,160,1113,157,0108
19BR00634,S0764,3.0,,.,51,2,0,157,1,151,1008,W,1,,07,173,1113,174,0108
19BR00635,S0769,3.0,,.,64,2,0,204,D,195,1008,W,1,,07,195,1113,201,0108
19BR00636,S0771,3.0,,.,51,2,,166,1,157,1008,W,1,,07,179,1113,182,0108
19BR00637,S0773,3.0,,.,53,2,,165,1,161,1008,W,1,,07,173,1113,174,0108
19BR00638,S0777,3.0,,.,64,2,0,176,2,155,1008,W,1,,43,174,1113,188,0108
19BR00639,S0792,3.0,,.,48,2,0,149,1,150,1008,W,1,,07,143,1113,156,0108
19BR00640,S0802,3.0,,.,41,2,,166,2,165,1008,W,1,,07,179,1113,188,0108
19BR00641,S0817,3.0,,LameLH/LFTx,54,2,0,199,1,191,1008,W,1,,07,201,1113,217,0108
19BR00642,S0824,3.0,,.,63,2,0,186,2,178,1008,W,1,,07,184,1113,189,0108
19BR00643,S0825,3.0,,.,56,2,0,186,2,184,1008,W,1,,07,198,1113,201,0108
19BR00644,S0827,3.0,,.,57,2,0,206,1,207,1008,W,1,,07,206,1113,213,0108
19BR00645,S0830,3.0,,.,62,2,0,208,2,195,1010,W,1,,07,212,1113,222,0108
