UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,DISP,PESSARY
03BR00001, 8019,5.0,18,L.EYE TRT '02, 1,2,.,190,4,W,,
03BR00002, 8084,5.0,18,BLK. EAR, 2,2,.,142,4,W,,
03BR00003, 8091,5.0,18,, 3,2,.,165,5,W,,
03BR00004, 8320,5.0,18,PG inDRYS'03, 4,2,.,148,4,W,,
03BR00005, 8375,5.0,18,, 5,2,.,174,5,W,,
03BR00006, 8416,5.0,18,, 6,2,.,174,4,W,,
03BR00007, 8439,5.0,88,,11,5,.,164,1,W,,
03BR00008, 8441,5.0,18,,31R,1,.,170,2,W,,
03BR00009, 8443,5.0,88,TAG CUT '2002,12,5,.,162,2,W,,
03BR00010, 8462,5.0,88,,12P,1,.,174,2,W,,
03BR00011, 8423,5.0,88,,11P,1,.,146,1,W,,
03BR00012, 8492,5.0,18,, 7,2,.,206,5,W,,
03BR00013, 8516,5.0,88,WORN TAG,21,5,.,152,2,W,,
03BR00014, 8504,5.0,18,, 8,2,.,147,4,W,,
03BR00015, 8539,5.0,18,1TAG,11,5,.,168,4,W,,
03BR00016, 8595,5.0,88,,01P,1,.,153,1,W,,
03BR00017, 8601,5.0,18,,12,5,.,205,5,W,,
03BR00018, 8636,5.0,18,,32R,1,.,164,1,W,,
03BR00019, 8641,5.0,18,pg 4/24 156#,13,5,.,135,4,W,,
03BR00020, 8665,5.0,18,,14,5,.,191,5,W,,
03BR00021, 8668,5.0,88,,13P,1,.,161,1,W,,
03BR00022, 8695,5.0,18,TAG CUT '2002,15,5,.,186,1,W,,
03BR00023, 8697,5.0,88,BRITCHY,UTE,U,.,159,1,W,,
03BR00024, 8210,5.0,68,,51K,1,.,177,1,W,,
03BR00025, 8212,5.0,68,NICE,47,2,.,154,5,W,,
03BR00026, 8286,5.0,68,,52K,1,.,187,1,W,,
03BR00027, 8858,5.0,18,"DYSTOC,breech",17,5,.,179,1,W,,
03BR00028, 8876,5.0,18,,33R,1,.,160,1,W,,
03BR00029, 8757,5.0,68,,53K,1,.,184,1,W,,
03BR00030, 8764,5.0,18,,16,5,.,177,1,W,,
03BR00031, 8724,5.0,88,,22,5,.,142,1,W,,
03BR00032, 8780,5.0,88,"DYSTOCIA,INF.",14P,1,.,167,2,W,,
03BR00033, 8793,5.0,68,,12,5,.,178,1,W,,
03BR00034,01103,3.0,18,,23,5,.,178,1,W,,
03BR00035,01131,3.0,68,,32,2,.,209,5,W,,
03BR00036,01161,3.0,18,,24,5,.,184,5,W,,
03BR00037,01015,3.0,18,IN W/ RED 41,41,5,.,184,2,W,,
03BR00038,01019,3.0,88,DYSTOCIA,41,2,.,177,1,W,,
03BR00039,01328,3.0,88,"NICE, A",02P,1,.,175,2,W,,
03BR00040,01372,3.0,68,,53K,1,.,177,1,W,,
03BR00041,01379,3.0,18,PNEU.,27,5,.,163,1,W,,
03BR00042,01430,3.0,18,,28,5,.,170,1,W,,
03BR00043,01422,3.0,18,,31R,1,.,186,2,W,,
03BR00044,01470,3.0,18,THIN,31,2,.,143,1,W,,
03BR00045,01242,3.0,68,SUCK1SIDE,34,2,.,170,2,W,,
03BR00046,01267,3.0,18,,25,5,.,151,1,W,,None
03BR00047,01291,3.0,18,?UDDER,26,5,.,194,1,W,,
03BR00048,00102,3.0,88,,32,2,.,157,1,W,,
03BR00049,00136,3.0,18,, 1,2,.,186,1,W,,
03BR00050,00148,3.0,18,, 2,2,.,155,1,W,,
03BR00051,00197,3.0,18,DYSTOCIA, 4,2,.,165,2,W,,
03BR00052,00179,3.0,18,EYES OK, 3,2,.,160,4,W,,
03BR00053,00491,3.0,41,,11,5,.,156,2,W,,
03BR00054,00534,3.0,68,,16,5,.,174,1,W,,
03BR00055,00545,3.0,18,NICE, 6,2,.,186,4,W,,
03BR00056,00589,3.0,68,DYSTOCIA,18,5,.,164,2,W,,
03BR00057,00570,3.0,18,"SW.BAG,5+", 7,2,.,147,1,W,16,
03BR00058,00647,3.0,68,"NICE, A+",24,5,.,190,2,W,,
03BR00059,00657,3.0,88,,15P,1,.,171,1,W,,
03BR00060,00625,3.0,68,,22,5,.,194,1,W,,
03BR00061,00687,3.0,68,WILD LIM,28,5,.,188,1,W,,
03BR00062,00670,3.0,68,,26,5,.,195,1,W,,
03BR00063,00677,3.0,18,, 8,2,.,177,1,W,,
03BR00064,00216,3.0,18,, 5,2,.,168,2,W,,
03BR00065,00240,3.0,18,,34R,1,.,177,1,W,,
03BR00066,00816,3.0,18,,14,5,.,159,4,W,,
03BR00067,00872,3.0,18,,15,5,.,174,4,W,,
03BR00068,00904,3.0,18,NICE,16,5,.,156,2,W,,
03BR00069,00930,3.0,18,,17,5,.,176,2,W,,
03BR00070,00954,3.0,68,DIARRHEA,52K,1,.,165,2,W,,
03BR00071,00980,3.0,00,BLACK EWE,BLK,1,1,190,1,W,,
03BR00072,00976,3.0,18,,18,5,.,166,2,W,,
03BR00073,00979,3.0,18,DYSTOCIA,21,5,.,170,1,W,,
03BR00074,00707,3.0,18,,11,5,.,174,1,W,,None
03BR00075,00737,3.0,41,,12,5,.,191,1,W,,
03BR00076,00728,3.0,18,,12,5,.,164,1,W,,
03BR00077,00790,3.0,68,VLT,54K,1,.,198,1,W,,
03BR00078,00795,3.0,18,"LT,SUCK1SIDE",13,5,.,186,1,W,,
03BR00079,91108,4.0,88,,02P,1,.,172,1,W,,
03BR00080,91137,4.0,18,,33R,1,.,160,2,W,,
03BR00081,91120,4.0,18,,32R,1,.,175,2,W,,
03BR00082,91125,4.0,88,,21,5,.,186,2,W,,
03BR00083,91188,4.0,18,BRN.EARS,44,2,.,193,4,W,,
03BR00084,91174,4.0,88,,14P,1,.,156,2,W,,
03BR00085,91003,4.0,18,,41,2,.,186,5,W,,
03BR00086,91009,4.0,18,1TAG,42,2,.,179,5,W,,
03BR00087,91046,4.0,68,DYSTOCIA,46,2,.,187,2,W,,
03BR00088,91058,4.0,18,,34R,1,.,175,1,W,,
03BR00089,91020,4.0,18,,43,2,.,181,4,W,,
03BR00090,91072,4.0,18,,31R,1,.,150,1,W,,
03BR00091,91362,4.0,18,SW.BAG,46,2,.,181,4,W,,
03BR00092,91379,4.0,18,,47,2,.,163,4,W,,
03BR00093,91219,4.0,88,,03P,1,.,192,1,W,,
03BR00094,91251,4.0,68,TALL,54K,1,.,195,1,W,,
03BR00095,91265,4.0,18,DYSTOCIA,45,2,.,155,4,W,,
03BR00096,91271,4.0,00,"R.EYE,FILM",BLK,1,1,169,1,W,,
03BR00097,90102,4.0,88,,04P,1,.,180,1,W,,
03BR00098,90121,4.0,88,,12,5,.,171,1,W,,
03BR00099,90018,4.0,18,, 1,2,.,182,4,W,,
03BR00100,90035,4.0,88,,16P,1,.,161,5,W,,
03BR00101,90046,4.0,88,,11,5,.,207,1,W,,
03BR00102,90053,4.0,88,DYSTOCIA,03P,1,.,170,1,W,,
03BR00103,90056,4.0,00,SICK 11/24/03,BLK,1,1,162,5,W,,
03BR00104,90061,4.0,68,NICE,36,2,.,192,1,W,,
03BR00105,90096,4.0,18,, 2,2,.,182,5,W,,
03BR00106,90071,4.0,88,,21P,1,.,177,2,W,,
03BR00107,90077,4.0,68,,51K,1,.,183,1,W,,
03BR00108,90312,4.0,18,RP ok,16,5,.,176,4,W,,
03BR00109,90333,4.0,88,,22P,1,.,166,1,W,,
03BR00110,90335,4.0,18,,17,5,.,176,2,W,,
03BR00111,90365,4.0,18,,21,5,.,177,5,W,,
03BR00112,90362,4.0,18,,18,5,.,182,5,W,,
03BR00113,90386,4.0,18,,24,5,.,156,2,W,,
03BR00114,90392,4.0,18,,25,5,.,151,4,W,,
03BR00115,90370,4.0,18,,22,5,.,206,2,W,,
03BR00116,90372,4.0,18,,23,5,.,182,5,W,,
03BR00117,90415,4.0,68,,38,2,.,177,2,W,,
03BR00118,90532,4.0,18,NICE,32R,1,.,157,2,W,,
03BR00119,90545,4.0,88,R.P.,01P,1,.,161,2,W,,
03BR00120,90589,4.0,88,SM.BAG,13,5,.,185,1,W,,
03BR00121,90597,4.0,88,,23P,1,.,170,1,W,,
03BR00122,90576,4.0,18,,26,5,.,159,4,W,,
03BR00123,90638,4.0,68,LEGGY,54K,1,.,205,1,W,,
03BR00124,90650,4.0,68,"TALL,WILD",42,2,.,228,2,.,01,
03BR00125,90626,4.0,88,,24P,1,.,184,5,W,,
03BR00126,90684,4.0,88,,02P,1,.,178,2,W,,
03BR00127,90687,4.0,88,,25P,1,.,191,1,W,,
03BR00128,90694,4.0,88,TRT R.EYE '03,03P,1,.,197,5,W,,
03BR00129,90216,4.0,18,, 4,2,.,167,1,W,,
03BR00130,90212,4.0,18,, 3,2,.,176,4,W,,
03BR00131,90239,4.0,18,, 5,2,.,168,2,W,,
03BR00132,90256,4.0,18,DYSTOCIA ok, 6,2,.,205,5,W,,
03BR00133,90259,4.0,18,, 8,2,.,184,1,W,,
03BR00134,90257,4.0,18,ABS.CHEEK, 7,2,.,154,2,W,,
03BR00135,90281,4.0,18,,13,5,.,173,2,W,,
03BR00136,90280,4.0,18,,12,5,.,173,2,W,,
03BR00137,90283,4.0,18,,14,5,.,182,4,W,,
03BR00138,90299,4.0,18,,15,5,.,189,4,W,,
03BR00139,90276,4.0,18,R.BLOODY MILK,11,5,.,164,2,W,,
03BR00140,90800,4.0,88,,04P,1,.,176,2,W,,
03BR00141,90805,4.0,18,DYSTOCIA,35,2,.,157,1,W,,
03BR00142,90830,4.0,88,,11P,1,.,165,1,W,,
03BR00143,90833,4.0,88,,16,5,.,182,1,W,,
03BR00144,90835,4.0,68,THIN,53K,1,.,199,1,W,,
03BR00145,90844,4.0,88,,02P,1,.,143,2,W,,
03BR00146,90866,4.0,00,BLACK EWE,BLK,1,1,203,2,W,,
03BR00147,90880,4.0,88,,17,5,.,177,1,W,,None
03BR00148,90883,4.0,18,THIN,33R,1,.,166,2,W,,
03BR00149,90870,4.0,88,,12P,1,.,178,1,W,,
03BR00150,90913,4.0,68,,44,2,.,179,2,W,,
03BR00151,90905,4.0,18,,36,2,.,176,5,W,,
03BR00152,90953,4.0,88,"VLTS,CHK.EYE",13P,1,.,161,2,W,,
03BR00153,90956,4.0,68,,54K,1,.,207,1,W,,
03BR00154,90952,4.0,88,,18,5,.,166,2,W,,
03BR00155,90925,4.0,18,THIN,37,2,.,150,2,W,,
03BR00156,90990,4.0,18,,38,2,.,160,4,W,,
03BR00157,90711,4.0,18,LAMBED!!,28,5,.,150,5,W,,
03BR00158,90710,4.0,18,,27,5,.,151,4,W,,
03BR00159,90741,4.0,68,,52K,1,.,172,2,W,,
03BR00160,90743,4.0,88,DYSTOCIA,14,5,.,177,1,W,,
