UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,DISP
01BR00001, 5148,7.0,00,OVX,OVX,O,2,0,5,n,
01BR00002, 6112,5.0,00,,AI,A,7,148,2,n,
01BR00003, 6133,5.0,00,,AI,A,7,188,3,n,
01BR00004, 6138,5.0,00,,AI,A,7,199,5,n,
01BR00005, 6149,5.0,00,,AI,A,7,195,5,n,
01BR00006, 6122,5.0,00,,AI,A,7,183,1,n,
01BR00007, 6191,5.0,00,,AI,A,7,195,5,n,
01BR00008, 6195,5.0,00,,UI,2,7,196,5,W,
01BR00009, 6192,5.0,00,,AI,A,7,183,5,n,
01BR00010, 6198,5.0,00,VLTS,BI,A,7,173,2,n,
01BR00011, 6178,5.0,00,,UI,2,7,209,5,W,
01BR00012, 6013,5.0,00,,AI,A,7,180,5,n,
01BR00013, 6002,5.0,00,,AI,A,7,166,2,n,
01BR00014, 6038,5.0,00,,UI,2,7,170,5,W,
01BR00015, 6054,5.0,00,,AI,A,7,167,3,n,
01BR00016, 6059,5.0,00,,AI,A,7,187,2,n,
01BR00017, 6062,5.0,00,,UI,2,7,193,5,W,
01BR00018, 6080,5.0,00,,AI,A,7,187,2,n,
01BR00019, 6096,5.0,00,,AI,A,7,180,2,n,
01BR00020, 6071,5.0,00,,AI,A,7,189,2,n,
01BR00021, 6079,5.0,00,,AI,A,7,175,5,n,
01BR00022, 6077,5.0,00,,AI,A,7,183,1,n,
01BR00023, 6316,5.0,00,,AI,A,7,160,3,n,
01BR00024, 6371,5.0,00,,AI,A,7,184,5,n,
01BR00025, 6377,5.0,00,JAW OK,UI,2,7,179,5,W,
01BR00026, 6452,5.0,00,,AI,A,7,214,5,n,
01BR00027, 6421,5.0,00,,AI,A,7,181,5,n,
01BR00028, 6428,5.0,00,,AI,A,7,177,2,n,
01BR00029, 6213,5.0,00,,AI,A,7,164,5,n,
01BR00030, 6236,5.0,00,,UI,2,7,204,5,W,
01BR00031, 6242,5.0,00,PROD,BI,A,7,201,5,n,
01BR00032, 6249,5.0,00,,AI,A,7,182,5,n,
01BR00033, 6256,5.0,00,TRT R EYE,AI,A,7,195,5,n,
01BR00034, 6266,5.0,00,,AI,A,7,221,5,n,
01BR00035, 6268,5.0,00,,AI,A,7,182,3,n,
01BR00036, 6229,5.0,00,DYSTOCIA,AI,A,7,173,1,n,
01BR00037, 6294,5.0,00,,AI,A,7,173,3,n,
01BR00038, 2516,9.0,48,"OVX, T3593",OVX,O,2,0,5,n,
01BR00039, 8136,3.0,00,"T X C ewe,OVX",OVX,O,2,0,5,n,
01BR00040, 8142,3.0,00,BLACK MARKER,60,1,1,149,1,W,
01BR00041, 8147,3.0,00,BLACK MARKER,60,2,1,147,1,W,
01BR00042, 8150,3.0,18,,AI,A,7,169,5,n,
01BR00043, 8013,3.0,18,,AI,A,7,149,3,n,
01BR00044, 8015,3.0,00,T X C ewe,UI,2,7,206,5,W,
01BR00045, 8019,3.0,18,,AI,A,7,177,5,n,
01BR00046, 8039,3.0,18,,AI,A,7,173,5,n,
01BR00047, 8040,3.0,18,"OVX,BARREN",OVX,O,7,183,5,W,
01BR00048, 8050,3.0,00,T X C ewe,UI,2,7,207,5,W,
01BR00049, 8059,3.0,18,POLYPAY?OVX,OVX,O,2,195,5,W,
01BR00050, 8063,3.0,18,SW.BAG,BI,A,7,167,3,n,
01BR00051, 8028,3.0,00,BLACK MARKER,60,1,1,154,2,W,
01BR00052, 8027,3.0,18,,AI,A,7,154,2,n,
01BR00053, 8084,3.0,18,BLK. EAR,AI,A,7,162,5,n,
01BR00054, 8091,3.0,18,,AI,A,7,173,5,n,
01BR00055, 8077,3.0,18,HAIRY,AI,A,7,141,2,n,
01BR00056, 8308,3.0,18,,AI,A,7,183,5,n,
01BR00057, 8351,3.0,18,,AI,A,7,189,5,n,
01BR00058, 8320,3.0,18,,AI,A,7,189,5,n,
01BR00059, 8381,3.0,00,,AI,A,7,197,5,n,
01BR00060, 8384,3.0,68,,09,1,7,189,1,W,
01BR00061, 8382,3.0,88,,BI,A,7,151,1,n,
01BR00062, 8390,3.0,18,"X,POLYPAY",PI,2,7,0,A,n,
01BR00063, 8392,3.0,88,,BI,A,7,145,1,n,
01BR00064, 8375,3.0,18,,AI,A,7,166,2,n,
01BR00065, 8415,3.0,18,VLTS,AI,A,7,182,3,n,
01BR00066, 8416,3.0,18,,AI,A,7,189,5,n,
01BR00067, 8419,3.0,00,,AI,A,7,167,5,n,
01BR00068, 8436,3.0,18,,AI,A,7,145,2,n,
01BR00069, 8439,3.0,88,,51,2,7,159,2,W,
01BR00070, 8441,3.0,18,,AI,A,7,169,3,n,
01BR00071, 8443,3.0,88,,52,2,7,159,1,W,
01BR00072, 8454,3.0,88,,56,2,7,188,5,W,
01BR00073, 8462,3.0,88,,42,2,7,172,2,W,
01BR00074, 8423,3.0,88,,53,2,7,169,5,W,
01BR00075, 8480,3.0,00,,AI,A,7,194,5,n,
01BR00076, 8483,3.0,18,,AI,A,7,167,2,n,
01BR00077, 8492,3.0,18,,AI,A,7,210,5,n,
01BR00078, 8472,3.0,68,DEAD 10/2001,05,1,7,188,1,n,01
01BR00079, 8478,3.0,18,,AI,A,7,205,5,n,
01BR00080, 8479,3.0,18,,AI,A,7,193,2,n,
01BR00081, 8516,3.0,88,WORN TAG,53,2,7,147,2,W,
01BR00082, 8503,3.0,68,,09,1,7,178,2,W,
01BR00083, 8504,3.0,18,,AI,A,7,170,5,n,
01BR00084, 8539,3.0,18,,AI,A,7,187,5,n,
01BR00085, 8556,3.0,18,LOST LAMB,AI,A,7,172,3,n,
01BR00086, 8524,3.0,18,,AI,A,7,188,5,n,
01BR00087, 8525,3.0,18,,AI,A,7,173,2,n,
01BR00088, 8526,3.0,88,,52,2,7,137,1,W,
01BR00089, 8580,3.0,68,,04,1,7,181,2,W,
01BR00090, 8591,3.0,18,,AI,A,7,171,2,n,
01BR00091, 8595,3.0,88,,54,2,7,181,1,W,
01BR00092, 8575,3.0,18,,AI,A,7,175,5,n,
01BR00093, 8572,3.0,18,,AI,A,7,196,5,n,
01BR00094, 8577,3.0,18,,AI,A,7,170,2,n,
01BR00095, 8601,3.0,18,,AI,A,7,193,3,n,
01BR00096, 8636,3.0,18,,AI,A,7,158,1,n,
01BR00097, 8637,3.0,18,,AI,A,7,179,5,n,
01BR00098, 8641,3.0,18,pg 4/24 156#,AI,A,7,155,1,n,
01BR00099, 8665,3.0,18,,AI,A,7,191,5,n,
