UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
11BR00001,K3522,6.0,6M,  1 Ram X7486,1,1,0,207,1,W,1,,06,228,1107,239,0124
11BR00002,K4023,4.0,6T,  1 Ram X7486,1,1,0,180,1,W,1,,06,181,1107,193,0124
11BR00003,K3933,4.0,6T,  1 Ram X7486,1,1,0,203,2,W,1,,06,194,1107,222,0124
11BR00004,K3883,4.0,6M,  1 Ram X7486,1,1,0,198,1,W,1,,06,195,1107,217,0124
11BR00005,K4191,3.0,6M,  1 Ram X7486,1,1,,190,1,W,1,,06,182,1107,205,0124
11BR00006,K4505,2.0,,  1 Ram X7486,1,1,,177,1,W,1,,06,181,1107,194,0124
11BR00007,K4721,1.0,,  1 Ram X7486,1,1,0,168,D,W,1,,06,157,1107,167,0124
11BR00008,K4670,1.0,,  1 Ram X7486,1,1,0,168,D,W,1,,06,162,1107,176,0124
11BR00009,X6020,3.0,97,  2 Ram X6217,2,1,,225,H,W,1,,97,206,1107,,
11BR00010,K4422,2.0,,  2 Ram X6217,2,1,,200,2,W,1,,06,192,1107,211,0124
11BR00011,K4330,3.0,6M,  2 Ram X6217,2,1,,196,1,W,1,,06,207,1107,229,0124
11BR00012,K4357,3.0,6M,  2 Ram X6217,2,1,,202,2,W,1,,06,204,1107,214,0124
11BR00013,X5877,3.0,97,  2 Ram X6217,2,1,,215,D,W,1,,97,204,1107,,
11BR00014,K4578,2.0,,  2 Ram X6217,2,1,,185,D,W,1,,06,173,1107,196,0124
11BR00015,K4564,2.0,,  2 Ram X6217,2,1,,184,2,W,1,,06,176,1107,191,0124
11BR00016,X7497,2.0,,  2 Ram X6217,2,1,,194,H,W,1,,97,183,1107,,
11BR00017,K4626,1.0,,  2 Ram X6217,2,1,0,170,D,W,1,,06,153,1107,168,0124
11BR00018,X8604,1.0,,  2 Ram X6217,2,1,0,182,D,W,1,,97,164,1107,,
11BR00019,X8658,1.0,,  3 Ram X8575,3,1,0,152,D,W,1,,CM,142,1107,161,0124
11BR00020,X8659,1.0,,  3 Ram X8575,3,1,0,154,H,W,1,,CM,148,1107,163,0124
11BR00021,X8721,1.0,,  3 Ram X8575,3,1,0,174,D,W,1,,CM,173,1107,187,0124
11BR00022,X8726,1.0,,  3 Ram X8575,3,1,0,142,D,W,1,,CM,136,1107,147,0124
11BR00023,X8647,1.0,,  3 Ram X8575,3,1,0,174,D,W,1,,CM,171,1107,187,0124
11BR00024,X8777,1.0,,  3 Ram X8575,3,1,0,156,D,W,1,,CM,161,1107,173,0124
11BR00025,X9205,1.0,,  3 Ram X8575,3,1,0,153,2,W,1,,CM,147,1107,148,0124
11BR00026,X8909,1.0,,  3 Ram X8575,3,1,0,167,2,W,1,,CM,169,1107,181,0124
11BR00027,X8910,1.0,,  3 Ram X8575,3,1,0,158,D,W,1,,CM,157,1107,171,0124
11BR00028,X8974,1.0,,  3 Ram X8575,3,1,0,137,H,W,1,,CM,138,1107,152,0124
11BR00029,X8521,1.0,,  4 Ram X8796,4,1,0,155,D,W,1,,CM,155,1107,162,0124
11BR00030,X8782,1.0,,  4 Ram X8796,4,1,0,135,D,W,1,,CM,135,1107,131,0124
11BR00031,X8860,1.0,,  4 Ram X8796,4,1,0,157,D,W,1,,CM,155,1107,161,0124
