UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
10BR00001,H0432,7.0,88,LAME RR ',55,2,0,175,1,W,1,,30,163,1122,143,0203
10BR00002,H0484,7.0,88,,54,2,0,170,1,W,1,,30,162,1122,182,0203
10BR00003,H0495,7.0,88,,69,2,0,171,1,W,1,,30,167,1122,142,0203
10BR00004,H0601,7.0,88,,55,2,0,176,1,W,1,,30,172,1122,207,0203
10BR00005,H0643,7.0,88,,57,2,0,174,D,W,1,,30,166,1122,128,0203
10BR00006,H0653,7.0,88,THIN,64,2,0,171,2,W,1,,30,164,1122,149,0203
10BR00007,H0702,7.0,88,,69,2,0,170,2,W,1,,30,144,1122,168,0203
10BR00008,H0755,6.0,82,LOW BAG F,54,2,0,192,D,W,1,,30,186,1122,165,0203
10BR00009,H0780,6.0,83,,57,2,0,193,2,W,1,,30,177,1122,155,0203
10BR00010,H0834,6.0,82,,68,2,0,170,1,W,1,,30,159,1122,137,0203
10BR00011,H0850,6.0,82,L.BLOODYM,66,2,0,184,D,W,1,,30,183,1122,183,0203
10BR00012,H0871,6.0,83,RP,65,2,0,169,2,W,1,,30,165,1122,140,0203
10BR00013,H0892,6.0,83,TX. L. EY,67,2,0,183,1,W,1,,30,174,1122,157,0203
10BR00014,H0896,6.0,83,,65,2,0,159,2,W,1,,30,156,1122,185,0203
10BR00015,H0951,6.0,82,,67,2,0,174,2,W,1,,30,168,1122,151,0203
10BR00016,H0987,6.0,82,,69,2,0,176,1,W,1,,30,170,1122,149,0203
10BR00017,H0988,6.0,82,THIN,64,2,0,165,1,W,1,,30,157,1122,139,0203
10BR00018,H1121,6.0,82,,65,2,0,178,1,W,1,,30,169,1122,157,0203
10BR00019,H1123,6.0,82,VLT LEFT,66,2,0,196,1,W,1,,30,188,1122,166,0203
10BR00020,H1134,6.0,83,"NICE, 4TE",69,2,0,184,2,W,1,,30,169,1122,152,0203
10BR00021,H1160,6.0,82,4TEATS,73,2,0,180,2,W,1,,30,161,1122,148,0203
10BR00022,H1177,6.0,82,,65,2,0,181,1,W,1,,30,167,1122,150,0203
10BR00023,H1193,6.0,82,LT LEFT,65,2,0,171,1,W,1,,30,165,1122,194,0203
10BR00024,H1194,6.0,83,,64,2,0,181,1,W,1,,30,179,1122,157,0203
10BR00025,H1223,6.0,83,,67,2,0,175,D,W,1,,30,175,1122,149,0203
10BR00026,H1231,6.0,82,SX.MOUTH,69,2,0,181,2,W,1,,30,163,1122,138,0203
10BR00027,H1240,6.0,83,HAIRY,67,2,0,178,2,W,1,,30,175,1122,147,0203
10BR00028,H1261,6.0,83,HAIRY,56,2,0,201,1,W,1,,30,183,1122,226,0203
10BR00029,H1269,6.0,83,,68,2,0,166,1,W,1,,30,158,1122,142,0203
10BR00030,H1303,6.0,88,L.EYE TRT,66,2,0,165,1,W,1,,30,165,1122,188,0203
10BR00031,H1307,6.0,82,R.P.,65,2,0,160,2,W,1,,30,157,1122,130,0203
10BR00032,H1312,6.0,82,NICE LAMB,67,2,0,182,2,W,1,,30,173,1122,150,0203
10BR00033,H1338,6.0,82,HAIRY,73,2,0,192,2,W,1,,30,173,1122,160,0203
10BR00034,H1342,6.0,83,Ugly,73,2,0,171,2,W,1,,30,146,1122,164,0203
10BR00035,H1393,5.0,88,,66,2,0,173,1,W,1,,30,157,1122,149,0203
10BR00036,H1399,5.0,88,PNEU.,67,2,7,181,H,W,1,,30,167,1122,203,0203
10BR00037,H1425,5.0,88,HAIRY,69,2,7,159,1,W,1,,30,146,1122,175,0203
10BR00038,H1431,5.0,88,,64,2,7,150,2,W,1,,30,135,1122,107,0203
10BR00039,H1478,5.0,88,,68,2,0,176,2,W,1,,30,155,1122,134,0203
10BR00040,H1490,5.0,83,R.P.,53,2,7,179,2,W,1,,30,180,1122,156,0203
10BR00041,H1517,5.0,88,,66,2,0,191,1,W,1,,30,182,1122,215,0203
10BR00042,H1520,5.0,83,,68,2,0,207,1,W,1,,30,201,1122,187,0203
10BR00043,H1525,5.0,83,,66,2,7,189,2,W,1,,30,178,1122,158,0203
