UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
12BR00001,H1393,7.0,88,,BRT,5,0,188,H,,1,,30,,,0,/
12BR00002,H1517,7.0,88,,,,0,0,1,,1,97,30,,,0,/
12BR00003,H1520,7.0,83,,54,2,0,221,2,W,1,,30,219,1115,184,0103
12BR00004,H1525,7.0,83,,55,2,7,182,2,W,1,,30,179,1115,146,0103
12BR00005,H1585,7.0,82,NICE EWE,BRT,5,7,176,2,,1,,30,,,0,/
12BR00006,H1610,7.0,83,,BRT,5,7,160,1,,1,,30,,,0,/
12BR00007,H1627,7.0,82,,54,2,7,161,1,W,1,,30,154,1115,131,0103
12BR00008,H1747,7.0,82,TOO BIG,BRT,5,0,207,D,,1,,30,,,0,/
12BR00009,H1761,7.0,82,,58,2,7,201,H,W,1,,30,201,1115,161,0103
12BR00010,H1806,7.0,82,LAME RF ',BRT,5,0,177,2,,1,,30,,,0,/
12BR00011,H1809,7.0,82,NICE EWE,BRT,5,7,202,1,,1,,30,,,0,/
12BR00012,H1822,7.0,82,4TEATS,59,2,7,161,2,W,1,,30,164,1115,122,0103
12BR00013,H1897,7.0,88,,BRT,5,7,196,2,,1,,30,,,0,/
12BR00014,H1898,7.0,88,NICE LAMB,53,2,7,180,2,W,1,,30,189,1115,157,0103
12BR00015,H1991,7.0,82,SM.UDDER,,,7,206,2,,1,93,30,,,,
12BR00016,H2097,7.0,82,FEVER.TX.,BRT,5,0,185,H,,1,,30,,,0,/
12BR00017,H2152,7.0,82,,BRT,5,7,194,2,,1,,30,,,0,/
12BR00018,H2194,6.0,88,,53,2,7,154,2,W,1,,30,148,1115,122,0103
12BR00019,H2210,6.0,88,ENTR 4TEA,BRT,5,7,180,1,,1,,30,,,0,/
12BR00020,H2217,6.0,88,R.P.,54,2,7,205,1,W,1,,30,193,1115,159,0103
12BR00021,H2245,6.0,88,PPG DYSTO,BRT,5,0,195,2,,1,,30,,,0,/
12BR00022,H2258,6.0,88,,54,2,7,178,2,W,1,,30,166,1115,137,0103
12BR00023,H2300,6.0,88,NICE EWE,53,2,7,214,2,W,1,,30,210,1115,164,0103
12BR00024,H2324,6.0,88,R.P. 72hr,53,2,0,151,1,W,1,,30,160,1115,135,0103
12BR00025,H2354,6.0,88,,59,2,0,194,2,W,1,,30,196,1115,162,0103
12BR00026,H2360,6.0,00,,,,7,159,H,,1,93,33,,,,
12BR00027,H2364,6.0,00,,BRT,5,7,222,H,,1,,33,,,0,/
12BR00028,H2371,6.0,88,,59,2,0,178,H,W,1,,30,171,1115,139,0103
12BR00029,H2399,6.0,88,,57,2,7,207,H,W,1,,30,195,1115,165,0103
12BR00030,H2429,6.0,00,SCOURS TX,BRT,5,7,158,3,,1,,33,,,0,/
12BR00031,H2439,6.0,88,,BRT,5,0,174,H,,1,,30,,,0,/
12BR00032,H2460,6.0,00,,BRT,5,7,190,H,,1,,33,,,0,/
12BR00033,H2522,6.0,88,SCOURS TX,,,7,151,2,,1,93,30,,,,
12BR00034,H2559,6.0,88,,55,2,7,180,2,W,1,,30,179,1115,145,0103
12BR00035,H2623,6.0,00,,BRT,5,7,179,H,,1,,33,,,0,/
12BR00036,H2625,6.0,00,,BRT,5,7,202,H,,1,,33,,,0,/
12BR00037,H2634,6.0,00,"BUSHY, sa",,,7,148,H,,1,93,33,,,,
12BR00038,H2683,6.0,00,,BRT,5,7,177,H,,1,,33,,,0,/
12BR00039,H2730,6.0,88,NICE EWE,54,2,0,218,1,W,1,,30,207,1115,175,0103
12BR00040,H2785,6.0,88,,,,0,147,2,,1,93,30,,,,
12BR00041,H2787,6.0,88,,59,2,7,221,H,W,1,,30,219,1115,171,0103
12BR00042,H2805,6.0,00,,BRT,5,7,211,H,,1,,33,,,0,/
12BR00043,H2810,6.0,00,UMB.INFEC,BRT,5,7,173,H,,1,,33,,,0,/
12BR00044,H2828,6.0,88,HAIRY,57,2,7,167,1,W,1,,30,166,1115,143,0103
12BR00045,H2838,6.0,88,,57,2,7,181,1,W,1,,30,180,1115,146,0103
12BR00046,H2853,6.0,88,ALLERGIC,54,2,0,164,2,W,1,,30,158,1115,143,0103
12BR00047,H2855,6.0,88,,59,2,0,155,1,W,1,,30,156,1115,127,0103
12BR00048,H2882,6.0,88,PNEU.TX.,55,2,0,181,1,W,1,,30,185,1115,160,0103
12BR00049,H2890,6.0,88,4TEATS,BRT,5,7,142,1,,1,,30,,,0,/
