UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
20BR00001,A0009,2.0,,.,30,1,0,174,1,172,1007,W,1,,30,184,1105,198,0105
20BR00002,A0032,2.0,,.,25,1,,144,1,134,1007,W,1,,30,140,1105,171,0105
20BR00003,A0049,2.0,,.,31,1,0,150,1,149,1007,W,1,,30,158,1105,190,0105
20BR00004,A0059,2.0,,.,29,1,7,147,1,146,1008,W,1,,30,158,1105,200,0105
20BR00005,A0061,2.0,,.,25,1,0,155,1,149,1007,W,1,,30,145,1105,171,0105
20BR00006,A0070,2.0,,FEW.CHUNKS,27,1,,153,1,146,1007,W,1,,30,155,1105,183,0105
20BR00007,A0073,2.0,,.,25,1,,201,1,187,1008,W,1,,30,193,1105,217,0105
20BR00008,A0081,2.0,,OKFORONE,26,1,0,156,1,158,1007,W,1,,30,164,1105,193,0105
20BR00009,A0103,2.0,,ScoursTx,26,1,,175,D,175,1008,W,1,,30,182,1105,200,0105
20BR00010,A0106,2.0,,.,24,1,0,149,2,152,1007,W,1,,30,142,1105,172,0105
20BR00011,A0110,2.0,,.,31,1,0,162,1,146,1007,W,1,,30,158,1105,188,0105
20BR00012,A0121,2.0,,5LAMBS,24,1,0,156,1,147,1007,W,1,,30,154,1105,189,0105
20BR00013,A0132,2.0,,.,31,1,0,154,2,151,1008,W,1,,30,164,1105,193,0105
20BR00014,A0134,2.0,,.,31,1,0,191,1,183,1008,W,1,,30,191,1105,211,0105
20BR00015,A0144,2.0,,"Resp.,V.Poor",24,1,0,118,1,135,1008,0,6,66,30,,,,
20BR00016,A0149,2.0,,.,26,1,0,182,D,167,1008,W,1,,30,184,1105,205,0105
20BR00017,A0164,2.0,,.,31,1,,185,2,180,1007,W,1,,30,196,1105,227,0105
20BR00018,A0175,2.0,,TRIP.PROJECT,29,1,0,166,2,162,1007,W,1,,30,169,1105,195,0105
20BR00019,A0184,2.0,,.,31,1,0,154,1,153,1007,W,1,,30,165,1105,206,0105
20BR00020,A0187,2.0,,.,27,1,0,172,1,166,1008,W,1,,30,187,1105,210,0105
20BR00021,A0188,2.0,,.,29,1,7,139,1,138,1007,W,1,,30,150,1105,179,0105
20BR00022,A0189,2.0,,.,25,1,7,162,1,151,1008,W,1,,30,151,1105,191,0105
20BR00023,A0192,2.0,,.,31,1,0,131,1,121,1008,W,1,,30,136,1105,168,0105
20BR00024,A0193,2.0,,.,24,1,0,143,1,149,1007,W,1,,30,138,1105,171,0105
20BR00025,A0196,2.0,,.,26,1,0,179,1,171,1008,W,1,,30,176,1105,205,0105
20BR00026,A0199,2.0,,.,24,1,,146,1,146,1007,W,1,,30,146,1105,176,0105
20BR00027,A0202,2.0,,.,31,1,0,179,1,172,1008,W,1,,30,180,1105,216,0105
20BR00028,A0203,2.0,,.,31,1,0,174,1,172,1007,W,1,,30,188,1105,215,0105
20BR00029,A0207,2.0,,.,27,1,0,165,1,154,1008,W,1,,30,173,1105,200,0105
20BR00030,A0214,2.0,,.,29,1,,175,D,175,1007,W,1,,30,172,1105,194,0105
20BR00031,A0216,2.0,,.,30,1,,179,D,183,1007,W,1,,30,194,1105,209,0105
20BR00032,A0221,2.0,,.,29,1,7,164,1,162,1007,W,1,,30,171,1105,188,0105
20BR00033,A0223,2.0,,.,25,1,,176,1,171,1007,W,1,,30,175,1105,201,0105
20BR00034,A0232,2.0,,.,24,1,0,147,1,147,1007,W,1,,30,155,1105,197,0105
20BR00035,A0236,2.0,,.,27,1,0,147,1,143,1007,W,1,,30,156,1105,175,0105
20BR00036,A0240,2.0,,.,26,1,0,180,1,172,1008,W,1,,30,196,1105,221,0105
20BR00037,A0244,2.0,,.,28,1,0,182,1,180,1007,W,1,,30,190,1105,226,0105
20BR00038,A0251,2.0,,.,29,1,7,191,2,180,1008,W,1,,30,198,1105,224,0105
20BR00039,A0253,2.0,,.,30,1,0,143,1,146,1008,W,1,,30,154,1105,186,0105
20BR00040,A0256,2.0,,.,26,1,0,195,1,198,1007,W,1,,30,209,1105,234,0105
20BR00041,A0263,2.0,,.,30,1,0,157,1,155,1008,W,1,,30,168,1105,200,0105
20BR00042,A0265,2.0,,.,25,1,,151,1,157,1007,W,1,,30,154,1105,196,0105
20BR00043,A0287,2.0,,.,24,1,0,188,1,191,1007,W,1,,30,184,1105,217,0105
20BR00044,A0289,2.0,,.,26,1,0,165,1,147,1008,W,1,,30,165,1105,187,0105
20BR00045,A0296,2.0,,.,27,1,,166,1,167,1007,W,1,,30,178,1105,202,0105
20BR00046,A0300,2.0,,SMBAG,30,1,0,190,1,191,1007,W,1,,30,208,1105,242,0105
