UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
14BR00479,R9598,1.0,,SM.UDDER,21,1,,157,1,W,1,,07,173,1107,172,0106
14BR00480,R9599,1.0,,.,20,1,0,150,2,W,1,,07,162,1107,160,0106
14BR00481,R9602,1.0,,ENOUGHFORONE,22,1,0,148,1,W,1,,07,158,1107,154,0106
14BR00482,R9604,1.0,,2ND.HAIRY,21,1,,167,D,W,1,,07,177,1107,176,0106
14BR00483,R9607,1.0,,.,24,1,,145,1,W,1,,07,163,1107,180,0106
14BR00484,R9609,1.0,,HAIRY,25,1,0,135,2,0,1,10,07,,,,
14BR00485,R9613,1.0,,.,28,2,,138,D,W,1,,07,147,1112,149,0106
14BR00486,R9630,1.0,,TurnedOutNice,22,1,0,123,1,W,1,,07,140,1107,146,0106
14BR00487,R9632,1.0,,TerminalOnly,25,1,,168,1,W,1,,07,180,1107,182,0106
14BR00488,R9633,1.0,,HAIRY,19,1,,145,2,W,1,,07,156,1107,164,0106
14BR00489,R9634,1.0,,SM.UDDER,34,2,,151,2,W,1,,07,157,1112,166,0106
14BR00490,R9639,1.0,,FUZZY,19,1,,165,2,W,1,,07,169,1107,176,0106
14BR00491,R9640,1.0,,TurnedOutNice,20,1,,161,D,W,1,,07,173,1107,185,0106
14BR00492,R9643,1.0,,SM.BAG,20,1,,163,D,W,1,,07,174,1107,177,0106
14BR00493,R9650,1.0,,.,21,1,,146,2,W,1,,07,153,1107,153,0106
14BR00494,R9653,1.0,,.,21,1,0,163,D,W,1,,07,169,1107,177,0106
14BR00495,R9662,1.0,,.,25,1,0,138,1,W,1,,07,142,1107,149,0106
14BR00496,R9663,1.0,,SM.EWE,27,2,0,142,1,W,1,,07,147,1112,155,0106
14BR00497,R9673,1.0,,.,24,1,0,146,2,W,1,,07,152,1107,156,0106
14BR00498,R9674,1.0,,SLS.SL.MORE,33,2,0,153,1,W,1,,07,163,1112,173,0106
