UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BCS_FALL,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,BCS_NOV,WTWIN,WDAYW,BCS_WIN
23BR00228,L2191,5.0,,SM.BAG,18,1,,158,3.0,H,156,1010,W,1,,PC,177,1115,4.0,197,1228,4.0
23BR00229,L2203,4.0,,.,28,1,0,166,3.5,H,165,1010,W,1,,PC,175,1115,4.0,182,1228,4.5
23BR00230,L2226,4.0,,.,16,1,0,187,3.5,H,185,1011,W,1,,PC,198,1115,4.0,209,1228,4.5
23BR00231,L2231,4.0,,.,22,1,0,201,4.0,H,202,1010,W,1,,PC,229,1115,4.0,241,1228,4.0
23BR00232,L2233,4.0,,2ND.20BL,30,1,0,180,3.0,H,179,1010,W,1,,PC,187,1115,4.0,215,1228,4.5
23BR00233,L2240,4.0,,.,21,1,0,190,3.0,H,194,1010,W,1,,PC,200,1115,4.0,221,1228,4.0
23BR00234,L2244,4.0,,40GR,19,1,0,155,2.5,H,165,1010,W,1,,PC,179,1115,3.0,197,1228,4.0
23BR00235,L2247,4.0,,HAIRY,27,1,0,220,4.0,H,207,1010,W,1,,PC,220,1115,4.5,233,1228,4.0
23BR00236,L2259,4.0,,.,25,1,0,186,3.5,H,173,1010,W,1,,PC,183,1115,3.0,194,1228,3.5
23BR00237,L2270,4.0,,.,26,1,0,205,3.5,H,199,1010,W,1,,PC,210,1115,4.0,221,1228,4.0
23BR00238,L2273,4.0,,.,23,1,,213,3.5,H,204,1010,W,1,,PC,228,1115,4.0,219,1228,4.0
23BR00239,L2275,4.0,,.,24,1,0,183,3.5,H,188,1010,W,1,,PC,189,1115,3.5,199,1228,4.0
23BR00240,L2284,4.0,,.,16,1,0,174,3.0,H,176,1011,W,1,,PC,195,1115,3.5,230,1228,4.0
23BR00241,L2291,4.0,,.,29,1,,186,3.5,H,180,1010,W,1,,PC,199,1115,4.0,212,1228,4.0
23BR00242,L2297,4.0,,.,20,1,0,177,2.5,H,173,1010,W,1,,PC,202,1115,3.0,194,1228,3.5
23BR00243,L2302,4.0,,.,15,1,,194,3.5,H,180,1011,W,1,,PC,193,1115,3.5,208,1228,4.0
23BR00244,L2311,4.0,,.,28,1,,176,3.5,H,178,1011,W,1,,PC,183,1115,3.5,204,1228,4.0
23BR00245,L2318,4.0,,NO.DATA,17,1,0,222,4.0,D,221,1010,W,1,,PC,221,1115,4.5,230,1228,4.5
23BR00246,L2321,4.0,,90TAN,27,1,,186,3.5,H,172,1010,W,1,,PC,184,1115,3.5,189,1228,4.0
23BR00247,L2323,4.0,,.,21,1,0,218,4.0,H,213,1010,W,1,,PC,220,1115,4.0,226,1228,4.0
23BR00248,L2327,4.0,,.,22,1,0,184,3.5,H,186,1010,W,1,,PC,180,1115,3.5,198,1228,4.0
23BR00249,L2334,4.0,,+LAMBTOOBIG,30,1,0,176,3.5,H,182,1010,W,1,,PC,186,1115,4.0,204,1228,4.0
23BR00250,L2338,4.0,,.,18,1,0,211,4.0,H,196,1010,W,1,,PC,213,1115,4.0,226,1228,4.0
23BR00251,L2358,4.0,,.,19,1,,182,3.5,H,179,1010,W,1,,PC,201,1115,4.5,212,1228,4.5
23BR00252,L2364,4.0,,.,20,1,0,154,3.5,D,138,1010,W,1,,PC,144,1115,3.0,142,1228,3.0
23BR00253,L2369,4.0,,.,16,1,0,219,3.5,H,213,1010,W,1,,PC,224,1115,4.0,240,1228,4.5
23BR00254,L2371,4.0,,.,17,1,0,171,3.0,H,178,1011,W,1,,PC,186,1115,3.5,211,1228,4.0
23BR00255,L2372,4.0,,30BR.UGLY,25,1,0,177,3.0,H,164,1010,W,1,,PC,168,1115,3.5,195,1228,4.5
23BR00256,L2374,4.0,,.,21,1,0,196,4.0,H,188,1010,W,1,,PC,209,1115,5.0,209,1228,4.0
23BR00257,L2384,4.0,,.,22,1,,211,4.0,H,207,1010,W,1,,PC,219,1115,4.0,228,1228,4.5
23BR00258,L2389,4.0,,.,23,1,0,202,3.0,H,198,1010,W,1,,PC,211,1115,4.0,230,1228,4.0
23BR00259,L2402,4.0,,.,26,1,0,186,3.0,H,182,1010,W,1,,PC,197,1115,4.0,212,1228,4.0
23BR00260,L2412,4.0,,.,18,1,0,237,4.5,H,230,1010,W,1,,PC,239,1115,4.0,251,1228,4.5
