"timestamp","level","operation","entity_id","source_id10","changes_count","message_preview"
2025-09-02T07:50:19-05:00,debug,info,185479,2019000155,0,"Will update entity 185479 for ID10: 2019000155"
2025-09-02T07:50:19-05:00,debug,info,185479,2019000155,0,"Processed entity 185479. Source row: ID10:2019000155"
2025-09-02T07:50:19-05:00,debug,no-change,185479,2019000155,0,"No changes detected for entity 185479. Source row: ID10:2019000155"
2025-09-02T07:50:19-05:00,debug,info,185480,2018009747,0,"Will update entity 185480 for ID10: 2018009747"
2025-09-02T07:50:19-05:00,debug,info,185480,2018009747,0,"Processed entity 185480. Source row: ID10:2018009747"
2025-09-02T07:50:19-05:00,debug,no-change,185480,2018009747,0,"No changes detected for entity 185480. Source row: ID10:2018009747"
2025-09-02T07:50:18-05:00,debug,info,185470,2019000146,0,"Will update entity 185470 for ID10: 2019000146"
2025-09-02T07:50:18-05:00,debug,info,185470,2019000146,0,"Processed entity 185470. Source row: ID10:2019000146"
2025-09-02T07:50:18-05:00,debug,no-change,185470,2019000146,0,"No changes detected for entity 185470. Source row: ID10:2019000146"
2025-09-02T07:50:18-05:00,debug,info,185471,2020000147,0,"Will update entity 185471 for ID10: 2020000147"
2025-09-02T07:50:18-05:00,debug,info,185471,2020000147,0,"Processed entity 185471. Source row: ID10:2020000147"
2025-09-02T07:50:18-05:00,debug,no-change,185471,2020000147,0,"No changes detected for entity 185471. Source row: ID10:2020000147"
2025-09-02T07:50:18-05:00,debug,info,185472,2019000148,0,"Will update entity 185472 for ID10: 2019000148"
2025-09-02T07:50:18-05:00,debug,info,185472,2019000148,0,"Processed entity 185472. Source row: ID10:2019000148"
2025-09-02T07:50:18-05:00,debug,no-change,185472,2019000148,0,"No changes detected for entity 185472. Source row: ID10:2019000148"
2025-09-02T07:50:18-05:00,debug,info,185473,2020000149,0,"Will update entity 185473 for ID10: 2020000149"
2025-09-02T07:50:18-05:00,debug,info,185473,2020000149,0,"Processed entity 185473. Source row: ID10:2020000149"
2025-09-02T07:50:18-05:00,debug,no-change,185473,2020000149,0,"No changes detected for entity 185473. Source row: ID10:2020000149"
2025-09-02T07:50:18-05:00,debug,info,185474,2020000150,0,"Will update entity 185474 for ID10: 2020000150"
2025-09-02T07:50:18-05:00,debug,info,185474,2020000150,0,"Processed entity 185474. Source row: ID10:2020000150"
2025-09-02T07:50:18-05:00,debug,no-change,185474,2020000150,0,"No changes detected for entity 185474. Source row: ID10:2020000150"
2025-09-02T07:50:18-05:00,debug,info,185475,2020000151,0,"Will update entity 185475 for ID10: 2020000151"
2025-09-02T07:50:18-05:00,debug,info,185475,2020000151,0,"Processed entity 185475. Source row: ID10:2020000151"
2025-09-02T07:50:18-05:00,debug,no-change,185475,2020000151,0,"No changes detected for entity 185475. Source row: ID10:2020000151"
2025-09-02T07:50:18-05:00,debug,info,185476,2018000152,0,"Will update entity 185476 for ID10: 2018000152"
