UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
20BR00001,A0009,2.0,,.,30,1,0,174,1,172,1007,W,1,,30,184,1105,198,0105
20BR00002,A0032,2.0,,.,25,1,,144,1,134,1007,W,1,,30,140,1105,171,0105
20BR00003,A0049,2.0,,.,31,1,0,150,1,149,1007,W,1,,30,158,1105,190,0105
20BR00004,A0059,2.0,,.,29,1,7,147,1,146,1008,W,1,,30,158,1105,200,0105
20BR00005,A0061,2.0,,.,25,1,0,155,1,149,1007,W,1,,30,145,1105,171,0105
20BR00006,A0070,2.0,,FEW.CHUNKS,27,1,,153,1,146,1007,W,1,,30,155,1105,183,0105
20BR00007,A0073,2.0,,.,25,1,,201,1,187,1008,W,1,,30,193,1105,217,0105
20BR00008,A0081,2.0,,OKFORONE,26,1,0,156,1,158,1007,W,1,,30,164,1105,193,0105
20BR00009,A0103,2.0,,ScoursTx,26,1,,175,D,175,1008,W,1,,30,182,1105,200,0105
20BR00010,A0106,2.0,,.,24,1,0,149,2,152,1007,W,1,,30,142,1105,172,0105
20BR01553,Y0031,3.0,,MARC,Kt2,5,,,,,,W,1,,Kt,131,1120,132,0106
20BR01554,Y0032,3.0,,MARC,Kt2,5,,,,,,W,1,,Kt,106,1120,103,0106
20BR01555,Y0033,3.0,,MARC,Kt1,5,,,,,,W,1,,Kt,147,1120,141,0106
20BR01556,Y0034,2.0,,MARC,Kt1,5,,,,,,W,1,,Kt,118,1120,122,0106
20BR01557,Y0035,3.0,,MARC,Kt1,5,,,,,,W,1,,Kt,138,1120,140,0106
20BR01558,Y0036,3.0,,MARC,Kt1,5,,,,,,W,1,,Kt,130,1120,132,0106
20BR01559,Y0037,1.0,,MARC,Kt1,5,,,,,,W,1,,Kt,142,1120,140,0106
20BR01560,Y0038,2.0,,MARC,Kt1,5,,,,,,W,1,,Kt,132,1120,140,0106
20BR01561,Y0039,2.0,,MARC,Kt2,5,,,,,,W,1,,Kt,166,1120,167,0106
20BR01562,Y0042,2.0,,MARC,Kt1,5,,,,,,0,6,16,Kt,,,,
