UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,BLEED,STM,C1107,W1107,C0111,W0111
06BR00001, 3101,3.5,00,,17,1,7,182,2,W,1,.,.,33,6,172,6,175
06BR00002, 3160,3.5,00,LATEtoMILK,11,1,7,195,5,W,1,.,.,33,7,198,7,189
06BR00003, 3036,3.5,00,,18,1,7,178,2,W,1,.,.,33,7,180,7,172
06BR00004, 3039,3.5,00,"LTS,FEVER TX.",14,1,7,196,2,W,1,.,.,33,7,187,7,191
06BR00005, 3058,3.5,00,,15,1,7,199,1,W,1,.,.,33,7,201,7,198
06BR00006, 3060,3.5,00,,14,1,7,211,1,W,1,.,.,33,5,206,6,208
06BR00007, 3066,3.5,00,,19,1,7,167,1,W,1,.,.,33,6,164,6,177
06BR00008, 3022,3.5,00,,16,1,7,149,1,W,1,.,.,33,4,161,5,169
06BR00009, 3083,3.5,00,,13,1,7,186,2,W,1,.,.,33,5,173,6,177
06BR00010, 3085,3.5,00,,12,1,7,202,1,W,1,.,.,33,6,193,7,198
06BR01683,Z7913,5.0,97,RP,14,1,0,228,B,W,1,.,.,97,4,206,6,236
06BR01684,Z7916,5.0,00,BLACK EWE,46,1,1,178,2,W,1,.,.,00,7,174,6,183
06BR01685,Z7912,5.0,97,NICE EWE,13,1,0,219,B,W,1,.,.,97,4,204,5,235
06BR01686,Z7959,5.0,97,*FIX YTEX TAG,46,1,0,207,B,W,1,.,.,97,4,194,5,215
06BR01687,Z7790,5.0,97,,12,1,0,226,B,W,1,.,.,97,4,192,5,230
06BR01688,Z7793,5.0,97,?UDDERraised1,46,1,0,241,B,W,1,.,.,97,6,220,7,230
06BR01689,00035,7.0,00,BLACK EWE,47,1,1,193,2,W,1,.,.,92,7,190,6,184
06BR01690,00040,7.0,00,R.MILK.BLOODY,46,1,1,175,2,W,1,.,.,92,7,167,6,156
06BR01691,00022,7.0,00,BLACK EWE,46,1,1,174,2,W,1,.,.,92,6,172,6,181
06BR01692,00097,7.0,68,DYSTOCIA ok,41,1,0,191,2,W,1,.,B,06,7,183,7,182
