UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
13BR00001,H3266,6.0,88,SRS.MORE,10,1,7,174,1,W,1,,30,166,1115,160,0102
13BR00002,H3345,6.0,88,4TEATS,10,1,7,157,1,W,1,,30,156,1115,139,0102
13BR00003,H3499,6.0,88,4TEATS,11,1,7,151,1,W,1,,30,163,1115,142,0102
13BR00004,H3723,6.0,88,.,16,1,7,149,1,W,1,97,30,0,,0,
13BR00005,H3857,5.0,88,PNEU,15,1,,200,2,W,1,,30,204,1115,181,0102
13BR00006,H3898,5.0,82,.,10,1,,151,1,W,1,,30,155,1115,149,0102
13BR00007,H3905,5.0,88,BLOODY.SNOT,11,1,,141,1,W,1,,30,149,1115,129,0102
13BR00008,H3934,5.0,88,.,11,1,,192,2,W,1,,30,209,1115,176,0102
13BR00009,H4017,5.0,84,.,16,1,,166,H,W,1,,30,165,1115,153,0102
13BR00010,H4100,5.0,82,.,11,1,,142,2,W,1,,30,157,1115,135,0102
13BR01289,Z1399,1.0,,BR.EAR.TIPS.E,4,1,0,172,D,W,1,,CM,165,1115,152,0102
13BR01290,Z1424,1.0,,SCOURS,4,1,0,153,D,W,1,,CM,139,1115,132,0102
13BR01291,Z1448,1.0,,MYO AA,3,1,0,157,D,W,1,,CM,138,1115,135,0102
13BR01292,H7448,1.0,,ABORTED@ML,10,1,0,152,D,W,,,,155,1115,137,0102
13BR01293,R8814,2.0,,.,17,1,0,162,2,W,3,,07,167,1115,159,0102
13BR01294,R7570,4.0,,,18,1,,183,1,W,3,,07,175,1115,159,0102
13BR01295,X7617,4.0,,,2,1,,0,3,W,,,SC,189,1115,181,0102
13BR01296,H7335,2.0,,4TEATS.TMS414,11,1,0,174,1,W,3,,30,186,1115,173,0102
13BR01297,H5116,4.0,,CHECK PARENTS,12,1,,149,2,W,1,,30,161,1115,148,0102
13BR01298,R7456,4.0,,,19,1,,166,2,W,3,,07,159,1115,153,0102
