UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
14BR00001,H3345,7.0,88,4TEATS,13,1,7,136,1,0,1,93,30,,,,
14BR00002,H3499,7.0,88,4TEATS,17,1,7,154,1,W,1,,30,157,1107,173,0106
14BR00003,H3857,6.0,88,LONG TEATS,14,1,,208,2,W,1,,30,205,1107,206,0106
14BR00004,H3898,6.0,82,.,18,1,,143,1,W,1,,30,158,1107,164,0106
14BR00005,H3905,6.0,88,SNOTTY.INC.RE,16,1,,138,1,W,1,,30,149,1107,147,0106
14BR00006,H3934,6.0,88,SRS.MORE,15,1,,176,1,0,1,93,30,,,,
14BR00007,H4017,6.0,84,.,17,1,,155,1,W,1,,30,160,1107,168,0106
14BR00008,H4114,6.0,83,.,15,1,,177,1,W,1,,30,182,1107,193,0106
14BR00009,H4277,6.0,83,.,14,1,,149,1,W,1,,30,153,1107,160,0106
14BR00010,H4333,6.0,88,.,13,1,,148,1,W,1,,30,157,1107,157,0106
14BR01083,Z1834,1.0,,SM.BAG,4,1,0,173,D,W,1,,CM,202,1107,188,0106
14BR01084,Z1839,1.0,,Dystocia/Abor,4,1,0,175,D,W,1,,CM,204,1107,187,0106
14BR01085,Z1953,1.0,,80BRN,V2,5,0,195,H,,1,,00,216,1126,191,0106
14BR01086,Z2023,1.0,,HAIRY,V2,5,,155,D,,1,,00,179,1126,162,0106
14BR01087,Z2028,1.0,,NICE LAMB,3,1,0,175,D,W,1,,CM,183,1107,185,0106
14BR01088,Z2031,1.0,,BRITCHY,V2,5,,146,D,,1,,00,161,1126,152,0106
14BR01089,Z2050,1.0,,.,V2,5,,183,H,,1,,00,200,1126,174,0106
14BR01090,Z2056,1.0,,.,V2,5,0,153,H,,1,,00,175,1126,164,0106
14BR01091,R7998,5.0,,BrEyes,19,1,,157,2,W,1,,07,156,1107,160,0106
14BR01092,R8621,4.0,,BrEyes,20,1,0,154,2,W,1,,07,163,1107,171,0106
