UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,DISP
01BR00001, 5148,7.0,00,OVX,OVX,O,2,0,5,n,
01BR00002, 6112,5.0,00,,AI,A,7,148,2,n,
01BR00003, 6133,5.0,00,,AI,A,7,188,3,n,
01BR00004, 6138,5.0,00,,AI,A,7,199,5,n,
01BR00005, 6149,5.0,00,,AI,A,7,195,5,n,
01BR00006, 6122,5.0,00,,AI,A,7,183,1,n,
01BR00007, 6191,5.0,00,,AI,A,7,195,5,n,
01BR00008, 6195,5.0,00,,UI,2,7,196,5,W,
01BR00009, 6192,5.0,00,,AI,A,7,183,5,n,
01BR00010, 6198,5.0,00,VLTS,BI,A,7,173,2,n,
01BR02702,Z6905,1.0,97,ENTR,971,1,0,210,B,W,
01BR02703,Z6931,1.0,97,,972,1,0,184,B,W,
01BR02704,00035,1.0,00,BLACK EWE,60,1,1,158,5,W,
01BR02705,00040,1.0,00,BLACK EWE,60,1,1,133,2,W,
01BR02706,00053,1.0,00,BLACK EWE,60,2,1,159,5,W,
01BR02707,00022,1.0,00,BLACK EWE,60,1,1,150,5,W,
01BR02708,00087,1.0,00,BLACK EWE,60,1,1,153,5,W,
01BR02709,00096,1.0,18,,AI,A,7,135,2,n,
01BR02710,00097,1.0,68,DYSTOCIA ok,01,1,7,143,1,W,
01BR02711,00001,1.0,88,,53,2,7,140,1,W,
