UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,BLEED,STM,C1106,W1106,C0128,W0128
07BR00001,3160,3.5,00,LATEtoMILK,-0-,1,7,189,T,W,1,.,.,33,0,171,0,149
07BR00002,3036,3.5,00,,-0-,1,7,183,T,W,1,.,.,33,0,165,0,153
07BR00003,3039,3.5,00,LOW BAG+TEATS,-0-,1,7,197,T,W,1,.,.,33,0,181,0,165
07BR00004,3058,3.5,00,,-0-,1,7,183,T,W,1,.,.,33,0,178,0,170
07BR00005,3060,3.5,00,,-0-,1,7,225,T,W,1,.,.,33,0,212,0,193
07BR00006,3022,3.5,00,,-0-,1,7,181,T,W,1,.,.,33,0,164,0,162
07BR00007,3083,3.5,00,,-0-,1,7,200,T,W,1,.,.,33,0,183,0,176
07BR00008,3085,3.5,00,,-0-,1,7,211,T,W,1,.,.,33,0,204,0,191
07BR00009,01103,7.0,18,SW.BAG,R35,1,0,170,1,W,1,.,.,07,0,173,0,156
07BR00010,01131,7.0,6T,SEND >>ADRU,WA,.,0,183,1,W,W,95,.,06,0,0,0,0
07BR01845,Z7134,6.0,97,ENTR,15,1,0,223,B,W,1,.,.,97,0,223,0,0
07BR01846,Z7120,6.0,97,WEAK,18,1,0,186,B,W,1,.,.,97,0,210,0,0
07BR01847,Z7015,6.0,97,,13,1,0,196,B,W,1,.,.,97,0,196,0,0
07BR01848,Z7074,6.0,97,THINTHICKMILK,14,1,0,227,B,W,1,.,.,97,0,233,0,0
07BR01849,Z7823,5.0,97,,18,1,0,212,B,W,1,.,.,97,0,235,0,0
07BR01850,Z7893,5.0,97,TOO FAT,12,1,0,195,B,W,1,.,.,97,0,214,0,0
07BR01851,Z7913,5.0,97,RP,16,1,0,194,B,W,1,.,.,97,0,208,0,0
07BR01852,Z7959,5.0,97,*FIX YTEX TAG,17,1,0,204,B,W,1,.,.,97,0,205,0,0
07BR01853,Z7790,5.0,97,,18,1,0,210,B,W,1,.,.,97,0,223,0,0
07BR01854,Z7793,5.0,97,?UDDERraised1,19,1,0,208,B,W,1,.,.,97,0,218,0,0
