UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
12BR00001,H1393,7.0,88,,BRT,5,0,188,H,,1,,30,,,0,/
12BR00002,H1517,7.0,88,,,,0,0,1,,1,97,30,,,0,/
12BR00003,H1520,7.0,83,,54,2,0,221,2,W,1,,30,219,1115,184,0103
12BR00004,H1525,7.0,83,,55,2,7,182,2,W,1,,30,179,1115,146,0103
12BR00005,H1585,7.0,82,NICE EWE,BRT,5,7,176,2,,1,,30,,,0,/
12BR00006,H1610,7.0,83,,BRT,5,7,160,1,,1,,30,,,0,/
12BR00007,H1627,7.0,82,,54,2,7,161,1,W,1,,30,154,1115,131,0103
12BR00008,H1747,7.0,82,TOO BIG,BRT,5,0,207,D,,1,,30,,,0,/
12BR00009,H1761,7.0,82,,58,2,7,201,H,W,1,,30,201,1115,161,0103
12BR00010,H1806,7.0,82,LAME RF ',BRT,5,0,177,2,,1,,30,,,0,/
12BR02228,T2185,4.0,48,.,A,5,,175,2,W,3,,02,181,1130,0,/
12BR02229,T2210,4.0,48,.,A,5,,150,1,W,O,,02,151,1130,0,/
12BR02230,T2301,4.0,48,.,A,5,,161,1,W,3,,02,175,1130,0,/
12BR02231,T2501,3.0,,,A,5,,186,1,W,3,,02,188,1130,0,/
12BR02232,T2771,3.0,,,A,5,,166,1,W,3,,02,173,1130,0,/
12BR02233,T3912,1.0,,HAIRY,BRT,5,7,148,D,,1,18,02,,,,
12BR02234,T3982,1.0,,Lupine,39,1,7,150,D,0,1,04,02,0,,,
12BR02235,H2825,6.0,00,PNEU.TX.,BRT,5,7,216,H,,3,,33,,,,
12BR02236,T3548,1.0,,.,BRT,5,7,170,D,,3,,02,,,,
12BR02237,T3587,1.0,,.,BRT,5,7,170,D,,3,,02,,,,
