UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
18BR00001,H7423,6.0,,LameLF,33,1,0,197,2,179,1009,W,1,,30,186,1106,207,0117
18BR00002,H7426,6.0,,.,9,1,7,167,H,154,1009,W,1,,30,155,1106,183,0117
18BR00003,H7439,6.0,,ToeAbscessBot,31,1,0,168,H,153,1010,W,1,,30,174,1106,208,0117
18BR00004,H7496,6.0,,SCOURS,38,1,7,200,D,187,1009,W,1,,30,189,1106,213,0117
18BR00005,H7592,6.0,,WARTS,37,1,7,183,1,168,1009,W,1,,30,176,1106,209,0117
18BR00006,H7601,6.0,,.,11,1,0,187,1,175,1009,W,1,,30,179,1106,206,0117
18BR00007,H7612,6.0,,.,14,1,0,179,2,174,1009,W,1,,30,177,1106,207,0117
18BR00008,H7767,6.0,,.,5,1,0,168,1,163,1009,W,1,,30,166,1106,193,0117
18BR00009,H7848,6.0,,H,36,1,0,156,1,144,1010,W,1,,30,155,1106,186,0117
18BR00010,H7866,6.0,,.,34,1,7,206,1,186,1009,W,1,,30,201,1106,226,0117
18BR01555,K5259,3.0,,Bell,15,1,,,,144,1010,W,1,,06,160,1121,167,0115
18BR01556,K5260,3.0,,Bell,15,1,,,,146,1010,W,1,,06,163,1121,171,0115
18BR01557,K5261,3.0,,Ballou,15,1,,,,141,1010,W,1,,06,150,1121,156,0115
18BR01558,K5262,3.0,,Bell,15,1,,,,158,1010,W,1,,06,176,1121,186,0115
18BR01559,K5263,3.0,,Bell,15,1,,,,174,1010,W,1,,06,190,1121,206,0115
18BR01560,K5264,3.0,,Ballou,15,1,,,,160,1010,W,1,,06,177,1121,183,0115
18BR01561,K5265,3.0,,Ballou,15,1,,,,189,1010,W,1,,06,213,1121,218,0115
18BR01562,K5266,3.0,,Bell,15,1,,,,161,1010,W,1,,06,183,1121,189,0115
18BR01563,K5267,3.0,,Bell,15,1,,,,163,1010,W,1,,06,202,1121,186,0115
18BR01564,Z1011,6.0,,.,30,1,0,245,D,234,1009,W,1,,,246,1106,255,0117
