UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,GET,WORK
98BR00001, 1102,4.0,00,,L-,3,7,148,N,*
98BR00002, 1004,6.0,18,,L-,3,7,173,N,*
98BR00003, 1068,6.0,18,,L-,3,7,145,N,*
98BR00004, 1024,5.0,18,,L-,3,7,189,N,W
98BR00005, 1087,4.0,00,?ABORTED 4-30,L-,3,7,156,N,*
98BR00006, 1098,4.0,00,,L-,3,7,199,N,*
98BR00007, 1099,4.0,00,,L-,3,7,156,N,*
98BR00008, 1074,5.0,18,GOOD EWE,L-,3,7,145,N,*
98BR00009, 1558,5.0,18,"OUT,LAME",L-,3,7,186,N,*
98BR00010, 1564,4.0,00,,L-,3,7,203,N,*
98BR02812,Z2957,4.0,97,,971,1,0,217,N,W
98BR02813,Z2963,4.0,97,3TEATS,972,1,0,206,N,W
98BR02814,Z2973,4.0,97,SM BAG,972,1,0,229,N,W
98BR02815,Z2975,4.0,97,SAVE,971,1,0,217,N,W
98BR02816,   80,4.0,00,NEW ID = 80,L-,3,7,159,N,*
98BR02817,   84,4.0,00,,L-,3,7,158,N,*
98BR02818,   85,4.0,00,,L-,3,7,168,N,*
98BR02819,   92,4.0,00,,L-,3,7,166,N,*
98BR02820,   97,4.0,00,,L-,3,7,159,N,W
98BR02821,    5,5.0,00,TR96=1,L-,3,7,185,N,W
