UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BCS_FALL,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,BCS_NOV,WTWIN,WDAYW,BCS_WIN
22BR00001,A0009,4.0,,LambedInJuly,21,1,0,212,5.0,2,212,1012,W,1,,30,212,1116,5.0,228,1220,4.0
22BR00002,A0049,4.0,,.,24,1,0,183,4.5,1,179,1011,W,1,,30,188,1116,4.5,187,1220,4.0
22BR00003,A0059,4.0,,.,18,1,7,185,4.5,D,171,1011,W,1,,30,190,1116,4.5,194,1220,3.5
22BR00004,A0103,4.0,,ScoursTx,19,1,,205,4.5,2,204,1012,W,1,,30,207,1116,5.0,206,1220,4.0
22BR00005,A0106,4.0,,.,25,1,0,167,4.0,1,157,1011,W,1,,30,179,1116,4.0,172,1220,3.5
22BR00006,A0110,4.0,,CHUNKYMILKRS,20,1,0,197,4.0,2,175,1012,W,1,,30,178,1116,4.0,188,1220,3.5
22BR00007,A0164,4.0,,.,22,1,,186,3.5,1,182,1012,W,1,,30,197,1116,4.5,196,1220,4.0
22BR00008,A0175,4.0,,WARTS,23,1,0,179,4.0,2,168,1012,W,1,,30,184,1116,5.0,184,1220,4.0
22BR00009,A0184,4.0,,.,24,1,0,173,4.5,1,152,1011,W,1,,30,177,1116,4.5,183,1220,3.5
22BR00010,A0188,4.0,,.,18,1,7,176,4.0,1,174,1012,W,1,,30,178,1116,5.0,188,1220,3.5
22BR01384,Y0333,1.0,,,1,5,,,,,97,1012,W,1,,Kt,98,1129,3.0,83,1221,3.0
22BR01385,Y0334,3.0,,,2,5,,,,,129,1012,W,1,,Kt,123,1129,3.0,102,1221,3.0
22BR01386,Y0335,2.0,,Abscess,1,5,,,,,129,1012,W,1,,Kt,131,1129,3.5,110,1221,3.5
22BR01387,Y0336,2.0,,,2,5,,,,,117,1012,W,1,,Kt,103,1129,3.0,87,1221,2.0
22BR01388,Y0337,3.0,,,1,5,,,,,135,1012,W,1,,Kt,127,1129,3.0,108,1221,2.5
22BR01389,Y0338,3.0,,,2,5,,,,,149,1012,W,1,,Kt,152,1129,3.5,124,1221,3.5
22BR01390,Y0339,1.0,,,1,5,,,,,107,1012,W,6,01,Kt,106,1129,3.0,,,
22BR01391,Y0340,1.0,,,2,5,,,,,118,1012,W,1,,Kt,124,1129,3.5,111,1221,3.0
22BR01392,Y0341,2.0,,Abscess,1,5,,,,,151,1012,W,1,,Kt,143,1129,3.0,125,1221,3.0
22BR01393,Y0342,1.0,,,2,5,,,,,117,1012,W,1,,Kt,121,1129,3.0,101,1221,3.0
