UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
11BR00001,K3522,6.0,6M,  1 Ram X7486,1,1,0,207,1,W,1,,06,228,1107,239,0124
11BR00002,K4023,4.0,6T,  1 Ram X7486,1,1,0,180,1,W,1,,06,181,1107,193,0124
11BR00003,K3933,4.0,6T,  1 Ram X7486,1,1,0,203,2,W,1,,06,194,1107,222,0124
11BR00004,K3883,4.0,6M,  1 Ram X7486,1,1,0,198,1,W,1,,06,195,1107,217,0124
11BR00005,K4191,3.0,6M,  1 Ram X7486,1,1,,190,1,W,1,,06,182,1107,205,0124
11BR00006,K4505,2.0,,  1 Ram X7486,1,1,,177,1,W,1,,06,181,1107,194,0124
11BR00007,K4721,1.0,,  1 Ram X7486,1,1,0,168,D,W,1,,06,157,1107,167,0124
11BR00008,K4670,1.0,,  1 Ram X7486,1,1,0,168,D,W,1,,06,162,1107,176,0124
11BR00009,X6020,3.0,97,  2 Ram X6217,2,1,,225,H,W,1,,97,206,1107,,
11BR00010,K4422,2.0,,  2 Ram X6217,2,1,,200,2,W,1,,06,192,1107,211,0124
11BR01892,X8982,1.0,00,brt Suf X0000,brt,5,0,108,H,W,1,,33,,,127,0124
11BR01893,X8986,1.0,00,brt Suf X0000,brt,5,0,122,H,W,1,,33,,,127,0124
11BR01894,X9070,1.0,00,brt Suf X0000,brt,5,0,144,D,W,1,,33,,,150,0124
11BR01895,X9114,1.0,00,brt Suf X0000,brt,5,0,121,H,W,1,,33,,,134,0124
11BR01896,X9243,1.0,00,brt Suf X0000,brt,5,0,105,H,W,1,,33,,,121,0124
11BR01897,X9247,1.0,00,brt Suf X0000,brt,5,0,123,H,W,1,,33,,,142,0124
11BR01898,X9286,1.0,00,brt Suf X0000,brt,5,0,129,D,W,1,,33,,,144,0124
11BR01899,X9297,1.0,00,brt Suf X0000,brt,5,0,134,D,W,1,,33,,,145,0124
11BR01900,X9431,1.0,00,brt Suf X0000,brt,5,0,170,D,W,1,,33,,,184,0124
11BR01901,X9507,1.0,00,brt Suf X0000,brt,5,0,162,D,W,1,,33,,,172,0124
