UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,COND,WORK
96BR00001,A1116,2.0,ch,ORPHAN,ai2,2,2,118,0,W
96BR00002,A1101,2.0,81,ENTR 1EYE,02,2,0,155,0,W
96BR00003,A1103,2.0,81,,03,2,0,180,0,W
96BR00004,A1109,2.0,73,4TEATS,5,F,6,145,0,W
96BR00005,A1131,2.0,ch,4TEATS,ai2,2,2,163,0,W
96BR00006,A1133,2.0,ch,4TEATS,ai2,2,2,131,0,W
96BR00007,A1134,2.0,ch,,ai2,2,2,151,0,W
96BR00008,A1141,2.0,73,,6,F,6,164,0,W
96BR00009,A1142,2.0,73,X L TEAT ???,7,F,6,0,0,W
96BR00010,A1151,2.0,81,,ai0,2,0,172,0,W
96BR02269,Z2912,2.0,97,FIBERBAG,971,1,0,192,0,W
96BR02270,Z2903,2.0,97,,971,1,0,211,0,W
96BR02271,Z2939,2.0,97,NICE,972,1,0,208,0,W
96BR02272,Z2940,2.0,97,,972,1,0,202,0,W
96BR02273,Z2945,2.0,97,ENTR,972,1,0,202,0,W
96BR02274,Z2957,2.0,97,,972,1,0,211,0,W
96BR02275,Z2963,2.0,97,3TEATS,971,1,0,193,0,W
96BR02276,Z2982,2.0,97,SICK 110394,972,1,0,237,0,W
96BR02277,Z2973,2.0,97,SM BAG,971,1,0,216,0,W
96BR02278,Z2975,2.0,97,,972,1,0,217,0,W
