UID,ETAG,YR,SEX,LINE,LOT,BPEN,PD,FAWT,COND,BGRP,GRP,RMK
92BR00001,K1830,86,2,61,,601,1,152,3,1,,
92BR00002,K1831,86,2,61,,803,1,147,3,1,,ABT.3/11/91
92BR00003,K1848,86,2,61,,HMD,1,176,2,A,2,L.EYE.CONJ.
92BR00004,K1849,86,2,61,,602,1,168,3,1,,
92BR00005,K1880,86,2,60,,603,1,162,3,1,,FLTS
92BR00006,K1882,86,2,61,,813,1,172,4,1,,
92BR00007,K1883,86,2,60,,823,1,184,3,1,,ULCER.R.EYE
92BR00008,K1884,86,2,60,,HMD,1,168,3,A,3,
92BR00009,K1907,86,2,61,,HMD,1,156,3,A,2,
92BR00010,K1910,86,2,63,29C,-Z-,1,162,2,L,,
92BR03311,Z0682,91,2,97,,972,1,0,,1,,
92BR03312,Z0683,91,2,97,,972,1,0,,1,,
92BR03313,Z0685,91,2,97,,971,1,0,,1,,
92BR03314,Z0729,91,2,97,,971,1,0,,1,,
92BR03315,Z0733,91,2,97,,972,1,0,,1,,
92BR03316,Z0786,91,2,97,,971,1,0,,1,,
92BR03317,Z0802,91,2,97,,971,1,0,,1,,
92BR03318,Z0848,91,2,97,,971,1,0,,1,,
92BR03319,Z0850,91,2,97,,971,1,0,,1,,
92BR03320,Z0958,91,2,97,,972,1,0,,1,,
