UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK
99BR00001, 1098,5.0,00,,tai,A,7,167,3,n
99BR00002, 1572,5.0,00,,tai,A,7,147,3,n
99BR00003,  512,6.0,18,,lim,3,7,180,5,W
99BR00004,  565,5.0,00,,tai,A,7,174,3,n
99BR00005,  566,5.0,00,,tai,A,7,164,3,n
99BR00006, 4030,5.0,00,,tai,A,7,125,3,n
99BR00007, 4617,5.0,00,,tai,A,7,159,3,n
99BR00008, 4620,5.0,00,,tai,A,7,149,3,n
99BR00009, 5115,6.0,18,,lim,3,7,161,5,W
99BR00010, 5145,5.0,00,,tai,A,7,160,3,n
99BR02134,Z4798,1.0,97,,971,1,0,208,B,W
99BR02135,Z4772,1.0,97,,972,1,0,175,B,W
99BR02136,Z4778,1.0,97,,971,1,0,172,5,W
99BR02137,Z4777,1.0,97,ENTR,972,1,0,176,B,W
99BR02138,Z2865,5.0,97,THICKCOLOSTRU,972,1,0,242,B,W
99BR02139,Z2940,5.0,97,LATE2MILK,971,1,0,252,B,W
99BR02140,Z2963,5.0,97,3TEATS,972,1,0,242,B,W
99BR02141,   84,5.0,00,HUMPHREY,lim,3,7,150,H,W
99BR02142,   85,5.0,00,,tai,A,7,160,3,n
99BR02143,A1861,4.0,82,L EYE OK '99,21,2,0,180,2,W
