UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
17EW00001,H9583,,Open?,3,95,e7,W,106,1017,113,1122,,,2.9,3-,1,Preg,,1,30
17EW00002,H9584,,.,3,89,e8,W,96,1017,107,1122,,,2.4,4+,1,Preg,,1,30
17EW00003,H9587,,.,1,92,e10,W,100,1017,100,1122,,,2.8,2-,2,Open,,1,30
17EW00004,H9591,,.,1,102,e10,W,113,1017,127,1122,,,2.8,2+,1,Preg,,1,30
17EW00005,H9597,,.,1,117,e11,W,129,1017,144,1122,,,2.0,2+,1,Preg,,1,30
17EW00006,H9598,,.,1,111,e10,W,125,1017,139,1122,,,2.5,2-,1,Preg,,1,30
17EW00007,H9599,,.,1,94,e11,W,101,1017,122,1122,,,2.7,2-,1,Open,,1,30
17EW00008,H9600,,.,1,99,e10,W,110,1017,124,1122,,,3.1,2+,1,Preg,,1,30
17EW00009,H9601,,.,1,92,e11,W,100,1017,116,1122,,,3.3,3+,1,Preg,,1,30
17EW00010,H9602,,.,1,109,e12,W,113,1017,125,1122,,,,,,,,1,30
17EW00011,H9605,,.,1,83,e14,W,95,1017,107,1122,,,3.1,1-,1,Preg,,1,30
17EW00012,H9606,,Open?,1,109,e11,W,120,1017,136,1122,,,3.5,2-,1,Preg,,1,30
17EW00013,H9607,,.,1,101,e10,W,118,1017,129,1122,,,3.1,2+,1,Preg,,1,30
17EW00014,H9610,,Eye Tx,1,94,e14,W,101,1017,114,1122,,,3.9,2+,1,Preg,,1,30
17EW00015,H9612,,.,1,95,e10,W,99,1017,112,1122,,,2.9,2+,1,Preg,,1,30
17EW00016,H9614,,.,1,108,e14,W,120,1017,131,1122,,,2.8,2-,1,Preg,,1,30
17EW00017,H9617,,.,1,108,e14,W,118,1017,127,1122,,,3.1,2+,1,Preg,,1,30
17EW00018,H9621,,.,1,103,e13,W,113,1017,122,1122,,,3.0,2-,1,Preg,,1,30
17EW00019,H9629,,Open?,1,94,e11,W,103,1017,120,1122,,,2.4,2-,1,Preg,,1,30
17EW00020,H9630,,.,1,97,e13,W,103,1017,119,1122,,,2.8,2-,1,Preg,,1,30
17EW00021,H9634,,.,1,91,e12,W,97,1017,102,1122,,,2.8,2,1,Preg,,1,30
17EW00022,H9636,,.,1,103,e12,W,110,1017,116,1122,,,2.8,2,1,Preg,,1,30
17EW00023,H9637,,BL.SPOT.R.HIP,3,99,e9,W,108,1017,119,1122,,,3.9,2-,1,Preg,,3,30
17EW00024,H9643,,Scours,1,86,e10,W,94,1017,106,1122,,,3.1,2,1,Preg,,1,30
17EW00025,H9647,,.,1,113,e12,W,118,1017,130,1122,,,2.3,2-,1,Preg,,1,30
17EW00026,H9648,,HAIRY,3,102,e7,W,117,1017,131,1122,,,2.4,2,1,Preg,,1,30
17EW00027,H9649,,.,1,89,e14,W,102,1017,114,1122,,,3.3,3,1,Preg,,1,30
17EW00028,H9650,,.,1,99,e13,W,109,1017,117,1122,,,2.8,2,1,Preg,,1,30
17EW00029,H9653,,.,1,114,e11,W,128,1017,142,1122,,,3.1,2+,1,Preg,,1,30
17EW00030,H9661,,HAIRY.Scours,3,108,e8,W,116,1017,138,1122,,,2.5,2+,1,Preg,,1,30
17EW00031,H9663,,.,1,95,e10,W,112,1017,127,1122,,,2.5,2,1,Preg,,1,30
17EW00032,H9672,,Open?,3,95,e9,W,106,1017,113,1122,,,3.1,2-,1,Preg,,1,30
17EW00033,H9673,,.,1,122,e13,W,130,1017,149,1122,,,4.1,2-,1,Open,,1,30
17EW00034,H9677,,.,3,91,e7,W,92,1017,95,1122,,,2.4,2-,1,Preg,,1,30
17EW00035,H9683,,BR.SPOT.R.EAR,3,94,e8,W,100,1017,106,1122,,,2.6,2-,1,Preg,,2,30
17EW00036,H9686,,.,1,80,e13,W,96,1017,102,1122,,,2.2,2,1,Preg,,1,30
17EW00037,H9689,,.,3,122,e9,W,128,1017,138,1122,,,2.6,2-,1,Preg,,1,30
17EW00038,H9690,,.,1,103,e14,W,116,1017,120,1122,,,,,,,,1,30
17EW00039,H9692,,.,1,98,e10,W,112,1017,128,1122,,,2.5,2,1,Preg,,1,30
17EW00040,H9694,,.,1,91,e11,W,100,1017,113,1122,,,3.0,2+,1,Preg,,1,30
17EW00041,H9695,,.,1,92,e10,W,108,1017,117,1122,,,,,,,,1,30
17EW00042,H9697,,2ND.ScoursFxL,3,87,e7,W,96,1017,103,1122,,,2.2,2-,1,Preg,,1,30
17EW00043,H9698,,.,1,107,e13,W,119,1017,129,1122,,,3.3,2+,1,Preg,,1,30
17EW00044,H9707,,.,1,97,e12,W,107,1017,120,1122,,,3.7,2,1,Preg,,1,30
17EW00045,H9708,,.,1,95,e13,W,103,1017,120,1122,,,3.1,2-,1,Preg,,1,30
17EW00046,H9709,,.,3,91,e8,W,99,1017,111,1122,,,2.8,3,1,Preg,,1,30
17EW00047,H9714,,.,1,107,e13,W,119,1017,125,1122,,,2.2,2-,1,Preg,,1,30
17EW00048,H9715,,.,1,95,e12,W,92,1017,99,1122,,,2.4,2-,1,Preg,,1,30
17EW00049,H9718,,PINK,3,109,e9,W,119,1017,140,1122,,,2.6,2-,1,Preg,,1,30
17EW00050,H9720,,LEAST.FULL,1,98,e10,W,106,1017,122,1122,,,3.3,2-,1,Preg,,1,30
17EW00051,H9722,,.,3,108,e7,W,113,1017,124,1122,,,2.4,2+,1,Preg,,1,30
17EW00052,H9725,,.,1,139,e14,W,157,1017,168,1122,,,3.0,2-,1,Preg,,1,30
