UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1208,IDZ65,CLR,STM,DIETPEN
08EW00093,T2213,,.,,1,,108,T3,,,110,,1,02,
08EW00094,K4390,,.,,1,,102,e13,,,99,,1,06,
08EW00095,K4388,,.,,1,,75,e5,,,86,,1,06,
08EW00096,T1933,,.,,1,,89,T2,,,90,,1,02,
08EW00097,T2204,,.,,1,,95,T2,,,101,,1,02,
08EW00098,X5811,,.,,1,,63,e6,,,80,,5,SC,
08EW00099,H4322,,.,,1,,80,e23,,,82,,1,30,
08EW00100,T1929,,.,,1,,97,T1,,,115,,1,02,
08EW00101,X6911,,.,,1,,87,e1,,,91,,5,C3,
08EW00102,R7381,,.,,1,,72,e16,,,70,,1,07,
08EW00103,T2114,,.,,1,,105,T3,,,100,,1,02,
08EW00104,K4192,,4TEATS,,1,,102,e3,,,110,,1,06,
08EW00105,T1908,,.,,1,,81,T1,,,90,,1,02,
08EW00106,R7210,,.,,1,,94,e16,,,91,,1,07,
08EW00107,X5937,,.,,1,,109,e10,,,107,,1,TC,
08EW00108,H4277,,.,,1,,87,e23,,,82,,1,30,
08EW00109,K4168,,4TEATS,,1,,93,e3,,,89,,1,06,
08EW00110,X6213,,.,,1,,84,,,,0,,1,04,
08EW00111,R7390,,ENTROPION,,1,,102,e16,,,117,,1,07,
08EW00112,H4292,,.,,1,,79,e17,,,75,,1,30,
08EW00113,K4201,,4TEATS,,1,,107,e12,,,135,,1,06,
08EW00114,H4354,,HAIRY,,1,,77,e17,,,80,,1,30,
08EW00115,H4410,,4TEATS,,1,,87,e23,,,82,,1,30,
08EW00116,R7168,,4TEATS,,1,,97,e15,,,96,,1,07,
08EW00117,X6154,,.,,1,,104,e10,,,131,,6,97,
08EW00118,T2201,,.,,1,,113,T1,,,116,,1,02,
08EW00119,H4352,,4T BRN.EARS,,1,,78,e24,,,78,,2,30,
08EW00120,H4366,,.,,1,,96,e24,,,108,,1,30,
08EW00121,T1930,,.,,1,,107,T1,,,115,,1,02,
08EW00122,T2243,,ENTROPION,,1,,101,T3,,,101,,1,02,
08EW00123,R7412,,.,,1,,97,e16,,,97,,1,07,
08EW00124,X6174,,HAIRY,,1,,112,e11,,,115,,1,TC,
08EW00125,H4302,,.,,1,,94,e23,,,96,,1,30,
08EW00126,R7135,,RATTLES.,,1,,100,e14,,,97,,1,07,
08EW00127,K4366,,4TEATS,,1,,98,e12,,,97,,1,06,
08EW00128,H4327,,.,,1,,79,e19,,,61,,1,30,
08EW00129,X6113,,.,,1,,124,21,,,119,,9,00,
08EW00130,H3862,,.,,1,,91,e24,,,90,,1,30,
08EW00131,T2275,,4T,,1,,99,T3,,,100,,1,02,
08EW00132,H4391,,.,,1,,97,e18,,,99,,1,30,
08EW00133,T2227,,.,,1,,90,T3,,,98,,1,02,
08EW00134,H4334,,.,,1,,84,e22,,,84,,1,30,
08EW00135,H4204,,ENTROPION,,1,,88,e17,,,108,,1,30,
08EW00136,H4315,,E 2 EYES,,1,,74,,,,,,1,30,
08EW00137,T1911,,BLACK EWE,,1,,86,T2,,,95,,9,02,
08EW00138,H3871,,.,,1,,89,e17,,,89,,1,30,
08EW00139,X5787,,ENTROPION,,1,,97,21,,,95,,9,00,
08EW00140,K4399,,CRK LT HD LEG,,1,,111,e5,,,114,,1,06,
08EW00141,R7191,,.,,1,,89,e15,,,98,,1,07,
08EW00142,T2170,,.,,1,,105,T3,,,102,,1,02,
