UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1208,IDZ65,CLR,STM,DIETPEN
08EW00401,X6524,,.,,1,,79,e4,,,107,,5,T3,
08EW00402,H4093,,.,,1,,94,e23,,,94,,1,30,
08EW00403,R7360,,.,,1,,98,e14,,,106,,1,07,
08EW00404,T2132,,.,,1,,100,T2,,,104,,1,02,
08EW00405,R7283,,.,,1,,86,e14,,,100,,1,07,
08EW00406,H3735,,4TEATS,,1,,86,e17,,,96,,1,30,
08EW00407,T2012,,.,,1,,85,T1,,,87,,1,02,
08EW00408,R7310,,4TEATS,,1,,98,,,,,,1,07,
08EW00409,T1990,,4 H,,1,,84,T2,,,97,,1,02,
08EW00410,R7272,,SLIGHT E LT E,,1,,87,e16,,,88,,2,07,
08EW00411,T2105,,.,,1,,92,T3,,,114,,1,02,
08EW00412,T2125,,E RT EYE,,1,,87,T1,,,93,,1,02,
08EW00413,H4098,,.,,1,,77,e22,,,76,,1,30,
08EW00414,T2117,,.,,1,,89,T1,,,100,,1,02,
08EW00415,H3934,,.,,1,,85,e18,,,97,,1,30,
08EW00416,X6643,,ENTROPION,,1,,106,e7,,,112,,5,SC,
08EW00417,H4055,,.,,1,,84,e19,,,75,,1,30,
08EW00418,X6258,,e 4,,1,,96,e7,,,109,,5,SC,
08EW00419,H3946,,.,,1,,89,e19,,,85,,1,30,
08EW00420,X6442,,4TEATS,,1,,99,e4,,,111,,1,T3,
08EW00421,H4464,,.,,1,,62,e24,,,67,,1,30,
08EW00422,X6641,,.,,1,,107,e8,,,117,,1,C3,
08EW00423,K4302,,4.H,,1,,116,e12,,,131,,1,06,
08EW00424,H4477,,.,,1,,86,e19,,,79,,1,30,
08EW00425,H4519,,.,,1,,78,e23,,,105,,1,30,
08EW00426,T2066,,E LT EYE,,1,,92,T2,,,114,,1,02,
08EW00427,R7335,,.,,1,,96,e14,,,111,,1,07,
08EW00428,T2049,,4TEATS,,1,,92,T1,,,99,,1,02,
08EW00429,T2040,,.,,1,,111,T2,,,110,,1,02,
08EW00430,T1967,,E,,1,,85,T3,,,107,,1,02,
08EW00431,T1985,,4TEATS,,1,,97,T2,,,101,,1,02,
08EW00432,H4492,,4TEATS,,1,,76,e17,,,78,,1,30,
08EW00433,R7357,,HAIRY,,1,,99,e16,,,96,,1,07,
08EW00434,R7424,,.,,1,,98,e14,,,93,,1,07,
08EW00435,H3782,,.,,1,,91,e23,,,100,,1,30,
08EW00436,R7264,,.,,1,,85,e14,,,83,,1,07,
08EW00437,T2341,,4TEATS,,1,,71,T3,,,75,,1,02,
08EW00438,R7368,,.,,1,,84,e16,,,79,,1,07,
08EW00439,T1872,,H BLK.RT.SIDE,,1,,93,T2,,,98,,4,02,
08EW00440,H3905,,.,,1,,88,e23,,,83,,1,30,
08EW00441,K4411,,4TEATS,,1,,95,e5,,,101,,1,06,
08EW00442,T1961,,.,,1,,91,T1,,,97,,1,02,
08EW00443,T1853,,.,,1,,92,T3,,,98,,1,02,
08EW00444,R7308,,4TEATS,,1,,81,e15,,,86,,1,07,
08EW00445,H4557,,.,,1,,69,e23,,,61,,1,30,
08EW00446,T2121,,.,,1,,83,T1,,,93,,1,02,
08EW00447,K4378,,4TEATS,,1,,100,e5,,,125,,1,06,
08EW00448,X6267,,e,,1,,114,e8,,,118,,3,C3,
08EW00449,H4083,,.,,1,,83,e23,,,85,,1,30,
08EW00450,H4096,,.,,1,,85,e24,,,92,,1,30,
08EW00451,K4241,,4TEATS,,1,,110,e13,,,109,,1,06,
08EW00452,T2048,,4TEATS,,1,,87,T2,,,91,,1,02,
08EW00453,H4077,,.,,1,,86,e18,,,90,,1,30,
08EW00454,K4279,,HAIRY,,1,,100,e13,,,112,,1,06,
08EW00455,T1989,,4TEATS,,1,,105,T3,,,107,,1,02,
08EW00456,T2309,,.,,1,,78,T2,,,91,,1,02,
08EW00457,X6715,,.,,1,,118,e7,,,137,,5,SC,
08EW00458,K4346,,E 4,,1,,102,e3,,,122,,1,06,
08EW00459,T2019,,ENTROPION,,1,,90,T1,,,99,,1,02,
08EW00460,K4236,,.,,1,,128,e12,,,147,,1,06,
08EW00461,H4485,,.,,1,,65,e19,,,80,,1,30,
08EW00462,H4481,,.,,1,,73,e23,,,69,,1,30,
08EW00463,H3760,,.,,1,,88,e17,,,92,,1,30,
08EW00464,T1850,,E2EYES,,1,,97,T3,,,112,,1,02,
08EW00465,H4111,,.,,1,,74,e24,,,84,,1,30,
08EW00466,H4418,,.,,1,,72,e18,,,80,,1,30,
08EW00467,X6833,,.,,1,,80,e21,,,68,,1,TR,
08EW00468,K4414,,.,,1,,93,e5,,,91,,1,06,
08EW00469,R7302,,4TEATS,,1,,105,e16,,,106,,1,07,
08EW00470,T2011,,4TEATS,,1,,80,T2,,,76,,1,02,
08EW00471,T2323,,.,,1,,61,T2,,,70,,1,02,
08EW00472,T1854,,.,,1,,89,T2,,,90,,1,02,
08EW00473,R7323,,.,,1,,103,e15,,,101,,1,07,
08EW00474,T1988,,E,,1,,87,T2,,,104,,1,02,
08EW00475,K4254,,4TEATS,,1,,105,e13,,,106,,1,06,
08EW00476,X6259,,.,,1,,106,e6,,,116,,5,SC,
08EW00477,R7337,,ENTROPION,,1,,92,e14,,,91,,1,07,
08EW00478,R7349,,E H,,1,,98,e14,,,109,,1,07,
08EW00479,X6346,,EWE CHEWED TA,,1,,99,e8,,,100,,5,S3,
08EW00480,T2023,,.,,1,,79,T3,,,73,,1,02,
08EW00481,H4435,,WEAK LAMB,,1,,70,e18,,,76,,1,30,
08EW00482,H4453,,.,,1,,68,e17,,,87,,1,30,
08EW00483,H3731,,.,,1,,72,e24,,,78,,1,30,
08EW00484,H4029,,.,,1,,93,e19,,,93,,1,30,
08EW00485,H4470,,.,,1,,83,e23,,,78,,1,30,
08EW00486,T2075,,.,,1,,89,T3,,,91,,1,02,
08EW00487,H4514,,.,,1,,84,,,,,,1,30,
08EW00488,H4457,,.,,1,,89,e24,,,88,,1,30,
08EW00489,K4269,,.,,1,,116,e3,,,106,,1,06,
08EW00490,X6520,,NICE LAMB,,1,,135,e2,,,131,,5,C3,
08EW00491,K4251,,ENTR 4T,,1,,106,e12,,,123,,1,06,
08EW00492,X6862,,.,,1,,100,e8,,,110,,5,S3,
08EW00493,H4101,,.,,1,,85,e17,,,94,,1,30,
08EW00494,K4284,,.,,1,,93,e13,,,118,,1,06,
08EW00495,R7220,,WEAK LAMB,,1,,96,e14,,,91,,1,07,
08EW00496,T1942,,.,,1,,84,T2,,,90,,1,02,
08EW00497,R7341,,HAIRY,,1,,90,e16,,,103,,1,07,
08EW00498,H4049,,.,,1,,91,e19,,,67,,1,30,
08EW00499,T2319,,.,,1,,79,T1,,,92,,1,02,
08EW00500,T1941,,.,,1,,65,T2,,,68,,1,02,
08EW00501,T2098,,.,,1,,82,T2,,,83,,1,02,
08EW00502,K4341,,4T BROKEN LEG,,1,,96,e5,,,110,,1,06,
08EW00503,H3805,,.,,1,,93,e23,,,101,,1,30,
08EW00504,T2100,,E,,1,,90,T1,,,92,,1,02,
08EW00505,T2047,,.,,1,,103,T3,,,103,,1,02,
08EW00506,H3800,,.,,1,,115,e18,,,128,,1,30,
08EW00507,H4433,,HAIRY,,1,,75,e23,,,81,,1,30,
08EW00508,H4003,,.,,1,,78,e22,,,73,,1,30,
08EW00509,H4501,,.,,1,,83,e18,,,92,,1,30,
08EW00510,R7277,,.,,1,,94,e16,,,92,,1,07,
08EW00511,T2329,,.,,1,,81,T1,,,109,,1,02,
08EW00512,X6231,,.,,1,,112,e1,,,119,,5,C3,
08EW00513,H4142,,.,,1,,98,e19,,,93,,1,30,
08EW00514,H4419,,.,,1,,80,e19,,,85,,1,30,
08EW00515,R7423,,H 4,,1,,105,e16,,,109,,1,07,
08EW00516,T2062,,.,,1,,109,T2,,,114,,1,02,
08EW00517,R7369,,.,,1,,89,e15,,,94,,1,07,
08EW00518,R7274,,4TEATS,,1,,91,e14,,,92,,1,07,
08EW00519,H4551,,HAIRY,,1,,103,e23,,,93,,1,30,
08EW00520,H4114,,.,,1,,95,e24,,,107,,1,30,
08EW00521,H4158,,.,,1,,95,e18,,,97,,1,30,
08EW00522,H3990,,.,,1,,90,e24,,,107,,1,30,
08EW00523,K4232,,.,,1,,104,e13,,,103,,1,06,
08EW00524,T2065,,.,,1,,92,T3,,,106,,1,02,
08EW00525,X6221,,4TEATS,,1,,99,e8,,,94,,3,C3,
08EW00526,X6530,,.,,1,,108,e12,,,128,,1,06,
08EW00527,T2017,,.,,1,,110,T2,,,115,,1,02,
08EW00528,X6291,,4TEATS,,1,,104,e8,,,109,,4,C3,
08EW00529,T1943,,.,,1,,113,T1,,,139,,1,02,
08EW00530,K4299,,4.H,,1,,103,e13,,,115,,1,06,
08EW00531,K4410,,.,,1,,69,e13,,,79,,1,06,
08EW00532,T2296,,4TEATS,,1,,106,T2,,,113,,1,02,
08EW00533,R7336,,.,,1,,106,e16,,,92,,1,07,
08EW00534,R7261,,.,,1,,96,e15,,,98,,1,07,
08EW00535,H4110,,.,,1,,91,e23,,,93,,1,30,
08EW00536,H4116,,.,,1,,88,e19,,,61,,1,30,
08EW00537,H4533,,.,,1,,65,e18,,,61,,1,30,
08EW00538,X6299,,4TEATS,,1,,128,e3,,,97,,1,06,
08EW00539,T1980,,E,,1,,88,T3,,,88,,1,02,
08EW00540,R7372,,E 4,,1,,82,e14,,,98,,1,07,
08EW00541,H4429,,.,,1,,100,e24,,,107,,1,30,
08EW00542,H4061,,.,,1,,78,e19,,,76,,1,30,
08EW00543,T2003,,E,,1,,108,T3,,,102,,1,02,
08EW00544,K4277,,4TEATS,,1,,82,e12,,,88,,1,06,
08EW00545,R7266,,BLK LIPS,,1,,109,e16,,,104,,2,07,
08EW00546,T1871,,ENTROPION,,1,,66,T1,,,77,,1,02,
08EW00547,X6626,,.,,1,,127,,,,,,5,00,
08EW00548,H4017,,.,,1,,93,e17,,,95,,1,30,
08EW00549,K4207,,.,,1,,111,e5,,,119,,1,06,
08EW00550,K4196,,4TEATS,,1,,98,e5,,,102,,1,06,
08EW00551,T1847,,.,,1,,89,T2,,,97,,1,02,
08EW00552,R7298,,.,,1,,84,e14,,,88,,1,07,
08EW00553,H4525,,.,,1,,66,e24,,,61,,1,30,
08EW00554,T2081,,.,,1,,83,T2,,,102,,1,02,
08EW00555,X6272,,.,,1,,120,e8,,,120,,5,S3,
08EW00556,H4549,,.,,1,,88,e17,,,105,,1,30,
08EW00557,T2160,,.,,1,,95,T2,,,103,,1,02,
08EW00558,H4510,,.,,1,,84,e22,,,91,,1,30,
08EW00559,T2297,,.,,1,,110,T3,,,108,,1,02,
08EW00560,T2330,,.,,1,,103,T2,,,113,,1,02,
08EW00561,T1869,,.,,1,,103,T3,,,99,,1,02,
08EW00562,T1849,,ENTROPION,,1,,116,T2,,,133,,1,02,
08EW00563,T1957,,.,,1,,114,T1,,,128,,1,02,
08EW00564,K4261,,.,,1,,97,e13,,,80,,1,06,
08EW00565,X6637,,.,,1,,122,e6,,,135,,5,SC,
08EW00566,H4122,,.,,1,,78,e24,,,84,,1,30,
08EW00567,R7282,,BLK SPOTS,,1,,98,e16,,,92,,2,07,
08EW00568,T2010,,4TEATS,,1,,71,T1,,,80,,1,02,
08EW00569,H3747,,.,,1,,89,e22,,,101,,1,30,
08EW00570,H3737,,E LT EYE,,1,,98,e18,,,115,,1,30,
08EW00571,T2072,,HAIRY,,1,,99,T3,,,110,,1,02,
08EW00572,H4499,,.,,1,,77,e23,,,76,,1,30,
08EW00573,H4543,,.,,1,,93,e24,,,96,,1,30,
08EW00574,H4156,,.,,1,,97,e23,,,102,,1,30,
08EW00575,H4529,,.,,1,,85,e19,,,78,,1,30,
08EW00576,X6502,,E RT EYE,,1,,83,e2,,,87,,5,S3,
08EW00577,H4469,,.,,1,,77,e22,,,78,,1,30,
08EW00578,H4073,,.,,1,,71,e24,,,71,,1,30,
08EW00579,H3954,,.,,1,,100,e22,,,109,,1,30,
08EW00580,X7049,,ENTROPION,,1,,79,e1,,,85,,5,00,
08EW00581,H3752,,.,,1,,89,e18,,,97,,1,30,
08EW00582,H4125,,.,,1,,82,e23,,,85,,1,30,
08EW00583,T2089,,4TEATS,,1,,58,T2,,,65,,1,02,
08EW00584,H3907,,.,,1,,83,e22,,,75,,1,30,
08EW00585,T1948,,.,,1,,69,T3,,,75,,1,02,
08EW00586,T1852,,.,,1,,103,T3,,,107,,1,02,
08EW00587,X6839,,E,,1,,112,,,,,,4,00,
08EW00588,X6706,,E 4,,1,,84,e9,,,82,,1,TC,
08EW00589,T2006,,.,,1,,82,T1,,,102,,1,02,
08EW00590,R7421,,.,,1,,91,e15,,,112,,1,07,
08EW00591,T1998,,ENTROPION,,1,,77,T3,,,88,,1,02,
08EW00592,R7291,,HAIRY,,1,,100,e15,,,104,,1,07,
08EW00593,R7278,,.,,1,,76,e16,,,73,,1,07,
08EW00594,T2041,,.,,1,,56,T2,,,61,,1,02,
08EW00595,K4285,,4TEATS,,1,,90,e12,,,93,,1,06,
08EW00596,T1848,,.,,1,,91,T3,,,95,,1,02,
08EW00597,X6399,,.,,1,,76,e10,,,75,,1,TC,
08EW00598,H3910,,.,,1,,92,e18,,,85,,1,30,
08EW00599,X6459,,NICE,,1,,104,e10,,,112,,1,TC,
08EW00600,H4459,,.,,1,,75,e19,,,69,,1,30,
08EW00601,H4544,,.,,1,,91,e22,,,75,,1,30,
08EW00602,R7374,,.,,1,,95,e16,,,95,,1,07,
08EW00603,H4561,,4TEATS,,1,,86,e22,,,83,,1,30,
08EW00604,H4100,,.,,1,,77,e24,,,87,,1,30,
08EW00605,T2059,,.,,1,,92,T1,,,93,,1,02,
08EW00606,T2039,,.,,1,,116,T1,,,117,,1,02,
08EW00607,T1991,,.,,1,,80,T1,,,90,,1,02,
08EW00608,X6812,,.,,1,,93,e2,,,91,,5,S3,
08EW00609,H3953,,.,,1,,94,e19,,,94,,1,30,
08EW00610,H4103,,4TEATS,,1,,93,e18,,,89,,1,30,
08EW00611,H4107,,.,,1,,97,e22,,,98,,1,30,
08EW00612,T2002,,,,1,,90,T3,,,99,,2,02,
08EW00613,R7237,,.,,1,,91,e14,,,106,,1,07,
08EW00614,X6677,,WEAK.PASTERNS,,1,,114,e9,,,143,,6,97,
08EW00615,X6712,,.,,1,,91,e7,,,100,,5,CS,
08EW00616,X6466,,.,,1,,102,e6,,,115,,5,CS,
08EW00617,X5884,,ENTROPION,,1,,78,e3,,,76,,5,TS,
08EW00618,X5712,,4TEATS,,1,,99,e7,,,116,,5,CS,
08EW00619,X6435,,.,,1,,114,e9,,,130,,6,97,
08EW00620,X6965,,.,,1,,92,e11,,,109,,6,97,
08EW00621,X6353,,.,,1,,92,e11,,,111,,6,97,
08EW00622,X6461,,.,,1,,97,e10,,,0,,6,97,
08EW00623,X6149,,.,,1,,94,e3,,,85,,5,TS,
08EW00624,X5894,,.,,1,,99,e5,,,108,,5,TS,
08EW00625,X6499,,.,,1,,110,e11,,,125,,6,97,
08EW00626,X6263,,e,,1,,83,e9,,,89,,6,97,
08EW00627,X5748,,.,,1,,152,e3,,,156,,5,TS,
08EW00628,X5743,,ENTROPION,,1,,98,e6,,,118,,5,CS,
08EW00629,X6507,,.,,1,,95,e9,,,109,,6,97,
08EW00630,X6675,,4TEATS,,1,,92,e11,,,107,,6,97,
08EW00631,X6589,,.,,1,,115,e9,,,131,,9,97,
08EW00632,X5711,,E RATTLE,,1,,99,e6,,,116,,5,CS,
08EW00633,X6020,,.,,1,,98,e10,,,107,,6,97,
08EW00634,X6085,,.,,1,,109,e11,,,117,,6,97,
08EW00635,X6312,,.,,1,,93,e10,,,110,,6,97,
08EW00636,X6235,,.,,1,,105,e7,,,126,,5,CS,
08EW00637,X6774,,ENTR DYST-5-3,,1,,98,e3,,,87,,5,TS,
08EW00638,X6109,,.,,1,,102,e10,,,114,,6,97,
08EW00639,X6607,,.,,1,,94,e11,,,98,,6,97,
08EW00640,X5771,,RATTLES,,1,,82,e11,,,97,,6,97,
08EW00641,X6234,,.,,1,,101,e6,,,115,,5,CS,
08EW00642,X6110,,ENTROPION,,1,,102,e6,,,116,,5,CS,
08EW00643,X6082,,.,,1,,117,e7,,,131,,5,CS,
08EW00644,X5912,,ENTROPION,,1,,102,e10,,,109,,6,97,
08EW00645,X6519,,.,,1,,92,e9,,,107,,6,97,
08EW00646,X6190,,.,,1,,83,e9,,,79,,6,97,
08EW00647,X5963,,.,,1,,111,e3,,,102,,5,TS,
08EW00648,X6060,,.,,1,,86,e10,,,73,,6,97,
08EW00649,X5729,,SCOURS,,1,,127,e9,,,122,,6,97,
08EW00650,X6292,,ENTROPION,,1,,125,e7,,,125,,5,CS,
08EW00651,X5952,,.,,1,,117,e10,,,136,,6,97,
08EW00652,X5829,,.,,1,,99,e11,,,123,,6,97,
08EW00653,X5877,,.,,1,,97,e11,,,119,,6,97,
08EW00654,X6276,,.,,1,,121,e11,,,139,,6,97,
08EW00655,X5807,,4TEATS,,1,,128,e10,,,135,,6,97,
08EW00656,X6058,,.,,1,,110,e10,,,122,,6,97,
08EW00657,X5812,,.,,1,,110,e10,,,115,,6,97,
08EW00658,X7178,,E RT EYE,,1,,88,e11,,,99,,6,97,
08EW00659,X6532,,.,,1,,96,e9,,,102,,6,97,
08EW00660,X5883,,ENTROPION,,1,,93,e3,,,100,,5,TS,
08EW00661,X5964,,RATTLES,,1,,89,e11,,,83,,6,97,
08EW00662,X6084,,E 1 EYE,,1,,103,,,,,,6,97,
08EW00663,X6654,,.,,1,,83,e10,,,93,,6,97,
08EW00664,X6252,,.,,1,,103,e3,,,90,,5,TS,
08EW00665,X6303,,.,,1,,103,e7,,,112,,5,CS,
08EW00666,X6047,,NICE LAMB,,1,,97,e3,,,90,,5,TS,
08EW00667,X5910,,.,,1,,114,,,,,,1,04,
08EW00668,R7187,,ENTROPION,,1,,112,e15,,,103,,1,07,
