UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,NOV02,DEC17
93EW00001,A0113,82,,101,1,78,R.3,Red 3,97,113
93EW00002,A0103,82,ENTR,105,1,80,R.5,Red 5,100,111
93EW00003,A0136,82,HAIRY,99,1,85,R.4,Red 4,84,92
93EW00004,A0138,82,,96,1,85,R.5,Red 5,95,100
93EW00005,A0147,80,,91,1,90,R.3,Red 3,97,101
93EW00006,A0153,82,,104,1,76,R.5,Red 5,100,108
93EW00007,A0152,80,,107,1,98,R.4,Red 4,108,133
93EW00008,A0165,80,,107,1,96,R.4,Red 4,103,117
93EW00009,A0166,80,,98,1,78,R.5,Red 5,98,105
93EW00010,A0162,82,,109,1,79,R.3,Red 3,98,109
93EW00011,A0168,82,,102,1,86,R.3,Red 3,99,107
93EW00012,A0120,82,,100,1,88,R.4,Red 4,113,128
93EW00013,A0129,80,,107,1,77,R.3,Red 3,91,106
93EW00014,A0181,80,,113,1,92,R.3,Red 3,113,123
93EW00015,A0184,82,,98,1,86,R.4,Red 4,102,116
93EW00016,A0185,82,,90,1,82,R.5,Red 5,101,108
93EW00017,A0187,82,,106,1,103,R.3,Red 3,114,117
93EW00018,A0171,82,,100,1,78,R.4,Red 4,108,120
93EW00019,A0175,80,,111,1,89,R.5,Red 5,113,113
93EW00020,A0013,82,,99,1,73,R.3,Red 3,88,94
93EW00021,A0036,82,,98,1,77,R.5,Red 5,98,106
93EW00022,A0039,80,,111,1,77,R.4,Red 4,95,100
93EW00023,A0037,82,,97,1,70,R.3,Red 3,80,90
93EW00024,A0041,82,,105,1,79,R.5,Red 5,98,106
93EW00025,A0051,82,4TEATS,99,1,78,R.4,Red 4,98,106
93EW00026,A0050,82,,97,1,76,R.3,Red 3,93,108
93EW00027,A0058,82,,99,1,73,R.5,Red 5,90,102
93EW00028,A0068,82,,112,1,88,R.4,Red 4,116,128
93EW00029,A0067,82,4TEATS,110,1,78,R.5,Red 5,107,114
93EW00030,A0021,80,HAIRY,97,1,90,R.4,Red 4,97,114
93EW00031,A0084,82,,104,1,79,R.4,Red 4,95,106
93EW00032,A0082,80,,96,1,77,R.3,Red 3,94,97
93EW00033,A0075,82,,92,1,80,R.5,Red 5,93,99
93EW00034,A0210,80,,102,1,87,R.4,Red 4,115,122
93EW00035,A0214,82,,100,1,85,R.3,Red 3,94,101
93EW00036,A0212,TT,,113,J,92,R.5,Red 5,94,103
93EW00037,A0218,82,,97,1,74,R.4,Red 4,81,93
93EW00038,A0241,80,BLACKLAMB,86,1,67,R.5,Red 5,81,88
93EW00039,A0221,80,BLACKWETHER,103,1,84,G.4,Grn 4,101,104
93EW00040,A0004,80,BLACKEWE,94,1,86,R.4,Red 4,120,127
93EW00041,A0006,80,,110,1,89,R.5,Red 5,108,128
93EW00042,K6658,60,,113,1,113,G.1,Grn 1,127,139
93EW00043,K6659,62,,103,1,126,G.2,Grn 2,140,134
93EW00044,K6661,62,,111,1,110,G.1,Grn 1,125,132
93EW00045,K6669,60,,111,1,110,G.2,Grn 2,121,121
93EW00046,K6681,62,4TEATS,96,1,97,G.1,Grn 1,109,114
93EW00047,K6680,62,4TEATS,98,1,97,G.2,Grn 2,110,116
93EW00048,K6683,62,4TEATS,97,1,70,G.2,Grn 2,92,95
93EW00049,K6688,62,4TEATS,113,1,96,G.1,Grn 1,121,120
93EW00050,K6693,60,4TEATS,99,1,106,G.2,Grn 2,136,147
93EW00051,K6695,60,,96,1,104,G.1,Grn 1,118,125
93EW00052,K6696,60,4TEATS,99,1,113,G.2,Grn 2,118,132
93EW00053,K6699,62,4TEATS,122,1,125,G.1,Grn 1,138,144
93EW00054,K6670,62,,107,1,108,G.1,Grn 1,138,153
93EW00055,K6676,00,,0,1,0,R14,Red 14,130,145
93EW00056,K6672,60,4TEATS,99,1,112,G.2,Grn 2,131,139
93EW00057,K6679,60,,91,1,73,G.1,Grn 1,88,94
93EW00058,K6816,60,4TEATS,113,1,104,G.1,Grn 1,113,121
93EW00059,K6817,60,4TEATS,108,1,85,G.2,Grn 2,106,114
93EW00060,K6804,60,1TAG,96,1,92,G.2,Grn 2,97,106
93EW00061,K6806,62,4TEATS,108,1,92,G.1,Grn 1,106,110
93EW00062,K6808,00,,0,1,0,R15,Red 15,132,156
93EW00063,K6807,62,BRN.EARS*2,108,1,92,G.2,Grn 2,107,113
93EW00064,K6831,60,ENTR,91,1,88,G.2,Grn 2,107,114
93EW00065,K6837,62,,91,1,93,G.1,Grn 1,98,103
93EW00066,K6841,62,,96,1,84,G.2,Grn 2,96,96
93EW00067,K6843,00,,0,1,0,R15,Red 15,138,154
93EW00068,K6846,62,TRAUMA?,102,1,112,G.1,Grn 1,128,131
93EW00069,K6848,60,,113,1,102,G.1,Grn 1,131,151
93EW00070,K6849,62,4TEATS,98,1,94,G.2,Grn 2,108,119
93EW00071,K6847,60,,113,1,102,G.2,Grn 2,125,133
93EW00072,K6854,60,,95,1,87,G.2,Grn 2,103,105
93EW00073,K6856,60,,104,1,98,G.1,Grn 1,124,137
93EW00074,K6852,62,,105,1,92,G.1,Grn 1,124,133
93EW00075,K6859,62,,102,1,94,G.2,Grn 2,106,110
93EW00076,K6861,60,4TEATS,96,1,100,G.1,Grn 1,111,110
93EW00077,K6862,60,,95,1,99,G.2,Grn 2,107,113
93EW00078,K6867,60,,100,1,93,G.1,Grn 1,122,133
93EW00079,K6823,62,,108,1,90,G.1,Grn 1,102,117
93EW00080,K6824,62,4TEATS,111,1,89,G.2,Grn 2,107,113
93EW00081,K6828,60,DEAD 11/24/93,102,1,107,G.2,Grn 2,130,0
93EW00082,K6827,60,4TEATS,107,1,99,G.1,Grn 1,112,125
93EW00083,K6881,60,4TEATS,95,1,87,G.2,Grn 2,106,105
93EW00084,K6886,60,,107,1,112,G.2,Grn 2,136,155
93EW00085,K6882,60,4TEATS,99,1,98,G.1,Grn 1,99,99
93EW00086,K6888,62,4TEATS,104,1,90,G.1,Grn 1,115,119
93EW00087,K6891,62,,84,1,71,G.1,Grn 1,77,83
93EW00088,K6890,62,4TEATS,119,1,117,G.2,Grn 2,142,160
93EW00089,K6896,62,,99,1,92,G.2,Grn 2,99,103
93EW00090,K6897,62,4TEATS,98,1,80,G.1,Grn 1,98,107
93EW00091,K6879,60,,107,1,90,G.1,Grn 1,107,113
93EW00092,K6877,60,,103,1,88,G.2,Grn 2,113,119
93EW00093,K6911,62,4TEATS,99,1,94,G.1,Grn 1,111,121
93EW00094,K6914,60,,88,1,86,G.2,Grn 2,101,104
93EW00095,K6915,60,,101,1,102,G.1,Grn 1,115,114
93EW00096,K6919,62,4TEATS,113,1,102,G.1,Grn 1,125,137
93EW00097,K6917,62,,102,1,103,G.2,Grn 2,126,134
93EW00098,K6900,60,ENTR,110,1,110,G.2,Grn 2,118,123
93EW00099,K6904,60,,110,1,112,G.1,Grn 1,124,136
93EW00100,K6906,62,,95,1,84,G.2,Grn 2,96,106
93EW00101,K6934,60,4TEATS,90,1,96,G.2,Grn 2,120,122
93EW00102,K6938,60,,85,1,71,G.2,Grn 2,92,97
93EW00103,K6939,62,4TEATS,109,1,84,G.1,Grn 1,104,103
93EW00104,K6937,60,4TEATS,95,1,85,G.1,Grn 1,99,107
93EW00105,K6941,62,4TEATS,87,1,75,G.2,Grn 2,98,102
93EW00106,K6944,62,4TEATS,103,1,101,G.1,Grn 1,115,115
93EW00107,K6950,62,HAIRY,104,1,73,G.2,Grn 2,86,93
93EW00108,K6955,62,4TEATS,105,1,102,G.2,Grn 2,120,129
93EW00109,K6956,62,,88,1,72,G.1,Grn 1,83,82
93EW00110,K6952,60,4TEATS,81,1,75,G.1,Grn 1,95,100
93EW00111,K6958,60,4TEATS,98,1,79,G.1,Grn 1,107,111
93EW00112,K6959,00,,0,1,0,R14,Red 14,94,103
93EW00113,K6957,60,,106,1,78,G.2,Grn 2,97,111
93EW00114,K6964,60,,107,1,105,G.1,Grn 1,126,132
93EW00115,K6966,62,4TEATS,88,1,90,G.2,Grn 2,116,119
93EW00116,K6962,62,4TEATS,107,1,96,G.2,Grn 2,131,141
93EW00117,K6960,00,4TEATS,0,1,0,R14,Red 14,103,118
93EW00118,K6928,60,ENTR,114,1,87,G.2,Grn 2,112,124
93EW00119,K6929,60,ENTR,104,1,83,G.1,Grn 1,106,111
93EW00120,K6984,60,4TEATS,105,1,94,G.1,Grn 1,116,120
93EW00121,K6985,62,,99,1,90,G.2,Grn 2,101,109
93EW00122,K6986,60,,98,1,88,G.1,Grn 1,104,114
93EW00123,K6980,00,4TEATS,0,1,0,R14,Red 14,96,109
93EW00124,K6991,62,?LATE-155DAY,98,1,89,G.2,Grn 2,107,114
93EW00125,K6993,60,,97,1,71,G.2,Grn 2,90,102
93EW00126,K6994,00,,0,1,0,R14,Red 14,108,121
93EW00127,K6996,62,,97,1,74,G.1,Grn 1,91,93
93EW00128,K6992,60,,89,1,57,G.1,Grn 1,71,74
93EW00129,K6999,60,,102,1,85,G.2,Grn 2,86,91
93EW00130,K6990,00,4TEATS,0,1,0,R14,Red 14,112,130
93EW00131,K6713,60,,112,1,123,G.2,Grn 2,128,131
93EW00132,K6716,62,,87,1,84,G.1,Grn 1,99,96
93EW00133,K6718,62,4TEATS,99,1,94,G.2,Grn 2,115,124
93EW00134,K6719,62,4TEATS,97,1,103,G.1,Grn 1,111,115
93EW00135,K6703,60,ENTR,123,1,118,G.2,Grn 2,146,168
93EW00136,K6704,60,,112,1,124,G.1,Grn 1,138,165
93EW00137,K6730,62,,92,1,90,G.1,Grn 1,109,102
93EW00138,K6739,60,,107,1,104,G.2,Grn 2,120,134
93EW00139,K6740,60,HAIRY,105,1,114,G.1,Grn 1,129,135
93EW00140,K6743,62,4TEATS,104,1,98,G.2,Grn 2,109,112
93EW00141,K6744,62,PINK,110,1,107,G.1,Grn 1,132,146
93EW00142,K6745,00,,0,1,0,R15,Red 15,115,126
93EW00143,K6749,00,,0,1,0,R15,Red 15,126,141
93EW00144,K6747,00,TEXEL LAMB !!,0,1,0,R14,Red 14,105,118
93EW00145,K6753,00,,0,1,0,R14,Red 14,116,132
93EW00146,K6755,00,4TEATS,0,1,0,R15,Red 15,138,156
93EW00147,K6757,00,,0,1,0,R15,Red 15,103,114
93EW00148,K6761,00,"ENTR,4TEATS",0,1,0,R14,Red 14,148,170
93EW00149,K6763,00,,0,1,0,R15,Red 15,134,149
93EW00150,K6764,62,,110,1,89,G.2,Grn 2,109,118
93EW00151,K6723,62,ENTR,94,1,93,G.1,Grn 1,113,119
93EW00152,K6726,62,4TEATS,88,1,78,G.2,Grn 2,68,91
93EW00153,K6722,62,,101,1,103,G.2,Grn 2,115,130
93EW00154,K6729,62,4TEATS,95,1,88,G.2,Grn 2,99,99
93EW00155,K6727,62,4TEATS,86,1,76,G.1,Grn 1,79,82
93EW00156,K6781,62,ENTR,105,1,103,G.2,Grn 2,121,129
93EW00157,K6788,00,,0,1,0,R15,Red 15,122,136
93EW00158,K6791,62,"ENTR,4TEATS",104,1,102,G.1,Grn 1,125,133
93EW00159,K6795,62,,103,1,118,G.2,Grn 2,127,138
93EW00160,K6797,60,,102,1,87,G.1,Grn 1,103,102
93EW00161,K6773,00,,0,1,0,R15,Red 15,138,147
93EW00162,K6774,60,4TEATS,105,1,121,G.1,Grn 1,136,137
93EW00163,K6775,62,4TEATS,87,1,75,G.2,Grn 2,85,82
93EW00164,K6776,62,,98,1,102,G.1,Grn 1,116,118
93EW00165,K6777,00,"DEAD,REC.PRO.",0,1,0,R14,Red 14,144,0
93EW00166,K7015,60,,101,1,70,G.2,Grn 2,86,96
93EW00167,K7016,62,,85,1,59,G.1,Grn 1,68,67
93EW00168,K7012,60,,85,1,53,G.1,Grn 1,76,88
93EW00169,K7018,60,,109,1,82,G.1,Grn 1,100,109
93EW00170,K7019,60,MSG 12/17/93,100,1,69,G.2,Grn 2,76,0
93EW00171,K7017,60,,88,1,57,G.2,Grn 2,83,96
93EW00172,K7001,60,,91,1,57,G.1,Grn 1,69,76
93EW00173,K7003,62,CHILLED,87,1,72,G.1,Grn 1,71,70
93EW00174,K7004,60,,94,1,74,G.2,Grn 2,95,103
93EW00175,K7002,60,4TEATS,96,1,73,G.2,Grn 2,90,103
93EW00176,K7009,60,4TEATS,105,1,66,G.2,Grn 2,92,107
93EW00177,K7007,62,,83,1,52,G.1,Grn 1,67,73
93EW00178,L9667,80,"WEAK,IMM",99,1,101,R.3,Red 3,119,129
93EW00179,L9681,82,,97,1,87,R.4,Red 4,90,94
93EW00180,L9685,80,PINK,99,1,97,R.5,Red 5,112,119
93EW00181,L9686,80,,98,1,92,R.3,Red 3,111,116
93EW00182,L9698,82,,102,1,88,R.4,Red 4,111,125
93EW00183,L9699,82,,90,1,71,R.5,Red 5,96,105
93EW00184,L9676,80,WEAK,97,1,104,R.4,Red 4,127,137
93EW00185,L9679,82,,92,1,66,R.3,Red 3,79,85
93EW00186,L9677,TT,,103,J,96,R.5,Red 5,113,122
93EW00187,L9810,82,,91,1,77,R.4,Red 4,88,98
93EW00188,L9813,TT,,104,J,96,R.5,Red 5,110,108
93EW00189,L9802,80,4TEATS,117,1,103,R.5,Red 5,130,145
93EW00190,L9807,TT,,105,J,88,R.3,Red 3,113,119
93EW00191,L9831,80,,110,1,101,R.5,Red 5,125,139
93EW00192,L9835,TT,,106,J,93,R.3,Red 3,115,120
93EW00193,L9839,TT,,100,J,90,R.4,Red 4,103,111
93EW00194,L9845,82,,99,1,93,R.5,Red 5,110,126
93EW00195,L9854,80,,100,1,85,R.3,Red 3,106,111
93EW00196,L9856,80,,111,1,99,R.4,Red 4,111,125
93EW00197,L9857,80,,98,1,81,R.5,Red 5,93,98
93EW00198,L9860,82,,97,1,87,R.3,Red 3,107,113
93EW00199,L9863,80,,96,1,89,R.4,Red 4,103,122
93EW00200,L9864,80,,103,1,96,R.5,Red 5,116,132
93EW00201,L9865,TT,,95,J,90,R.3,Red 3,103,111
93EW00202,L9820,TT,,98,J,94,R.3,Red 3,105,119
93EW00203,L9825,TT,PINK,106,J,84,R.4,Red 4,99,101
93EW00204,L9884,82,4TEATS,103,1,72,R.3,Red 3,95,101
93EW00205,L9885,TT,,96,J,84,R.4,Red 4,96,108
93EW00206,L9882,TT,,106,J,99,R.5,Red 5,99,107
93EW00207,L9893,80,,109,1,87,R.5,Red 5,100,97
93EW00208,L9896,82,HAIRY,103,1,94,R.3,Red 3,108,114
93EW00209,L9897,80,4TEATS,114,1,110,R.4,Red 4,130,147
93EW00210,L9875,TT,,108,J,86,R.4,Red 4,93,102
93EW00211,L9913,80,4TEATS,103,1,72,R.5,Red 5,94,100
93EW00212,L9914,80,,110,1,95,R.3,Red 3,107,116
93EW00213,L9916,80,,101,1,106,R.4,Red 4,122,131
93EW00214,L9900,80,HAIRY,105,1,99,R.5,Red 5,113,129
93EW00215,L9904,80,,99,1,78,R.3,Red 3,95,98
93EW00216,L9905,80,,97,1,78,R.4,Red 4,88,103
93EW00217,L9938,TT,,101,J,82,R.3,Red 3,88,91
93EW00218,L9939,TT,,101,J,77,R.4,Red 4,89,92
93EW00219,L9937,TT,,116,J,113,R.5,Red 5,130,132
93EW00220,L9943,82,,102,1,83,R.5,Red 5,107,119
93EW00221,L9949,82,,97,1,71,R.3,Red 3,90,94
93EW00222,L9950,82,,99,1,79,R.4,Red 4,99,108
93EW00223,L9953,80,,102,1,94,R.5,Red 5,120,126
93EW00224,L9959,82,4TEATS,99,1,86,R.4,Red 4,101,116
93EW00225,L9957,82,,91,1,70,R.3,Red 3,90,94
93EW00226,L9965,80,4TEATS,99,1,94,R.5,Red 5,111,135
93EW00227,L9966,80,,106,1,87,R.3,Red 3,116,131
93EW00228,L9968,82,,110,1,105,R.4,Red 4,112,124
93EW00229,L9981,80,,114,1,95,R.3,Red 3,107,109
93EW00230,L9980,80,,101,1,87,R.5,Red 5,106,114
93EW00231,L9984,82,,103,1,89,R.4,Red 4,116,125
93EW00232,L9986,82,4TEATS,114,1,97,R.5,Red 5,111,118
93EW00233,L9991,80,,101,1,79,R.4,Red 4,102,115
93EW00234,L9990,80,,104,1,88,R.3,Red 3,110,118
93EW00235,L9994,82,,105,1,90,R.3,Red 3,91,90
93EW00236,L9992,82,,102,1,75,R.5,Red 5,89,94
93EW00237,L9974,80,,112,1,92,R.3,Red 3,124,134
93EW00238,L9972,82,,102,1,83,R.5,Red 5,102,115
93EW00239,L9979,80,4TEATS,100,1,88,R.4,Red 4,98,104
93EW00240,L9714,82,4TEATS,93,1,101,R.5,Red 5,121,134
93EW00241,L9715,80,4TEATS,108,1,95,R.3,Red 3,126,140
93EW00242,L9705,80,4TEATS,104,1,88,R.3,Red 3,106,116
93EW00243,L9706,80,,106,1,90,R.4,Red 4,113,128
93EW00244,L9731,TT,,99,J,86,R.4,Red 4,103,112
93EW00245,L9733,82,,92,1,82,R.5,Red 5,93,99
93EW00246,L9736,80,,106,1,85,R.3,Red 3,113,117
93EW00247,L9738,82,SAVEbySWAPok,83,1,89,R.4,Red 4,98,107
93EW00248,L9740,TT,4TEATS,110,J,90,R.5,Red 5,108,112
93EW00249,L9743,80,,97,1,94,R.4,Red 4,105,110
93EW00250,L9746,80,ENTR,100,1,79,R.5,Red 5,105,114
93EW00251,L9742,80,,97,1,83,R.3,Red 3,102,107
93EW00252,L9749,82,,106,1,88,R.3,Red 3,118,122
93EW00253,L9751,82,,100,1,85,R.4,Red 4,106,111
93EW00254,L9756,TT,,105,J,76,R.5,Red 5,98,105
93EW00255,L9757,TT,,111,J,94,R.3,Red 3,103,107
93EW00256,L9760,TT,HAIRY,102,J,108,R.4,Red 4,120,128
93EW00257,L9766,80,,94,1,81,R.5,Red 5,88,100
93EW00258,L9721,82,,102,1,84,R.4,Red 4,124,136
93EW00259,L9722,82,ENTR,116,1,95,R.5,Red 5,109,124
93EW00260,L9728,TT,,103,J,81,R.3,Red 3,91,94
93EW00261,L9790,TT,,92,J,80,R.3,Red 3,107,114
93EW00262,L9798,TT,,100,J,86,R.4,Red 4,104,108
93EW00263,L9775,TT,,111,J,90,R.3,Red 3,110,120
93EW00264,L9776,TT,4TEATS,101,J,80,R.4,Red 4,91,98
93EW00265,L9778,80,,113,1,95,R.5,Red 5,114,135
93EW00266,S3461,00,,0,1,0,R12,Red 12,127,133
93EW00267,S3484,00,,0,1,0,R11,Red 11,105,112
93EW00268,S3486,00,DEAD,0,1,0,R12,Red 12,0,0
93EW00269,S3496,18,4TEATS,104,1,0,G.5,Grn 5,115,129
93EW00270,S3503,18,,110,1,105,G.6,Grn 6,126,142
93EW00271,S3541,00,,0,1,0,R11,Red 11,116,123
93EW00272,S3548,18,,111,1,77,G.6,Grn 6,91,102
93EW00273,S3540,00,,0,1,0,R13,Red 13,114,121
93EW00274,S3558,00,4TEATS,0,1,0,R12,Red 12,118,118
93EW00275,S3557,00,4TEATS,0,1,0,R12,Red 12,118,120
93EW00276,S3598,18,WEAK,91,1,68,G.5,Grn 5,77,84
93EW00277,S3601,00,NICE,0,1,0,R13,Red 13,123,135
93EW00278,S3604,18,WEAK,92,1,68,G.6,Grn 6,87,103
93EW00279,S3605,00,,0,1,0,R11,Red 11,118,116
93EW00280,S3607,18,WEAK,108,1,97,G.5,Grn 5,118,133
93EW00281,S3635,00,,0,1,0,R13,Red 13,121,134
93EW00282,S3641,00,,0,1,0,R11,Red 11,113,128
93EW00283,S3646,00,,0,1,0,R12,Red 12,92,95
93EW00284,S3649,00,,0,1,0,R11,Red 11,109,116
93EW00285,S3647,00,,0,1,0,R12,Red 12,111,116
93EW00286,S3667,00,HAIRY,0,1,0,R12,Red 12,104,105
