UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
21EW00001,A1054,,.,1,101,e1,W,111,1015,120,1119,,,,2,,Preg,,1,30
21EW00002,A1057,,HAIRY,1,99,e2,W,125,1015,135,1119,,,,2,,Preg,,1,30
21EW00003,A1058,,.,1,108,e3,W,131,1015,127,1119,,,,,,Open,15805,1,30
21EW00004,A1064,,HAIRY,1,100,e4,W,127,1015,132,1119,,,,3+,,Preg,,1,30
21EW00005,A1067,,.,1,85,e5,W,102,1015,116,1119,,,,3,,Preg,,1,30
21EW00006,A1073,,.,1,103,e1,W,123,1015,138,1119,,,,2+,,Preg,,1,30
21EW00007,A1080,,.,1,87,e2,W,101,1015,107,1119,,,,3,,Preg,,1,30
21EW00008,A1098,,.,1,87,e3,W,101,1015,109,1119,,,,3,,Preg,,1,30
21EW00009,A1101,,2ND,1,94,e4,W,103,1015,114,1119,,,,3,,Preg,,1,30
21EW00010,A1102,,.,1,101,e5,W,114,1015,131,1119,,,,1-,,Preg,,1,30
21EW00011,A1108,,.,1,97,e1,W,108,1015,114,1119,,,,2-,,Preg,,1,30
21EW00012,A1115,,.,1,98,e2,W,106,1015,121,1119,,,,,,Open,15778,1,30
21EW00013,A1119,,.,1,84,e3,W,98,1015,106,1119,,,,2-,,Preg,,1,30
21EW00014,A1127,,.,1,97,e4,W,113,1015,123,1119,,,,3+,,Preg,,1,30
21EW00015,A1130,,.,1,86,e5,W,102,1015,122,1119,,,,3,,Preg,,1,30
21EW00016,A1137,,PINK,1,95,e1,W,109,1015,127,1119,,,,3-,,Preg,,1,30
21EW00017,A1139,,.,1,113,e2,W,128,1015,139,1119,,,,2-,,Preg,,1,30
21EW00018,A1144,,2ND.HAIRY,1,90,e3,W,106,1015,110,1119,,,,3-,,Preg,,1,30
21EW00019,A1148,,3RD,1,89,e4,W,95,1015,109,1119,,,,2-,,Preg,,1,30
21EW00020,A1150,,PINK,1,95,e5,W,105,1015,118,1119,,,,3,,Preg,,1,30
21EW00021,A1152,,1ST,1,95,e1,W,117,1015,125,1119,,,,,,Open,15814,1,30
21EW00022,A1157,,PE,1,97,e2,W,98,1015,113,1119,,,,2-,,Preg,,1,30
21EW00023,A1161,,HAIRY,1,88,e3,W,107,1015,116,1119,,,,3+,,Preg,,1,30
21EW00024,A1162,,.,1,100,e4,W,121,1015,133,1119,,,,2-,,Preg,,1,30
21EW00025,A1169,,HAIRY,1,97,e5,W,114,1015,131,1119,,,,2+,,Preg,,1,30
21EW00026,A1175,,PE,1,97,e1,W,114,1015,124,1119,,,,3-,,Preg,,2,30
21EW00027,A1179,,.,1,110,e2,W,129,1015,141,1119,,,,3,,Preg,,1,30
21EW00028,A1185,,PINK,1,85,e3,W,96,1015,103,1119,,,,3+,,Preg,,1,30
21EW00029,A1192,,.,1,86,e4,W,111,1015,122,1119,,,,3+,,Preg,,1,30
21EW00030,A1193,,.,1,99,e5,W,110,1015,128,1119,,,,2-,,Preg,,1,30
21EW00031,A1202,,.,1,92,e1,W,103,1015,111,1119,,,,3+,,Preg,,1,30
21EW00032,A1208,,1ST,1,102,e2,W,118,1015,129,1119,,,,2-,,Preg,,1,30
21EW00033,A1218,,.,1,87,e3,W,97,1015,102,1119,,,,3+,,Preg,,1,30
21EW00034,A1226,,.,1,100,e4,W,114,1015,129,1119,,,,3+,,Preg,,1,30
21EW00035,A1230,,.,1,103,e5,W,116,1015,132,1119,,,,3,,Preg,,1,30
21EW00036,A1241,,.,1,96,e1,W,103,1015,114,1119,,,,2-,,Preg,,1,30
21EW00037,A1243,,.,1,87,e2,W,102,1015,120,1119,,,,3,,Preg,,1,30
21EW00038,A1252,,PINK,1,83,e3,W,100,1015,111,1119,,,,3-,,Preg,,1,30
21EW00039,A1257,,.,1,87,e4,W,116,1015,131,1119,,,,2-,,Preg,,1,30
21EW00040,A1259,,.,1,99,e5,W,112,1015,129,1119,,,,3-,,Preg,,1,30
21EW00041,A1270,,.,1,103,e1,W,112,1015,121,1119,,,,3,,Preg,,1,30
21EW00042,A1273,,.,1,88,e2,W,105,1015,111,1119,,,,2+,,Preg,,1,30
21EW00043,A1282,,.,1,84,e3,W,100,1015,106,1119,,,,3+,,Preg,,1,30
21EW00044,A1283,,HAIRY,1,84,e4,W,98,1015,116,1119,,,,3,,Preg,,1,30
21EW00045,A1296,,HAIRY,1,83,e5,W,95,1015,116,1119,,,,,,Open,15820,1,30
21EW00046,A1297,,.,1,84,e1,W,102,1015,112,1119,,,,3,,Preg,,1,30
21EW00047,A1302,,.,1,113,e2,W,129,1015,142,1119,,,,3-,,Preg,,1,30
21EW00048,A1306,,.,1,95,e3,W,111,1015,116,1119,,,,3,,Preg,,1,30
21EW00049,A1312,,.,1,83,e4,W,96,1015,109,1119,,,,3,,Preg,,1,30
21EW00050,A1314,,.,1,91,e5,W,105,1015,120,1119,,,,3,,Preg,,1,30
21EW00051,A1320,,HAIRY,1,91,e1,W,99,1015,103,1119,,,,3,,Preg,,1,30
21EW00052,A1321,,HAIRY,1,92,e2,W,95,1015,111,1119,,,,2-,,Preg,,1,30
21EW00053,A1322,,HAIRY,1,84,e3,W,103,1015,107,1119,,,,3+,,Preg,,1,30
21EW00054,A1323,,.,1,84,e4,W,106,1015,116,1119,,,,,,Open,15792,1,30
21EW00055,A1324,,PINK,1,96,e5,W,106,1015,120,1119,,,,2-,,Preg,,1,30
21EW00056,A1325,,PINK,1,98,e1,W,117,1015,132,1119,,,,3+,,Preg,,1,30
21EW00057,A1330,,HAIRY,1,87,e2,W,98,1015,112,1119,,,,3-,,Preg,,1,30
21EW00058,A1335,,.,1,99,e3,W,120,1015,128,1119,,,,3,,Preg,,1,30
21EW00059,A1337,,HAIRY,1,101,e4,W,121,1015,132,1119,,,,4,,Preg,,1,30
21EW00060,A1341,,.,1,111,e5,W,125,1015,144,1119,,,,3-,,Preg,,1,30
21EW00061,A1351,,.,1,92,e1,W,102,1015,117,1119,,,,2-,,Preg,,1,30
21EW00062,A1352,,.,1,87,e2,W,95,1015,107,1119,,,,2,,Preg,,1,30
21EW00063,A1353,,.,1,88,e3,W,100,1015,111,1119,,,,2-,,Preg,,1,30
21EW00064,A1355,,.,1,107,e4,W,117,1015,132,1119,,,,3+,,Preg,,1,30
21EW00065,A1360,,.,1,92,e5,W,106,1015,122,1119,,,,2,,Preg,,1,30
21EW00066,A1361,,.,1,99,e1,W,109,1015,119,1119,,,,2,,Preg,,1,30
21EW00067,A1364,,A1363 lost,1,92,e2,W,103,1015,117,1119,,,,3+,,Preg,,1,30
21EW00068,A1367,,.,1,95,e3,W,109,1015,118,1119,,,,3,,Preg,,1,30
21EW00069,A1382,,.,1,95,e4,W,108,1015,118,1119,,,,3,,Preg,,1,30
21EW00070,A1383,,.,1,84,e5,W,91,1015,111,1119,,,,4+,,Preg,,1,30
21EW00071,A1390,,.,1,101,e1,W,114,1015,125,1119,,,,2-,,Preg,,1,30
21EW00072,A1401,,.,1,97,e2,W,120,1015,130,1119,,,,2+,,Preg,,1,30
21EW00073,A1404,,2ND,1,97,e3,W,116,1015,125,1119,,,,2,,Preg,,1,30
21EW00074,A1405,,2ND,1,103,e4,W,112,1015,131,1119,,,,4,,Preg,,1,30
21EW00075,A1406,,.,1,92,e5,W,102,1015,117,1119,,,,3+,,Preg,,1,30
21EW00076,A1408,,.,1,95,e1,W,102,1015,116,1119,,,,3,,Preg,,1,30
21EW00077,A1419,,.,1,88,e2,W,106,1015,121,1119,,,,3-,,Preg,,1,30
21EW00078,A1434,,2ND,1,97,e3,W,112,1015,114,1119,,,,3-,,Preg,,1,30
21EW00079,A1438,,HAIRY,1,91,e4,W,98,1015,116,1119,,,,3,,Preg,,1,30
21EW00080,A1440,,.,1,101,e5,W,111,1015,122,1119,,,,3+,,Preg,,1,30
