UID,ETAG,LINE,RMK,IDX,PD,PTRT,CUWT,BPEN,BRAND,NOV02,DEC14,DEC28
99EW00913,Z5574,97,"GOITER,ENTR",100,1,,103,974,Purple,114,128,0
99EW00914,Z5572,ch,,0,1,,95,e.-,Purple,109,110,0
99EW00915,Z5616,97,,99,1,,85,973,Purple,106,127,0
99EW00916,Z5617,97,ENTR,98,1,,91,973,Purple,106,123,0
99EW00917,Z5603,ch,,0,1,,86,e.-,Purple,90,96,0
99EW00918,Z5604,ch,4TEATS,0,1,,114,e.-,Purple,120,126,0
99EW00919,Z5639,97,"WEAK,DOWN",113,1,,120,973,Purple,136,152,0
99EW00920,Z5640,ch,,0,1,,86,e.-,Purple,91,105,0
99EW00921,Z5648,ch,,0,1,,100,e.-,Purple,116,128,0
99EW00922,Z5661,97,"GOITER,SL.",99,1,,102,974,Purple,112,127,0
99EW00923,Z5669,97,,109,1,,112,973,Purple,136,145,0
99EW00924,Z5628,ch,,0,1,,81,e.-,Purple,85,84,0
99EW00925,Z5627,ch,ENTR,0,1,,93,e.-,Purple,99,108,0
99EW00926,Z5681,ch,ENTR,0,1,,94,e.-,Purple,101,112,0
99EW00927,Z5680,ch,,0,1,,80,e.-,Purple,82,98,0
99EW00928,Z5685,ch,,0,1,,85,e.-,Purple,92,103,0
99EW00929,Z5692,ch,BRN.KNEE,0,1,,92,e.-,Purple,99,106,0
99EW00930,Z5698,ch,,0,1,,88,e.-,Purple,104,112,0
99EW00931,Z5670,97,GOOD,104,1,,108,974,Purple,113,123,0
99EW00932,Z5849,00,ENTR,0,1,,85,L-0,Blue,106,118,127
99EW00933,Z5840,00,,0,1,,61,L-0,Blue,78,84,97
99EW00934,Z5854,00,,0,1,,84,L-0,Blue,100,102,107
99EW00935,Z5857,97,"JAW5,PNEU",116,1,,114,973,Purple,124,136,0
99EW00936,Z5885,97,NICE,80,3,,71,974,Purple,86,98,0
99EW00937,Z5888,00,,0,1,,82,L-0,Blue,105,120,128
99EW00938,Z5873,00,GET for LIM *,0,1,,120,L-0,Blue,125,139,150
99EW00939,Z5907,00,GET for LIM *,0,1,,101,L-0,Blue,121,129,132
99EW00940,Z5930,00,,0,1,,88,L-0,Blue,95,110,121
99EW00941,Z5944,97,wether,97,3,,73,974,Purple,98,105,0
99EW00942,Z5945,97,,91,3,,73,974,Purple,88,99,0
99EW00943,Z5947,00,,0,1,,80,L-0,Blue,96,102,111
99EW00944,Z5957,97,,92,1,,90,974,Purple,105,107,0
99EW00945,Z5923,00,,0,1,,76,L-0,Blue,93,104,119
99EW00946,Z5984,00,,,1,,96,L-0,Blue,0,112,123
99EW00947,Z5985,00,,,1,,96,L-0,Blue,0,116,126
99EW00948,Z5982,00,,0,1,,80,L-0,Blue,93,105,110
99EW00949,Z5989,00,,0,1,,88,L-0,Blue,98,103,112
99EW00950,Z5977,00,,0,1,,84,L-0,Blue,91,95,104
99EW00951,Z5716,97,,99,1,,96,974,Purple,119,121,0
99EW00952,Z5717,97,GOITER,122,1,,121,973,Purple,133,148,0
99EW00953,Z5701,ch,,0,1,,90,e.-,Purple,99,108,0
99EW00954,Z5735,ch,,0,1,,91,e.-,Purple,101,107,0
99EW00955,Z5736,ch,,0,1,,85,e.-,Purple,97,107,0
99EW00956,Z5748,97,NICE,102,1,,95,974,Purple,118,126,0
99EW00957,Z5756,ch,,0,1,,100,e.-,Purple,101,109,0
99EW00958,Z5761,ch,,0,1,,81,e.-,Purple,97,95,0
99EW00959,Z5763,ch,,0,1,,87,e.-,Purple,89,94,0
99EW00960,Z5764,ch,,0,1,,91,e.-,Purple,93,94,0
99EW00961,Z5765,ch,,0,1,,80,e.-,Purple,88,95,0
99EW00962,Z5721,ch,,0,1,,80,e.-,Purple,88,99,0
99EW00963,Z5722,ch,,0,1,,89,e.-,Purple,99,104,0
99EW00964,Z5776,ch,,0,1,,96,e.-,Purple,114,124,0
99EW00965,Z5778,ch,,0,1,,100,e.-,Purple,106,110,0
99EW00966,Z6014,00,,,1,,101,L-0,Blue,0,122,138
99EW00967,Z6004,00,,0,1,,77,L-0,Blue,88,96,107
99EW00968,Z6005,00,,,1,,66,L-0,Blue,0,85,95
99EW00969,Z6006,00,,,1,,75,L-0,Blue,0,95,106
99EW00970,Z6031,00,,0,1,,79,L-0,Blue,93,103,123
99EW00971,Z6056,00,,0,1,,74,L-0,Blue,90,106,118
99EW00972,Z6050,00,,,1,,99,L-0,Blue,0,117,139
99EW00973,Z6025,00,,,1,,85,L-0,Blue,0,104,98
99EW00974,Z6026,00,4TEATS,,1,,71,L-0,Blue,0,93,107
