UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,NOV04,DEC14
94EW00612,T4524,42,,92,1,79,5,,74,81
94EW00613,T4528,41,,104,1,87,5,,96,102
94EW00614,T4527,41,,108,1,92,6,,98,103
94EW00615,T4583,41,,124,1,84,6,,98,103
94EW00616,T4582,41,,121,1,82,5,,94,104
94EW00617,T4595,42,4TEATS,98,1,66,6,,65,71
94EW00618,T4570,41,DEAD 110394,114,6,84,5,,0,0
94EW00619,T4576,41,,113,1,93,5,,99,104
94EW00620,T4572,42,,91,1,78,6,,80,93
94EW00621,T4617,42,4TEATS,95,1,66,6,,71,79
94EW00622,T4604,41,,92,1,82,6,,93,98
94EW00623,T4605,42,HAIRY,104,1,73,5,,82,87
94EW00624,T4637,41,,136,1,99,6,,109,115
94EW00625,T4645,42,,107,1,69,6,,80,87
94EW00626,T4650,42,,91,1,67,5,,71,69
94EW00627,T4213,ch,,81,1,95,JIM,,102,0
94EW00628,T4216,41,4TEATS,117,1,98,5,,102,111
94EW00629,T4219,42,,89,1,78,5,,83,88
94EW00630,T4200,ch,,104,1,90,JIM,,99,0
94EW00631,T4236,41,4TEATS,107,1,103,6,,110,124
94EW00632,T4232,42,4TEATS,105,1,88,6,,88,93
94EW00633,T4239,42,,95,1,77,6,,76,81
94EW00634,T4258,42,4TEATS,100,1,91,6,,95,98
94EW00635,T4259,42,4TEATS,87,1,74,5,,78,85
94EW00636,T4257,41,,99,1,89,6,,99,108
94EW00637,T4261,42,4TEATS,103,1,74,5,,80,83
94EW00638,T4263,41,,112,1,86,5,,89,99
94EW00639,T4262,42,4TEATS,83,1,75,5,,78,87
94EW00640,T4220,41,,118,1,106,5,,110,118
94EW00641,T4228,ch,ORPHAN,,1,,JIM,,84,0
94EW00642,T4229,42,4TEATS,92,1,71,6,,71,77
94EW00643,T4282,ch,ORPHAN,,1,,JIM,,62,0
94EW00644,T4291,42,,86,1,66,6,,62,68
94EW00645,T4294,42,,94,1,82,5,,84,91
94EW00646,T4292,42,,99,1,84,5,,91,97
94EW00647,T4273,41,4TEATS,111,1,92,5,,100,107
94EW00648,T4275,41,,104,1,92,6,,96,102
94EW00649,T4279,ch,4TEATS,94,1,88,JIM,,99,0
94EW00650,Z3204,97,,129,1,99,974,,108,117
94EW00651,Z2856,97,,106,1,110,973,,126,130
94EW00652,Z2859,97,,113,1,120,974,,141,144
94EW00653,Z2865,97,ENTR,103,1,107,974,,120,124
94EW00654,Z2866,97,,102,1,102,973,,118,123
94EW00655,Z2862,97,,103,1,129,973,,146,141
94EW00656,Z2880,97,1TAG,105,1,106,973,,127,124
94EW00657,Z2889,97,,99,1,110,973,,136,133
94EW00658,Z2873,97,,105,1,96,974,,116,121
94EW00659,Z2912,97,4TEATS,108,1,100,973,,112,113
94EW00660,Z2903,97,,118,1,111,974,,128,125
94EW00661,Z2905,97,,110,1,118,974,,127,131
94EW00662,Z2939,97,,114,1,114,974,,127,132
94EW00663,Z2940,97,,113,1,115,973,,121,130
94EW00664,Z2945,97,ENTR,98,1,106,974,,117,119
94EW00665,Z2953,97,ORPHAN,,1,,973,,73,83
94EW00666,Z2957,97,,110,1,106,973,,116,122
94EW00667,Z2963,97,3TEATS,116,1,99,973,,110,110
94EW00668,Z2962,97,SL ENTR,109,1,96,974,,107,111
94EW00669,Z2929,97,,108,1,101,973,,105,123
94EW00670,Z2982,97,SICK 110394,130,1,125,973,,120,127
94EW00671,Z2973,97,1TAG,97,1,117,974,,134,135
94EW00672,Z2975,97,,123,1,127,974,,122,137
