UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
22EW00450,T7957,,.,1,102,e5,W,123,1021,133,1129,,,,3+,,Preg,,1,02
22EW00451,T7958,,.,1,117,e6,W,138,1021,163,1129,,,,3,,Preg,,1,02
22EW00452,T7960,,.,1,89,e1,W,113,1021,111,1129,,,,4+,,Preg,,1,02
22EW00453,T7970,,HAIRY,1,100,e2,W,124,1021,133,1129,,,,3-,,Preg,,2,02
22EW00454,T7976,,T7975Broken,1,99,e3,W,123,1021,128,1129,,,,4,,Preg,,1,02
22EW00455,T7982,,.,1,110,e4,W,122,1021,132,1129,,,,,,Open,,2,02
22EW00456,T7987,,1ST,1,97,e5,W,118,1021,138,1129,,,,3,,Preg,,1,02
22EW00457,T7989,,HAIRY,1,98,e6,W,116,1021,127,1129,,,,3-,,Preg,,2,02
22EW00458,T7995,,.,1,90,e1,W,116,1021,120,1129,,,,,,Open,,1,02
22EW00459,T8011,,.,1,84,e2,W,97,1021,102,1129,,,,,,Open,,1,02
22EW00460,T8012,,.,1,94,e3,W,98,1021,107,1129,,,,3,,Preg,,1,02
22EW00461,T8014,,.,1,103,e4,W,118,1021,123,1129,,,,4-,,Preg,,1,02
22EW00462,T8015,,.,1,107,e5,W,127,1021,132,1129,,,,3,,Preg,,1,02
22EW00463,T8017,,.,1,87,e6,W,112,1021,123,1129,,,,3-,,Preg,,1,02
22EW00464,T8019,,.,1,100,e1,W,108,1021,128,1129,,,,3,,Preg,,1,02
22EW00465,T8023,,.,1,86,e2,W,105,1021,105,1129,,,,,,Open,,1,02
22EW00466,T8024,,.,1,100,e3,W,120,1021,129,1129,,,,3-,,Preg,,1,02
22EW00467,T8025,,.,1,103,e4,W,132,1021,138,1129,,,,4+,,Preg,,1,02
22EW00468,T8029,,.,1,90,e5,W,106,1021,114,1129,,,,3,,Preg,,1,02
22EW00469,T8034,,.,1,94,e6,W,108,1021,131,1129,,,,3-,,Preg,,1,02
22EW00470,T8035,,.,1,86,e1,W,113,1021,114,1129,,,,3-,,Preg,,1,02
22EW00471,T8051,,.,1,113,e2,W,123,1021,135,1129,,,,3,,Preg,,1,02
22EW00472,T8059,,.,1,89,e3,W,100,1021,101,1129,,,,3,,Preg,,1,02
22EW00473,T8062,,.,1,100,e4,W,122,1021,131,1129,,,,3,,Preg,,1,02
22EW00474,T8063,,.,1,89,e5,W,106,1021,113,1129,,,,,,Open,,1,02
22EW00475,T8073,,.,1,105,e6,W,135,1021,153,1129,,,,3,,Preg,,2,02
22EW00476,T8075,,Fx.Leg,1,91,e1,W,107,1021,113,1129,,,,,,,,2,02
22EW00477,T8078,,.,1,98,e2,W,122,1021,133,1129,,,,3-,,Preg,,4,02
22EW00478,T8080,,HAIRY,1,92,e3,W,107,1021,114,1129,,,,,,Open,,1,02
22EW00479,T8082,,HAIRY,1,85,e4,W,105,1021,112,1129,,,,,,Open,,1,02
22EW00480,T8089,,.,1,91,e5,W,102,1021,111,1129,,,,,,Open,,1,02
22EW00481,T8090,,.,1,116,e6,W,121,1021,118,1129,,,,4+,,Preg,,1,02
22EW00482,T8094,,.,1,88,e1,W,109,1021,116,1129,,,,,,Open,,1,02
22EW00483,T8096,,.,1,103,e2,W,117,1021,125,1129,,,,3-,,Preg,,1,02
22EW00484,T8103,,.,1,87,e3,W,108,1021,111,1129,,,,3,,Preg,,1,02
22EW00485,T8104,,2ND,1,91,e4,W,111,1021,129,1129,,,,,,Open,,1,02
22EW00486,T8105,,1ST,1,97,e5,W,113,1021,120,1129,,,,,,Open,,1,02
22EW00487,T8106,,2ND,1,85,e6,W,107,1021,120,1129,,,,,,Open,,1,02
22EW00488,T8108,,2ND,1,96,e1,W,111,1021,116,1129,,,,4+,,Preg,,1,02
22EW00489,T8109,,1ST.THIN,1,103,e2,W,106,1021,127,1129,,,,5,,Preg,,1,02
22EW00490,T8114,,.,1,90,e3,W,103,1021,109,1129,,,,3-,,Preg,,1,02
22EW00491,T8115,,.,1,92,e4,W,108,1021,114,1129,,,,,,Open,,1,02
22EW00492,T8123,,.,1,99,e5,W,108,1021,124,1129,,,,4,,Preg,,1,02
22EW00493,T8130,,.,1,98,e6,W,125,1021,134,1129,,,,3,,Preg,,1,02
22EW00494,T8134,,.,1,89,e1,W,101,1021,114,1129,,,,3,,Preg,,1,02
22EW00495,T8135,,.,1,105,e2,W,114,1021,127,1129,,,,5,,Preg,,1,02
22EW00496,T8137,,2ND,1,86,e3,W,76,1021,88,1129,,,,,,Open,,1,02
22EW00497,T8141,,.,1,86,e4,W,103,1021,113,1129,,,,3,,Preg,,1,02
22EW00498,T8158,,HAIRY,1,85,e5,W,107,1021,116,1129,,,,,,Open,,3,02
22EW00499,T8163,,.,1,94,e6,W,117,1021,125,1129,,,,3,,Preg,,2,02
22EW00500,T8169,,FaceScoreMiss,1,106,e1,W,129,1021,142,1129,,,,3-,,Preg,,1,02
22EW00501,T8172,,.,1,88,e2,W,113,1021,119,1129,,,,3,,Preg,,1,02
22EW00502,T8173,,.,1,86,e3,W,106,1021,107,1129,,,,4-,,Preg,,1,02
22EW00503,X0005,,.,1,114,e4,W,121,1021,147,1129,,,,2+,,Preg,,6,00
22EW00504,X0009,,.,1,105,e5,W,127,1021,140,1129,,,,1-,,Preg,,5,00
22EW00505,X0010,A,.,1,111,e6,W,129,1021,153,1129,,,,2+,,Preg,,2,C3
22EW00506,X0015,,.,1,103,e1,W,118,1021,128,1129,,,,1-,,Preg,,5,80
22EW00507,X0016,,.,1,109,e2,W,112,1021,130,1129,,,,2-,,Preg,,7,LR
22EW00508,X0018,,.,1,98,e3,W,101,1021,114,1129,,,,3+,,Preg,,8,BL
22EW00509,X0020,A,.,1,123,e4,W,150,1021,165,1129,,,,1,,Preg,,6,97
