UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
19EW00001,A0347,,.,2,88,T,,113,1016,121,1121,,,2.0,2+,,,,1,30
19EW00002,A0350,,.,1,108,e2,,122,1016,125,1121,,,2.8,2-,,Preg,,1,30
19EW00003,A0354,,.,1,92,e3,,103,1016,107,1121,,,2.4,2+,,Preg,,1,30
19EW00004,A0356,,.,1,98,e4,,116,1016,122,1121,,,2.8,3+,,Preg,,1,30
19EW00005,A0363,,.,1,92,e5,,101,1016,102,1121,,,2.3,2-,,Preg,,1,30
19EW00006,A0365,,PINK.EARS,2,95,T,,107,1016,111,1121,,,2.5,2+,,,,1,30
19EW00007,A0370,,.,1,92,e2,,101,1016,110,1121,,,2.4,3+,,Preg,,1,30
19EW00008,A0373,,3RD,1,86,e3,,100,1016,105,1121,,,3.1,2,,Preg,,1,30
19EW00009,A0374,,.,2,116,T,,125,1016,128,1121,,,3.1,2+,,,,1,30
19EW00010,A0376,,.,1,105,e5,,112,1016,124,1121,,,2.6,3-,,Preg,,1,30
19EW00011,A0377,,.,1,110,e1,,125,1016,134,1121,,,3.3,3+,,Preg,,1,30
19EW00012,A0378,,.,1,105,e2,,119,1016,129,1121,,,2.7,2-,,Preg,,1,30
19EW00013,A0380,,1ST,1,84,e3,,89,1016,97,1121,,,2.4,3+,,Preg,,1,30
19EW00014,A0388,,.,1,106,e4,,122,1016,133,1121,,,2.5,2,,Preg,,1,30
19EW00015,A0389,,.,1,101,e5,,116,1016,125,1121,,,3.1,2,,Preg,,1,30
19EW00016,A0393,,.,1,95,e1,,125,1016,140,1121,,,2.8,3+,,Preg,,1,30
19EW00017,A0394,,.,2,99,T,,116,1016,120,1121,,,3.3,2-,,,,1,30
19EW00018,A0395,,.,1,91,e3,,102,1016,111,1121,,,3.3,3+,,Preg,,1,30
19EW00019,A0396,,.,2,103,T,,116,1016,117,1121,,,2.7,2+,,,,1,30
19EW00020,A0398,,.,1,94,e5,,109,1016,119,1121,,,3.2,2-,,Preg,,1,30
19EW00021,A0399,,.,2,94,T,,116,1016,119,1121,,,2.8,2-,,,,1,30
19EW00022,A0404,,3RD.BACKWARDS,1,106,e2,,118,1016,122,1121,,,2.4,2-,,Preg,,1,30
19EW00023,A0406,,NICE LAMB,2,109,T,,124,1016,135,1121,,,3.0,2-,,,,1,30
19EW00024,A0407,,NICE LAMB,1,107,e4,,120,1016,132,1121,,,2.1,3+,,Preg,,1,30
19EW00025,A0408,,.,1,100,e5,,110,1016,119,1121,,,3.1,1-,,Open,,1,30
19EW00026,A0412,,.,1,110,e1,,127,1016,132,1121,,,2.0,2,,Preg,,1,30
19EW00027,A0417,,.,1,89,e2,,105,1016,107,1121,,,2.4,2-,,Preg,,1,30
19EW00028,A0428,,.,1,120,e3,,135,1016,146,1121,,,2.6,3+,,Preg,,1,30
19EW00029,A0432,,.,1,109,e4,,116,1016,127,1121,,,3.0,2-,,Preg,,1,30
19EW00030,A0433,,3RD,1,105,e5,,120,1016,128,1121,,,2.8,2,,Preg,,1,30
19EW00031,A0434,,.,1,87,e1,,96,1016,106,1121,,,3.3,2-,,Preg,,1,30
19EW00032,A0435,,.,1,84,e2,,98,1016,110,1121,,,3.5,2-,,Preg,,1,30
19EW00033,A0437,,.,1,102,e3,,109,1016,120,1121,,,3.4,2,,Preg,,1,30
19EW00034,A0443,,.,1,103,e4,,117,1016,123,1121,,,2.8,2-,,Preg,,1,30
19EW00035,A0444,,.,1,102,e5,,116,1016,122,1121,,,2.5,3-,,Preg,,1,30
19EW00036,A0446,,.,1,87,e1,,96,1016,99,1121,,,3.2,2-,,Preg,,1,30
19EW00037,A0448,,.,2,101,T,,113,1016,118,1121,,,3.3,2-,,,,1,30
19EW00038,A0456,,.,1,94,e3,,111,1016,118,1121,,,3.0,3-,,Preg,,1,30
19EW00039,A0460,,.,1,97,e4,,108,1016,116,1121,,,3.0,3+,,Preg,,1,30
19EW00040,A0463,,.,1,90,e5,,106,1016,114,1121,,,2.8,3+,,Preg,,1,30
19EW00041,A0471,,.,1,101,e1,,108,1016,117,1121,,,3.0,3+,,Preg,,1,30
19EW00042,A0473,,PINK,1,96,e2,,116,1016,123,1121,,,2.3,2,,Open,,1,30
19EW00043,A0479,,.,1,91,e3,,99,1016,103,1121,,,3.0,3+,,Preg,,1,30
19EW00044,A0484,,.,1,112,e4,,127,1016,134,1121,,,3.1,3,,Preg,,1,30
19EW00045,A0498,,.,1,96,e5,,116,1016,122,1121,,,2.8,2-,,Preg,,1,30
19EW00046,A0499,,.,1,97,e1,,110,1016,117,1121,,,2.8,3+,,Preg,,1,30
19EW00047,A0506,,.,1,83,e2,,91,1016,98,1121,,,2.8,3+,,Preg,,1,30
19EW00048,A0507,,.,1,84,e3,,94,1016,99,1121,,,2.1,1-,,Open,,1,30
19EW00049,A0509,,BL.LF,1,88,e4,,99,1016,97,1121,,,2.9,2-,,Preg,,3,30
19EW00050,A0512,,UGLY.BRNLeg,1,91,e5,,106,1016,108,1121,,,3.0,3,,Preg,,2,30
19EW00051,A0516,,.,1,85,e1,,90,1016,98,1121,,,3.0,3+,,Preg,,1,30
19EW00052,A0518,,.,2,106,T,,125,1016,134,1121,,,2.7,2+,,,,1,30
19EW00053,A0522,,.,1,91,e3,,99,1016,107,1121,,,3.3,2,,Preg,,1,30
19EW00054,A0533,,.,1,94,e4,,110,1016,123,1121,,,2.8,3,,Preg,,1,30
19EW00055,A0535,,.,1,102,e5,,113,1016,122,1121,,,2.6,2-,,Preg,,2,30
19EW00056,A0545,,.,1,103,e1,,120,1016,134,1121,,,3.0,2-,,Preg,,1,30
19EW00057,A0563,,.,1,99,e2,,107,1016,120,1121,,,2.2,3+,,Preg,,1,30
19EW00058,A0564,,.,1,105,e3,,109,1016,122,1121,,,2.8,3+,,Preg,,1,30
19EW00059,A0569,,.,1,81,e4,,99,1016,103,1121,,,3.0,3-,,Preg,,1,30
19EW00060,A0583,,.,1,88,e5,,94,1016,97,1121,,,2.9,2-,,Preg,,1,30
19EW00061,A0587,,.,1,99,e1,,112,1016,119,1121,,,3.3,2-,,Preg,,1,30
19EW00062,A0590,,.,1,109,e2,,114,1016,120,1121,,,3.1,3+,,Preg,,1,30
19EW00063,A0591,,.,1,99,e3,,103,1016,116,1121,,,2.4,2-,,Preg,,1,30
19EW00064,A0592,,.,2,79,T,,88,1016,99,1121,,,3.1,2-,,,,1,30
19EW00065,A0595,,.,1,85,e5,,95,1016,105,1121,,,2.7,3+,,Preg,,1,30
19EW00066,A0607,,.,1,107,e1,,117,1016,122,1121,,,2.8,3,,Preg,,1,30
19EW00067,A0609,,.,1,87,e2,,99,1016,107,1121,,,2.8,3-,,Preg,,1,30
19EW00068,A0611,,.,1,103,e3,,119,1016,119,1121,,,2.8,3+,,Preg,,1,30
19EW00069,A0614,,.,2,96,T,,110,1016,121,1121,,,2.6,2,,,,1,30
19EW00070,A0615,,.,1,92,e5,,119,1016,127,1121,,,3.2,2+,,Preg,,1,30
19EW00071,A0618,,.,2,86,T,,98,1016,99,1121,,,2.5,2-,,,,1,30
19EW00072,A0622,,.,1,107,e2,,122,1016,121,1121,,,2.4,3-,,Preg,,1,30
19EW00073,A0627,,.,2,111,T,,123,1016,122,1121,,,2.5,2-,,,,1,30
19EW00074,A0632,,.,1,91,e4,,116,1016,119,1121,,,3.1,3-,,Preg,,1,30
19EW00075,A0636,,.,1,87,e5,,103,1016,112,1121,,,2.3,3,,Preg,,1,30
19EW00076,A0640,,Abortion21020,1,98,e1,,112,1016,123,1121,,,2.9,2+,,Preg,,1,30
19EW00077,A0641,,.,1,90,e2,,103,1016,100,1121,,,3.3,3-,,Preg,,1,30
19EW00078,A0648,,.,1,124,e3,,138,1016,142,1121,,,2.9,3+,,Preg,,1,30
19EW00079,A0650,,UGLY,1,79,e4,,94,1016,102,1121,,,2.2,2-,,Preg,,1,30
19EW00080,A0653,,.,2,85,T,,99,1016,105,1121,,,3.2,2+,,,,1,30
19EW00081,A0654,,.,1,94,e1,,106,1016,113,1121,,,2.5,2-,,Preg,,1,30
19EW00082,A0658,,.,1,101,e2,,125,1016,127,1121,,,3.0,3+,,Preg,,1,30
19EW00083,A0659,,.,2,83,T,,88,1016,87,1121,,,2.8,3,,,,1,30
19EW00084,A0668,,.,1,95,e4,,100,1016,114,1121,,,3.5,2,,Preg,,1,30
19EW00085,A0673,,.,1,101,e5,,117,1016,123,1121,,,3.3,3,,Preg,,1,30
19EW00086,A0676,,.,1,92,e1,,109,1016,111,1121,,,3.0,3+,,Preg,,1,30
19EW00087,A0684,,.,1,86,e2,,102,1016,110,1121,,,3.1,3+,,Preg,,1,30
19EW00088,A0687,,1ST,1,100,e3,,118,1016,132,1121,,,2.8,3,,Preg,,1,30
19EW00089,A0689,,.,1,85,e4,,94,1016,109,1121,,,3.3,3-,,Preg,,1,30
19EW00090,A0705,,.,1,97,e5,,111,1016,123,1121,,,2.8,2-,,Preg,,1,30
19EW00091,A0712,,Preg 2.10.20,1,98,e1,,110,1016,116,1121,,,3.0,3+,,Preg,,1,30
19EW00092,K5270,,NICE LAMB,1,97,e2,,122,1016,138,1121,,,2.2,3,,Preg,,1,06
19EW00093,K5271,,NICE LAMB,1,100,e3,,110,1016,127,1121,,,2.1,3+,,Open,,1,06
19EW00094,K5274,,1ST.NICE,1,92,e4,,108,1016,119,1121,,,3.0,3+,,Preg,,1,06
19EW00095,K5275,,2ND,1,90,e5,,111,1016,128,1121,,,2.5,3+,,Preg,,1,06
19EW00096,K5278,,.,1,99,e1,,110,1016,117,1121,,,2.6,3+,,Open,,1,06
19EW00097,K5279,,.,1,105,e2,,116,1016,133,1121,,,3.3,3,,Preg,,1,06
19EW00098,K5284,,.,1,84,e3,,98,1016,110,1121,,,3.1,3,,Open,,1,06
19EW00099,K5288,,.,1,101,e4,,112,1016,125,1121,,,3.1,3-,,Open,,1,06
19EW00100,K5293,,.,1,95,e5,,102,1016,113,1121,,,2.9,3+,,Preg,,1,06
19EW00101,K5298,,.,1,95,e1,,107,1016,113,1121,,,2.8,3,,Preg,,1,06
19EW00102,K5301,,NICE LAMB,1,84,e2,,103,1016,116,1121,,,2.1,3,,Preg,,1,06
19EW00103,K5305,,.,1,78,e3,,85,1016,97,1121,,,2.6,3+,,Open,,1,06
19EW00104,K5307,,1ST,1,80,e4,,96,1016,105,1121,,,2.8,3,,Preg,,1,06
19EW00105,K5309,,.,1,94,e5,,105,1016,116,1121,,,2.8,3-,,Open,,1,06
19EW00106,K5322,,.,1,79,e1,,94,1016,95,1121,,,2.4,3,,Open,,1,06
19EW00107,K5326,,.,1,101,e2,,97,1016,103,1121,,,2.3,3+,,Open,,1,06
19EW00108,K5331,,.,1,89,e3,,101,1016,114,1121,,,2.8,3,,Open,,1,06
19EW00109,L2202,,20BR,1,114,e4,,131,1016,141,1121,,,,2,,Preg,,5,PC
19EW00110,L2203,,30BL,1,97,e5,,107,1016,118,1121,,,,1-,,Preg,,5,PC
19EW00111,L2210,,95GR,1,109,e1,,134,1016,127,1121,,,,1-,,Preg,,5,PC
19EW00112,L2212,,20BL,1,110,e2,,121,1016,131,1121,,,,2,,Preg,,5,PC
19EW00113,L2213,,.,1,102,e3,,117,1016,123,1121,,,,2,,Preg,,2,PC
