UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
16EW00001,H9272,,.,1,79,e5,W,92,1123,,,3.1,2-,1,Preg,,1,30
16EW00002,H9279,,.,1,108,e5,W,123,1123,,,3.1,2,1,Preg,,1,30
16EW00003,H9288,,Rescued,3,116,e3,W,129,1123,,,3.7,2+,1,Preg,,3,30
16EW00004,H9290,,Ugly,1,97,e4,W,113,1123,,,2.4,2+,1,Preg,,1,30
16EW00005,H9291,,.,1,125,e4,W,134,1123,,,3.7,2-,1,Open,,1,30
16EW00006,H9292,,.,1,122,e5,W,130,1123,,,3.5,2,1,Preg,,1,30
16EW00007,H9293,,.,1,140,e4,W,129,1123,,,2.9,2-,1,Preg,,1,30
16EW00008,H9296,,TerminalOnly,1,99,e4,W,111,1123,,,2.8,2,1,Open,,1,30
16EW00009,H9299,,1ST,1,107,e3,W,136,1123,,,3.0,2-,1,Preg,,1,30
16EW00010,H9300,,Rescued,3,110,e5,W,128,1123,,,3.1,3+,1,Preg,,1,30
16EW00011,H9304,,3RD,1,98,e5,W,96,1123,,,3.1,2-,1,Open,,1,30
16EW00012,H9306,,Rescued,3,98,e5,W,117,1123,,,3.5,2-,1,Preg,,1,30
16EW00013,H9310,,3RD.P,1,94,e3,W,99,1123,,,3.3,3,1,Preg,,1,30
16EW00014,H9312,,2ND,1,102,e5,W,118,1123,,,2.9,2,1,Preg,,1,30
16EW00015,H9315,,TerminalOnly,1,91,e4,W,109,1123,,,2.9,2+,1,Preg,,1,30
16EW00016,H9317,,1ST,1,100,e5,W,116,1123,,,2.9,2-,1,Preg,,1,30
16EW00017,H9319,,1ST.H,1,95,e3,W,121,1123,,,2.4,2,1,Preg,,1,30
16EW00018,H9322,,1ST,1,112,e5,W,128,1123,,,2.8,2-,1,Preg,,1,30
16EW00019,H9325,,2ND.H,1,95,e5,W,113,1123,,,3.6,3,1,Preg,,1,30
16EW00020,H9327,,2ND,1,98,e3,W,111,1123,,,2.8,2-,1,Preg,,1,30
16EW00021,H9330,,2ND.SCRS,1,109,e4,W,122,1123,,,2.8,2+,1,Preg,,1,30
16EW00022,H9332,,.,1,92,e5,W,92,1123,,,2.8,2,1,Preg,,1,30
16EW00023,H9339,,1ST,1,97,e5,W,107,1123,,,3.4,2-,1,Preg,,1,30
16EW00024,H9341,,1ST,1,91,e4,W,113,1123,,,2.9,2-,1,Preg,,1,30
16EW00025,H9346,,.,1,124,e4,W,147,1123,,,2.9,2+,1,Preg,,1,30
16EW00026,H9356,,TerminalOnly,1,79,e5,W,85,1123,,,3.5,2-,1,Preg,,1,30
16EW00027,H9357,,2ND,1,101,e4,W,108,1123,,,3.5,2-,1,Preg,,1,30
16EW00028,H9358,,.,1,105,e4,W,117,1123,,,3.1,2-,1,Preg,,1,30
16EW00029,H9359,,1ST,1,85,e4,W,98,1123,,,2.6,4,1,Preg,,1,30
16EW00030,H9370,,2ND,1,87,e4,W,97,1123,,,2.7,2+,1,Preg,,1,30
16EW00031,H9378,,TerminalOnly,1,97,e5,W,119,1123,,,2.6,2-,1,Preg,,1,30
16EW00032,H9380,,4TH,1,90,e3,W,116,1123,,,2.7,3,1,Preg,,1,30
16EW00033,H9383,,1ST.SCRS,1,97,e5,W,103,1123,,,3.3,2+,1,Preg,,1,30
16EW00034,H9385,,TerminalOnly,1,110,e4,W,127,1123,,,2.8,2+,1,Preg,,1,30
16EW00035,H9393,,3RD.SCRS,1,97,e4,W,114,1123,,,3.0,2-,1,Preg,,1,30
16EW00036,H9403,,1ST,1,111,e3,W,134,1123,,,3.1,3+,1,Preg,,1,30
16EW00037,H9405,,1ST.P,1,98,e4,W,119,1123,,,2.7,2,1,Preg,,1,30
16EW00038,H9415,,2ND.H,1,90,e4,W,111,1123,,,3.3,3+,1,Preg,,1,30
16EW00039,H9416,,TerminalOnly,1,89,e3,W,99,1123,,,2.5,2+,1,Preg,,1,30
16EW00040,H9419,,2ND.H,1,105,e3,W,122,1123,,,3.0,3+,1,Preg,,1,30
16EW00041,H9423,,2ND,1,87,e4,W,94,1123,,,3.1,2+,1,Preg,,1,30
16EW00042,H9424,,3RD.P,1,87,e4,W,97,1123,,,2.6,2-,1,Preg,,1,30
16EW00043,H9429,,1ST.SCOURS,1,107,e4,W,121,1123,,,3.0,2-,1,Preg,,1,30
16EW00044,H9430,,1ST,1,125,e3,W,145,1123,,,2.6,2,1,Preg,,1,30
