UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
18EW00001,A0002,,.,1,90,e1,W,103,1016,113,1121,135,0115,,,,Preg,,1,30
18EW00002,A0003,,.,1,105,e2,W,120,1016,133,1121,154,0115,,,,Preg,,1,30
18EW00003,A0005,,.,1,91,e3,W,108,1016,120,1121,139,0115,,,,Preg,,1,30
18EW00004,A0006,,.,1,88,e4,W,106,1016,117,1121,133,0115,,,,Preg,,1,30
18EW00005,A0007,,.,1,101,e5,W,120,1016,131,1121,133,0115,,,,Preg,,1,30
18EW00006,A0009,,.,1,103,e1,W,122,1016,136,1121,155,0115,,,,Preg,,1,30
18EW00007,A0016,,.,1,95,e2,W,111,1016,121,1121,138,0115,,,,Preg,,1,30
18EW00008,A0017,,.,1,88,e3,W,103,1016,119,1121,135,0115,,,,Preg,,1,30
18EW00009,A0023,,.,1,103,e4,W,122,1016,135,1121,156,0115,,,,Preg,,1,30
18EW00010,A0024,,.,1,84,e5,W,99,1016,109,1121,127,0115,,,,Preg,,1,30
18EW00011,A0025,,HAIRY,1,90,e1,W,100,1016,118,1121,134,0115,,,,Preg,,1,30
18EW00012,A0026,,PINK,1,87,e2,W,98,1016,109,1121,116,0115,,,,Preg,,2,30
18EW00013,A0028,,.,1,91,e3,W,112,1016,130,1121,140,0115,,,,Preg,,1,30
18EW00014,A0030,,.,1,99,e4,W,112,1016,127,1121,158,0115,,,,Preg,,1,30
18EW00015,A0032,,PINK,1,89,e5,W,101,1016,111,1121,127,0115,,,,Preg,,1,30
18EW00016,A0035,,.,1,85,e1,W,94,1016,107,1121,117,0115,,,,Preg,,1,30
18EW00017,A0049,,PINK,1,95,e2,W,106,1016,108,1121,134,0115,,,,Preg,,1,30
18EW00018,A0052,,PINK,1,95,e3,W,113,1016,122,1121,143,0115,,,,Preg,,1,30
18EW00019,A0056,,2ND,1,95,e4,W,116,1016,132,1121,157,0115,,,,Open,,1,30
18EW00020,A0059,,.,1,88,e5,W,110,1016,123,1121,151,0115,,,,Preg,,1,30
18EW00021,A0060,,.,1,87,e1,W,106,1016,119,1121,134,0115,,,,Open,,1,30
18EW00022,A0061,,PINK,1,92,e2,W,109,1016,119,1121,131,0115,,,,Preg,,1,30
18EW00023,A0066,,.,1,99,e3,W,113,1016,128,1121,146,0115,,,,Preg,,1,30
18EW00024,A0069,,.,1,88,e4,W,105,1016,123,1121,140,0115,,,,Preg,,1,30
18EW00025,A0070,,.,1,85,e5,W,95,1016,101,1121,110,0115,,,,Preg,,1,30
