UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,OCT31,DEC11
95EW00046,A1793,82,4TEATS,94,1,87,e.8,blue,93,89
95EW00047,A1795,81,,107,1,111,e.8,blue,116,120
95EW00048,A1796,82,4TEATS,92,1,95,e.7,blue,97,102
95EW00049,A1770,73,,102,1,98,-fl,blue,117,0
95EW00050,A1779,82,,109,1,105,e.7,blue,111,116
95EW00051,A1777,73,4TEATS,97,1,88,-fl,blue,95,0
95EW00052,A2110,81,,101,1,83,e.8,blue,92,99
95EW00053,A2116,82,,105,1,86,e.7,blue,95,110
95EW00054,A2130,81,,100,1,93,e.7,blue,101,106
95EW00055,A2133,73,,95,1,57,-fl,blue,65,0
95EW00056,A2134,73,,105,1,84,-fl,blue,97,0
95EW00057,A2136,73,,100,1,74,-fl,blue,89,0
95EW00058,A2138,82,,102,1,83,e.8,blue,99,115
95EW00059,A2145,81,,112,1,94,e.8,blue,103,110
95EW00060,A2151,73,URI,104,1,86,-fl,blue,100,0
95EW00061,A2161,81,,107,1,92,e.7,blue,94,98
95EW00062,A2163,81,,112,1,95,e.7,blue,99,114
95EW00063,A2165,82,,97,1,97,e.7,blue,109,110
95EW00064,A2162,81,,105,1,94,e.8,blue,103,109
95EW00065,A2124,73,,94,1,63,-fl,blue,69,0
95EW00066,A2128,81,"FEVER, URI",99,1,96,e.7,blue,104,113
95EW00067,A2129,81,,102,1,92,e.8,blue,100,107
95EW00068,A2182,73,,103,1,86,-fl,blue,95,0
95EW00069,A2188,73,,96,1,64,-fl,blue,78,0
95EW00070,A2187,73,,100,1,74,-fl,blue,85,0
95EW00071,A2171,82,,105,1,92,e.8,blue,102,103
95EW00072,A2012,82,,105,1,94,e.7,blue,97,121
95EW00073,A2017,81,,95,1,87,e.7,blue,93,93
95EW00074,A2040,73,,114,1,95,-fl,blue,106,0
95EW00075,A2048,81,,103,1,92,e.8,blue,101,119
95EW00076,A2049,81,,112,1,105,e.7,blue,117,141
95EW00077,A2050,81,,106,1,95,e.8,blue,108,122
95EW00078,A2055,73,CONJUNCTIVITI,101,1,85,-fl,blue,93,0
95EW00079,A2052,73,,97,1,73,-fl,blue,87,0
95EW00080,A2058,73,VAG.DISCHARGE,103,1,73,-fl,blue,79,0
95EW00081,A2057,73,,107,1,74,-fl,blue,88,0
95EW00082,A2060,81,,112,1,92,e.7,blue,97,108
95EW00083,A2066,82,,95,1,91,e.7,blue,101,111
95EW00084,A2068,81,"ENTR,URI",101,1,119,e.8,blue,127,143
95EW00085,A2021,82,,100,1,81,e.8,blue,83,93
95EW00086,A2024,82,,103,1,91,e.7,blue,94,99
95EW00087,A2025,82,,105,1,88,e.8,blue,100,110
95EW00088,A2083,82,,99,1,87,e.7,blue,96,99
95EW00089,A2084,82,,100,1,91,e.8,blue,100,101
95EW00090,A2094,81,,107,1,108,e.8,blue,113,117
95EW00091,A2097,81,,116,1,106,e.7,blue,121,133
95EW00092,A2070,73,RAT#1,98,1,78,-fl,blue,95,0
95EW00093,A2075,82,,100,1,87,e.8,blue,95,104
95EW00094,A2079,81,,104,1,94,e.7,blue,99,105
95EW00095,A2313,81,4TEATS,102,1,88,e.8,blue,90,98
95EW00096,A2300,ch,3TEATS,110,1,79,j.5,blue,91,0
95EW00097,A2306,ch,,101,1,90,j.3,blue,100,0
95EW00098,A2302,ch,3TEATS,125,1,105,j.6,blue,114,0
95EW00099,A2308,81,,104,1,92,e.7,blue,101,111
95EW00100,A2330,ch,TAILHEAD INF.,106,1,73,j.1,blue,82,0
