UID,ETAG,LINE,LRMK,IDX,PD,WNWT,CUWT,BPEN,BRAND,SITE,SYNC,SEP18,NOV13,NOV25,JAN04,TB
92EW00001,K5830,68,,112,1,81,97,c.1,Blue 1,feedlot,,0.0,0.0,103,0.0,1
92EW00002,K5835,68,4TEATS,108,1,79,98,c.2,Blue 2,feedlot,,0.0,0.0,105,0.0,0
92EW00003,K5840,68,4TEATS,108,1,99,120,c.3,Blue 3,feedlot,,0.0,0.0,140,0.0,0
92EW00004,K5842,68,4TEATS,101,1,115,118,c.1,Blue 1,feedlot,,0.0,0.0,126,0.0,0
92EW00005,K5853,68,,102,1,83,84,c.2,Blue 2,feedlot,,0.0,0.0,87,0.0,0
92EW00006,K5857,68,,111,1,83,100,c.3,Blue 3,feedlot,,0.0,0.0,104,0.0,0
92EW00007,K5860,68,,98,1,96,101,c.1,Blue 1,feedlot,,0.0,0.0,108,0.0,0
92EW00008,K5861,68,BLK.L.HIP,94,3,79,86,MKT,Scott,feedlot,,0.0,0.0,95,0.0,0
92EW00009,K5866,68,,87,3,80,78,MKT,Scott,feedlot,,0.0,0.0,78,0.0,0
92EW00010,K5868,68,,101,1,89,101,c.2,Blue 2,feedlot,,0.0,0.0,122,0.0,0
92EW00011,K5869,68,4TEATS,105,1,92,104,c.3,Blue 3,feedlot,,0.0,0.0,107,0.0,0
92EW00012,K5870,68,,100,1,94,104,c.1,Blue 1,feedlot,,0.0,0.0,102,0.0,1
92EW00013,K5879,68,,104,1,101,116,c.2,Blue 2,feedlot,,0.0,0.0,132,0.0,1
92EW00014,K5880,68,GRAFT,103,1,90,91,c.3,Blue 3,feedlot,,0.0,0.0,91,0.0,0
92EW00015,K5884,68,4TEATS,100,1,82,103,c.1,Blue 1,feedlot,,0.0,0.0,100,0.0,0
92EW00016,K5886,68,,107,1,104,113,c.2,Blue 2,feedlot,,0.0,0.0,129,0.0,0
92EW00017,K5890,68,,98,1,80,82,c.3,Blue 3,feedlot,,0.0,0.0,82,0.0,0
92EW00018,K5891,68,ENTR,105,1,83,85,c.1,Blue 1,feedlot,,0.0,0.0,89,0.0,0
92EW00019,K5894,68,,81,3,80,90,MKT,Scott,feedlot,,0.0,0.0,95,0.0,0
92EW00020,K5896,68,,117,1,95,108,c.2,Blue 2,feedlot,,0.0,0.0,113,0.0,1
92EW00021,K5899,68,,101,1,77,93,c.3,Blue 3,feedlot,,0.0,0.0,104,0.0,0
92EW00022,K5908,68,,101,1,112,112,c.1,Blue 1,feedlot,,0.0,0.0,123,0.0,0
92EW00023,K5912,68,,103,1,108,126,c.2,Blue 2,feedlot,,0.0,0.0,130,0.0,0
92EW00024,K5913,68,4TEATS,115,1,90,102,c.3,Blue 3,feedlot,,0.0,0.0,109,0.0,0
92EW00025,K5914,68,4TEATS,112,1,84,99,c.1,Blue 1,feedlot,,0.0,0.0,115,0.0,0
92EW00026,K5915,68,,110,1,94,100,c.2,Blue 2,feedlot,,0.0,0.0,114,0.0,0
92EW00027,K5916,68,,110,1,102,102,c.3,Blue 3,feedlot,,0.0,0.0,115,0.0,0
92EW00028,K5917,68,,108,1,73,84,c.1,Blue 1,feedlot,,0.0,0.0,99,0.0,1
92EW00029,K5918,68,,110,1,77,87,c.2,Blue 2,feedlot,,0.0,0.0,94,0.0,0
92EW00030,K5921,68,4TEATS,105,1,100,114,c.3,Blue 3,feedlot,,0.0,0.0,123,0.0,0
92EW00031,K5922,68,,110,1,88,96,c.1,Blue 1,feedlot,,0.0,0.0,102,0.0,0
92EW00032,K5926,68,,104,1,81,91,c.2,Blue 2,feedlot,,0.0,0.0,100,0.0,0
92EW00033,K5928,68,4TEATS,89,1,102,118,c.3,Blue 3,feedlot,,0.0,0.0,121,0.0,1
92EW00034,K5937,68,4TEATS,114,1,99,96,c.1,Blue 1,feedlot,,0.0,0.0,102,0.0,0
92EW00035,K5941,68,,103,1,99,123,c.3,Blue 3,feedlot,,0.0,0.0,136,0.0,1
92EW00036,K5945,68,4TEATS,101,1,93,113,c.2,Blue 2,feedlot,,0.0,0.0,114,0.0,0
92EW00037,K5948,68,4TEATS,97,1,74,90,c.1,Blue 1,feedlot,,0.0,0.0,95,0.0,1
92EW00038,K5952,68,,110,1,89,107,c.2,Blue 2,feedlot,,0.0,0.0,112,0.0,0
