UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDAR,CLR,STM
20EW00431,S3181,,.,1,90,e4,W,95,1015,110,1120,,,,3+,1,Preg,,1,07
20EW00432,S3182,,.,1,94,e5,W,101,1015,118,1120,,,,3,1,Preg,,1,07
20EW00433,S3190,,.,1,88,e6,W,99,1015,112,1120,,,,3,1,Preg,,1,07
20EW00434,S3193,,2ND.2@ONCE,1,80,e1,W,95,1015,108,1120,,,,2-,1,Preg,,1,07
20EW00435,S3200,,.,1,95,e2,W,102,1015,114,1120,,,,3+,,Preg,,1,43
20EW00436,S3215,,.,1,107,e3,W,119,1015,123,1120,,,,4+,1,Preg,,1,07
20EW00437,S3220,,.,1,101,e4,W,111,1015,121,1120,,,,3+,,Preg,,1,07
20EW00438,S3225,,.,1,97,e5,W,109,1015,121,1120,,,,3-,1,Preg,,1,07
20EW00439,S3240,,.,1,91,e6,W,97,1015,109,1120,,,,,,Open,2844,1,07
20EW00440,S3244,,.,1,80,e1,W,77,1015,94,1120,,,,3,1,Preg,,1,07
20EW00441,S3245,,.,1,87,e2,W,86,1015,105,1120,,,,4+,1,Preg,,1,07
20EW00442,S3246,,.,1,80,e3,W,89,1015,107,1120,,,,3-,1,Preg,,1,07
20EW00443,T7442,,.,1,92,e4,W,105,1015,129,1120,,,,3,1,Preg,,1,02
20EW00444,T7444,,.,1,101,e5,W,117,1015,131,1120,,,,,,Preg,,1,02
20EW00445,T7448,,.,1,81,e6,W,90,1015,101,1120,,,,,,Open,2853,1,02
20EW00446,T7451,,.,1,89,e1,W,101,1015,120,1120,,,,3,1,Preg,,1,02
20EW00447,T7452,,.,1,96,e2,W,105,1015,122,1120,,,,3+,,Preg,,1,02
20EW00448,T7455,,.,1,91,e3,W,90,1015,102,1120,,,,4+,1,Preg,,1,02
20EW00449,T7473,,.,1,92,e4,W,108,1015,124,1120,,,,3,1,Preg,,1,02
20EW00450,T7479,,.,1,81,e5,W,101,1015,111,1120,,,,3-,1,Preg,,1,02
20EW00451,T7480,,.,1,88,e6,W,105,1015,122,1120,,,,,,Open,2842,1,02
20EW00452,T7485,,.,1,92,e1,W,113,1015,129,1120,,,,,,Open,2798,1,02
20EW00453,T7492,,.,1,83,e2,W,94,1015,101,1120,,,,,,Open,2825,1,02
20EW00454,T7498,,.,1,97,e3,W,120,1015,135,1120,,,,3,1,Preg,,1,02
20EW00455,T7501,,.,1,111,e4,W,122,1015,131,1120,,,,3,1,Preg,,1,02
20EW00456,T7505,,.,1,108,e5,W,130,1015,141,1120,,,,3+,,Preg,,1,02
20EW00457,T7512,,HAIRY,1,99,e6,W,110,1015,121,1120,,,,3-,1,Preg,,1,02
20EW00458,T7517,,HAIRY,1,84,e1,W,95,1015,107,1120,,,,3+,1,Preg,,1,02
20EW00459,T7520,,.,1,108,e2,W,117,1015,138,1120,,,,3+,,Preg,,1,02
20EW00460,T7524,,.,1,99,e3,W,103,1015,118,1120,,,,3,,Preg,,1,02
20EW00461,T7526,,HAIRY,1,132,e4,W,149,1015,164,1120,,,,3+,1,Preg,,1,02
20EW00462,T7528,,.,1,109,e5,W,112,1015,131,1120,,,,3-,1,Preg,,1,02
20EW00463,T7529,,.,1,81,e6,W,88,1015,103,1120,,,,3,1,Preg,,1,02
20EW00464,T7535,,.,1,103,e1,W,119,1015,133,1120,,,,3,,Preg,,1,02
20EW00465,T7541,,.,1,99,e2,W,107,1015,125,1120,,,,3,1,Preg,,1,02
20EW00466,T7545,,.,1,108,e3,W,117,1015,128,1120,,,,3+,,Preg,,1,02
20EW00467,T7547,,.,1,106,e4,W,125,1015,132,1120,,,,3,1,Preg,,1,02
20EW00468,T7550,,BR.EARTIPS,1,89,e5,W,100,1015,113,1120,,,,,,Open,2824,2,02
20EW00469,T7556,,.,1,87,e6,W,98,1015,111,1120,,,,4+,,Preg,,1,02
20EW00470,T7558,,.,1,113,e1,W,116,1015,124,1120,,,,4,1,Preg,,1,02
20EW00471,T7560,,.,1,90,e2,W,90,1015,111,1120,,,,3,1,Preg,,1,02
20EW00472,T7561,,1ST,1,92,e3,W,106,1015,118,1120,,,,4-,1,Preg,,1,02
20EW00473,T7563,,.,1,95,e4,W,111,1015,123,1120,,,,3,,Preg,,1,02
20EW00474,T7564,,.,1,91,e5,W,106,1015,120,1120,,,,3-,1,Preg,,1,02
20EW00475,T7567,,1ST,1,97,e6,W,103,1015,119,1120,,,,,,Open,2856,1,02
20EW00476,T7569,,.,1,86,e1,W,83,1015,102,1120,,,,3,,Preg,,1,02
20EW00477,T7572,,.,1,117,e2,W,128,1015,144,1120,,,,4,,Preg,,1,02
20EW00478,T7579,,.,1,87,e3,W,102,1015,119,1120,,,,3+,,Preg,,1,02
20EW00479,T7584,,.,1,103,e4,W,111,1015,111,1120,,,,3,1,Preg,,1,02
20EW00480,T7585,,.,1,106,e5,W,110,1015,118,1120,,,,,,Open,2838,1,02
20EW00481,T7592,,.,1,106,e6,W,106,1015,120,1120,,,,3,1,Preg,,1,02
20EW00482,T7593,,.,1,99,e1,W,117,1015,130,1120,,,,3-,1,Preg,,1,02
20EW00483,T7594,,.,1,87,e2,W,97,1015,119,1120,,,,3,1,Preg,,1,02
20EW00484,T7603,,2ND,1,87,e3,W,99,1015,114,1120,,,,3,1,Preg,,1,02
20EW00485,T7606,,.,1,96,e4,W,105,1015,111,1120,,,,,,Open,2820,1,02
20EW00486,T7608,,2ND,1,90,e5,W,108,1015,122,1120,,,,3,1,Preg,,1,02
20EW00487,T7612,,.,1,81,e6,W,95,1015,111,1120,,,,3,1,Preg,,1,02
20EW00488,T7615,,.,1,89,e1,W,100,1015,113,1120,,,,3,1,Preg,,1,02
20EW00489,T7616,,1ST,1,103,e2,W,123,1015,139,1120,,,,3-,,Preg,,1,02
20EW00490,T7621,,.,1,112,e3,W,114,1015,129,1120,,,,,,Open,2805,1,02
20EW00491,T7622,,.,1,113,e4,W,119,1015,125,1120,,,,3+,1,Preg,,1,02
20EW00492,T7624,,1ST,1,98,e5,W,111,1015,121,1120,,,,3+,,Preg,,1,02
20EW00493,T7627,,.,1,111,e6,W,122,1015,133,1120,,,,3,1,Preg,,1,02
20EW00494,T7628,,.,1,91,e1,W,97,1015,106,1120,,,,,,Open,2862,1,02
20EW00495,T7629,,.,1,95,e2,W,96,1015,108,1120,,,,3+,1,Preg,,1,02
20EW00496,T7632,,.,1,94,e3,W,102,1015,123,1120,,,,3,1,Preg,,1,02
20EW00497,T7637,,.,1,103,e4,W,111,1015,128,1120,,,,,,Open,2813,1,02
20EW00498,T7644,,.,1,100,e5,W,99,1015,119,1120,,,,3,1,Preg,,1,02
20EW00499,T7645,,.,1,99,e6,W,114,1015,131,1120,,,,,,Open,2812,1,02
20EW00500,T7646,,.,1,99,e1,W,117,1015,125,1120,,,,3,1,Preg,,1,02
20EW00501,T7647,,NICE LAMB,1,122,e2,W,143,1015,161,1120,,,,3,1,Preg,,1,02
20EW00502,T7648,,.,1,96,e3,W,110,1015,120,1120,,,,3,1,Preg,,1,02
20EW00503,T7655,,.,1,90,e4,W,103,1015,112,1120,,,,4+,1,Preg,,1,02
20EW00504,T7658,,.,1,103,e5,W,110,1015,128,1120,,,,4,,Preg,,1,02
20EW00505,T7663,,.,1,86,e6,W,88,1015,107,1120,,,,,,Open,2781,1,02
20EW00506,T7668,,.,1,92,e1,W,100,1015,114,1120,,,,,,Open,2827,1,02
20EW00507,T7671,,.,1,109,e2,W,122,1015,140,1120,,,,3-,,Preg,,1,02
20EW00508,T7672,,BR.L.EYE,1,110,e3,W,121,1015,138,1120,,,,3-,,Preg,,2,02
20EW00509,T7681,,.,1,95,e4,W,97,1015,112,1120,,,,,,Open,2861,1,02
20EW00510,T7685,,.,1,96,e5,W,99,1015,119,1120,,,,,,Open,2866,1,02
20EW00511,T7686,,.,1,98,e6,W,113,1015,113,1120,,,,3-,1,Preg,,1,02
20EW00512,Z7474,,NICE LAMB,1,95,e1,W,112,1015,123,1120,,,,1-,1,Preg,,6,97
20EW00513,Z7476,,05BL,1,112,e2,W,123,1015,,,,,,,,,,2,T3
20EW00514,Z7478,A,.,1,87,e3,W,105,1015,122,1120,,,,1-,1,Preg,,6,97
20EW00515,Z7481,A,.,1,99,e4,W,111,1015,127,1120,,,,1,1,Preg,,6,97
20EW00516,Z7483,A,.,1,107,e5,W,117,1015,133,1120,,,,1,1,Preg,,6,97
20EW00517,Z7487,A,.,1,89,e6,W,101,1015,118,1120,,,,1,1,Preg,,6,97
20EW00518,Z7489,A,NICE LAMB,1,117,e1,W,138,1015,155,1120,,,,1-,1,Preg,,6,97
20EW00519,Z7493,A,.,1,100,e2,W,112,1015,128,1120,,,,1,1,Preg,,6,97
