UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,NOV04,DEC10
97EW00001,A4111,81,,104,1,83,e.8,Blue,90,102
97EW00002,A4112,81,,106,1,85,e.-,Blue,93,91
97EW00003,A4118,00,4TEATS,0,1,97,e.-,Blue,112,119
97EW00004,A4110,00,,0,1,77,e.-,Blue,92,102
97EW00005,A4133,81,,98,1,78,e.-,Blue,75,77
97EW00006,A4134,81,,102,1,84,e.8,Blue,96,110
97EW00007,A4136,73,,108,1,95,-FL,Blue,109,0
97EW00008,A4139,00,,0,1,80,e.-,Blue,89,91
97EW00009,A4150,82,"THIN,WGT.LOSS",112,1,94,e.8,Blue,76,88
97EW00010,A4155,00,,0,1,80,e.-,Blue,96,99
97EW00011,A4158,00,HAIRY,0,1,62,e.-,Blue,74,76
97EW00012,A4167,00,,0,1,111,e.-,Blue,125,136
97EW00013,A4128,81,4TEATS,105,1,97,e.9,Blue,102,116
97EW00014,A4129,73,,95,1,90,-FL,Blue,102,0
97EW00015,A4120,00,,0,1,96,e.-,Blue,112,123
97EW00016,A4181,00,,0,1,83,e.-,Blue,99,105
97EW00017,A4184,00,,0,1,88,e.-,Blue,111,117
97EW00018,A4182,00,,0,1,79,e.-,Blue,94,98
97EW00019,A4189,00,,0,1,73,e.-,Blue,95,102
97EW00020,A4187,00,SAVE,0,1,74,e.-,Blue,99,109
97EW00021,A4180,00,,0,1,79,e.-,Blue,92,102
97EW00022,A4194,00,,0,1,73,e.-,Blue,87,94
97EW00023,A4197,00,,0,1,71,e.-,Blue,84,92
97EW00024,A4175,00,,0,1,76,e.-,Blue,91,102
97EW00025,A4176,00,,0,1,90,e.-,Blue,114,119
97EW00026,A4172,82,4TEATS,106,1,81,e.8,Blue,97,103
97EW00027,A4179,00,,0,1,75,e.-,Blue,94,102
97EW00028,A4177,00,,0,1,95,e.-,Blue,112,117
97EW00029,A4100,00,4TEATS,0,1,88,e.-,Blue,103,109
97EW00030,A4060,82,"BLK.,FX.RIBS",88,1,71,e.-,Blue,76,81
97EW00031,A4081,81,4TEATS,111,1,106,e.9,Blue,114,123
97EW00032,A4091,00,4TEATS,0,1,82,e.-,Blue,92,85
97EW00033,A4096,82,4TEATS,99,1,85,e.8,Blue,92,103
97EW00034,A4074,00,,0,1,67,e.-,Blue,81,86
97EW00035,A4075,00,,0,1,70,e.-,Blue,87,97
97EW00036,A4078,82,,108,1,83,e.-,Blue,104,118
97EW00037,A4079,82,,107,1,84,e.9,Blue,110,122
97EW00038,A4319,73,"WEAK,HAIRY",89,1,95,-FL,Blue,104,0
97EW00039,A4301,00,,0,1,89,e.-,Blue,99,107
97EW00040,A4305,00,,0,1,94,e.-,Blue,109,118
97EW00041,A4308,00,,0,1,70,e.-,Blue,81,74
97EW00042,A4307,00,,0,1,93,e.-,Blue,107,121
97EW00043,A4338,81,,111,1,87,e.8,Blue,114,133
97EW00044,A4343,81,NICE,106,1,95,e.9,Blue,100,114
97EW00045,A4344,73,,88,1,57,-FL,Blue,69,0
97EW00046,A4345,73,,90,1,72,-FL,Blue,78,0
97EW00047,A4349,81,,109,1,81,e.-,Blue,91,94
97EW00048,A4351,00,CURLY,0,1,93,e.-,Blue,106,112
97EW00049,A4354,81,4TEATS,113,1,97,e.8,Blue,123,136
97EW00050,A4358,73,,88,1,68,-FL,Blue,76,0
97EW00051,A4359,73,,90,1,69,-FL,Blue,78,0
97EW00052,A4362,82,FX.RIBS,99,1,80,e.-,Blue,91,91
97EW00053,A4368,73,,90,1,71,-FL,Blue,78,0
97EW00054,A4367,73,"DEAD,TOXEMIA",88,6,65,-FL,Blue,79,0
97EW00055,A4324,73,,84,1,61,-FL,Blue,70,0
97EW00056,A4327,82,,95,1,68,e.8,Blue,74,84
97EW00057,A4384,82,4TEATS,98,1,72,e.-,Blue,84,86
97EW00058,A4387,82,,102,1,84,e.-,Blue,91,95
97EW00059,A4391,82,,104,1,78,e.-,Blue,96,100
97EW00060,A4396,81,,107,1,84,e.-,Blue,96,105
97EW00061,A4399,73,,95,1,73,-FL,Blue,82,0
97EW00062,A4373,82,ENTRneedPEN22,89,1,71,e.-,Blue,80,87
97EW00063,A4378,81,,110,1,91,e.8,Blue,103,112
97EW00064,A4413,73,,84,1,63,-FL,Blue,78,0
97EW00065,A4415,82,,103,1,92,e.8,Blue,105,116
97EW00066,A4412,73,,86,1,64,-FL,Blue,71,0
97EW00067,A4430,81,4TEATS,114,1,85,e.9,Blue,101,118
97EW00068,A4432,73,,93,1,75,-FL,Blue,81,0
97EW00069,A4448,82,,106,1,82,e.-,Blue,91,93
97EW00070,A4449,82,,105,1,71,e.9,Blue,83,95
97EW00071,A4453,81,,114,1,95,e.8,Blue,102,114
97EW00072,A4458,81,,113,1,83,e.-,Blue,103,107
97EW00073,A4459,81,,112,1,89,e.-,Blue,108,113
97EW00074,A4457,73,,95,1,85,-FL,Blue,96,0
97EW00075,A4461,81,4TEATS,112,1,96,e.-,Blue,108,114
97EW00076,A4462,73,,100,1,103,-FL,Blue,114,0
97EW00077,A4468,73,,91,1,85,-FL,Blue,105,0
97EW00078,A4467,81,,113,1,85,e.-,Blue,98,101
97EW00079,A4423,73,,93,1,87,-FL,Blue,102,0
97EW00080,A4427,81,,109,1,102,e.-,Blue,125,128
97EW00081,A4481,82,,108,1,74,e.9,Blue,93,104
97EW00082,A4480,82,,111,1,80,e.9,Blue,108,102
97EW00083,A4491,81,,106,1,87,e.8,Blue,105,118
97EW00084,A4494,73,,96,1,70,-FL,Blue,85,0
97EW00085,A4495,82,,100,1,79,e.-,Blue,92,98
97EW00086,A4496,82,,104,1,74,e.-,Blue,79,87
97EW00087,A4471,73,,97,1,77,-FL,Blue,100,0
97EW00088,A4473,73,,94,1,73,-FL,Blue,85,0
97EW00089,A4476,81,4TEATS,122,1,105,e.9,Blue,122,138
97EW00090,A4472,73,,86,1,60,-FL,Blue,73,0
97EW00091,A4478,73,,87,1,62,-FL,Blue,71,0
97EW00092,A4477,73,,79,1,62,-FL,Blue,78,0
97EW00093,A4510,81,,109,1,86,e.9,Blue,103,118
97EW00094,A4513,82,,110,1,83,e.-,Blue,95,92
97EW00095,A4501,73,,94,1,77,-FL,Blue,91,0
97EW00096,A4504,73,,88,1,63,-FL,Blue,78,0
97EW00097,A4509,81,,110,1,84,e.-,Blue,95,100
97EW00098,A4533,73,,96,1,85,-FL,Blue,97,0
97EW00099,A4538,81,INJURED,116,1,78,e.-,Blue,90,99
97EW00100,A4543,82,,101,1,68,e.8,Blue,80,91
97EW00101,A4556,73,HAIRY,98,1,90,-FL,Blue,101,0
97EW00102,A4559,82,4TEATS,106,1,80,e.-,Blue,87,86
97EW00103,A4564,82,,107,1,78,e.8,Blue,104,112
97EW00104,A4562,81,,105,1,87,e.8,Blue,105,113
97EW00105,A4520,81,,115,1,93,e.-,Blue,106,109
