UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,LOT,RMK,ADG,DISP
13SH00001,H3194,2,0,7.6,76,,51,30,Band 2 Ewe,0,6
13SH00002,H4680,2,0,0.0,0,,,30,Band 2 Ewe,0,6
13SH00003,H6510,2,0,3.4,34,,50,30,Band 2 Ewe,0,0
13SH00004,H7208,2,0,3.0,30,,50,30,Band 2 Ewe,0,0
13SH00005,K4230,2,0,0.0,0,,,06,Dead?,0,6
13SH00006,K4776,2,0,7.8,78,,51,06,Band 1 Ewe,0,0
13SH00007,L0264,2,0,6.2,62,,52,PC,Band 1 Ewe,0,0
13SH00008,L0535,2,0,0.0,0,,,PC,Band 1 Ewe,0,6
13SH00009,L0600,1,0,5.2,52,,51,PC,Yrlng Ram,0,0
13SH00010,L0767,2,0,5.6,56,,52,PC,Open EL,0,0
13SH03022,X9525,2,0,4.6,46,,52,R3,R3 Band 2 Ewe,0,0
13SH03023,Z0428,2,0,7.0,70,,52,R3,R3 Band 2 Ewe,0,0
13SH03024,X9116,2,0,5.5,55,,52,R3,R3 Band 2 Ewe,0,0
13SH03025,X9274,2,0,4.1,41,,52,R3,R3 Band 2 Ewe,0,0
13SH03026,X8015,2,0,6.0,60,,52,R3,R3 Band 2 Ewe,0,0
13SH03027,Z0442,2,0,4.2,42,,52,R3,R3 Band 2 Ewe,0,0
13SH03028,X8021,2,0,5.4,54,,52,R3,R3 Band 2 Ewe,0,0
13SH03029,X9312,2,0,6.8,68,,52,R3,R3 Band 2 Ewe,0,0
13SH03030,Z0574,2,0,4.9,49,,52,R3,R3 Band 2 Ewe,0,0
13SH03031,X9016,2,0,6.0,60,,52,R3,R3 Band 2 Ewe,0,0
