UID,ID10,BRD,ETAG,SEX,LINE,GRFL,GRADE,FLGR1,SHDAY,DAYSH,BGRP,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
98SH00001,1997814415,81,Z4415,2,00,6.8,0,0,1998-03-14,73,B,,80,1.0,161,1998-05-26,2,,98
98SH00002,1997813908,81,Z3908,2,97,4.5,0,0,1998-03-14,73,B,Missed Card,97,1.0,112,1998-05-28,B,,98
98SH00003,1997814516,81,Z4516,2,00,4.2,0,0,1998-03-14,73,B,,80,1.0,142,1998-05-26,2,,98
98SH00004,1997814356,81,Z4356,2,00,6.0,0,0,1998-03-14,73,B,,80,1.0,141,1998-06-18,5,,98
98SH00005,1997814385,81,Z4385,2,00,5.8,0,0,1998-03-14,73,B,,80,1.0,164,1998-05-12,2,,98
98SH00006,1997813997,81,Z3997,2,97,4.4,0,0,1998-03-14,73,B,,97,1.0,112,1998-05-28,B,,98
98SH00007,1997813932,81,Z3932,2,97,5.6,0,0,1998-03-14,73,B,,97,1.0,123,1998-05-28,B,,98
98SH00008,1997813956,81,Z3956,2,97,5.4,0,0,1998-03-14,73,B,,97,1.0,165,1998-05-28,B,,98
98SH00009,1997813964,81,Z3964,2,97,4.0,0,0,1998-03-14,73,B,,97,1.0,129,1998-05-28,B,,98
98SH00010,1997814573,81,Z4573,2,00,5.2,0,0,1998-03-14,73,B,,81,1.0,143,1998-05-08,1,,98
98SH04060,1996445630,44,T5630,2,ch,7.8,60,4,1998-03-11,70,1,,31,2.0,150,1998-05-19,4,,98
98SH04061,1996042900,04,A2900,2,ch,6.8,62,3,1998-03-11,70,1,,31,2.0,162,1998-05-19,4,,98
98SH04062,1996043445,04,A3445,2,ch,8.2,60,4,1998-03-11,70,1,,31,2.0,150,1998-05-19,4,,98
98SH04063,1994040990,04,A0990,2,ch,7.6,60,4,1998-03-11,70,1,,31,4.0,169,1998-05-19,4,,98
98SH04064,1994444282,44,T4282,2,ch,6.8,62,3,1998-03-11,70,1,,32,4.0,132,1998-05-19,4,,98
98SH04065,1994105086,10,S5086,2,11,12.0,62,3,1998-03-11,70,1,,07,4.0,190,1998-04-23,2,,98
98SH04066,1994041236,04,A1236,2,ch,6.2,58,5,1998-03-11,70,1,,30,4.0,178,1998-05-19,4,,98
98SH04067,1996107245,10,S7245,2,11,9.2,62,3,1998-03-11,70,1,,07,2.0,159,1998-04-30,1,84,98
98SH04068,1995444861,44,T4861,2,ch,8.8,56,6,1998-03-11,70,1,,32,3.0,136,1998-05-19,4,,98
98SH04069,1995106330,10,S6330,2,11,10.0,62,3,1998-03-11,70,1,MSG.DATA,07,3.0,189,1998-05-01,2,,98
