UID,ID9,ETAG,BRD,SEX,LINE,RGRP,GRP,STM,YR,YLD,BAND,DAYSH,DATE,TIME,GRADE,FLGR1,GRFL,SPWT,LOT,MSG,PD,RMK,TABL,L,YEAR,AGE
92SH00001, 90000010,00010,00,1,97,,,97,90,,Q,135,0514,0000,48,9,9.2,237,,,1,BOUGHT 1991,X,,92,2.0
92SH00002, 85631235,K1235,63,2,61,,,06,85,,1,132,0511,1346,54,7,12.6,186,,,1,,A,,92,7.0
92SH00003, 85631237,K1237,63,2,60,,,06,85,,1,132,0511,1153,58,5,14.3,180,,,1,,A,,92,7.0
92SH00004, 85631249,K1249,63,2,63,,,06,85,,1,132,0511,1318,54,7,12.8,180,,,1,,B,,92,7.0
92SH00005, 85631266,K1266,63,2,60,,,06,85,,1,132,0511,1353,56,6,10.2,155,,,1,,B,,92,7.0
92SH00006, 85631336,K1336,63,2,63,7,,06,85,,3,72,0312,0950,58,5,7.6,157,34D,Grn 4,1,,A,,92,7.0
92SH00007, 85631413,K1413,63,2,60,,,06,85,,1,132,0511,1353,58,5,10.7,173,,,1,tureRBAG,B,,92,7.0
92SH00008, 85631421,K1421,63,2,60,,,06,85,,1,132,0511,1346,56,6,11.0,179,,,1,BIG-BAG,B,,92,7.0
92SH00009, 85631426,K1426,63,2,63,7,,06,85,,3,72,0312,0957,54,7,9.2,186,29A,Red 3,1,LTS,A,,92,7.0
92SH00010, 85631468,K1468,63,2,60,7,,06,85,,3,72,0312,0913,56,6,9.6,183,35A,Red 5,1,,A,,92,7.0
92SH04844, 91810837,Z0837,81,3,00,1,W,58,91,,W,135,0514,1720,58,5,11.7,148,BLK,,1,BLK.WETHER,X,,92,1.0
92SH04845, 91810848,Z0848,81,2,97,,,97,91,,B,135,0514,1634,48,9,7.5,158,,,1,,X,,92,1.0
92SH04846, 91810850,Z0850,81,2,97,,,97,91,,B,135,0514,1653,48,9,6.8,142,,,1,,X,,92,1.0
92SH04847, 91810858,Z0858,81,1,97,,,97,91,,Q,135,0514,1702,48,9,4.6,133,,,1,,X,,92,1.0
92SH04848, 91810859,Z0859,81,1,97,,,97,91,,Q,135,0514,1710,48,9,6.0,136,,,1,,X,,92,1.0
92SH04849, 91810882,Z0882,81,1,97,,,97,91,,Q,135,0514,1705,48,9,5.4,135,,,1,,X,,92,1.0
92SH04850, 91810906,Z0906,81,1,97,,,97,91,,Q,135,0514,1713,48,9,4.8,154,,,1,,X,,92,1.0
92SH04851, 91810914,Z0914,81,1,97,,,97,91,,Q,135,0514,1709,48,9,6.9,153,,,1,,X,,92,1.0
92SH04852, 91810915,Z0915,81,1,97,,,97,91,,Q,135,0514,1702,48,9,5.3,164,,,1,,X,,92,1.0
92SH04853, 91810958,Z0958,81,2,97,,,97,91,,B,135,0514,1647,48,9,4.4,94,,,1,,X,,92,1.0
