UID,ID10,SEX,SHDAY,DAYSH,BGRP,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
02SH00001,1992443593,2,2002-03-04,63,O,44,T3593,9.4,56,6,AKA T3593,02,10,0,,*,0,02
02SH00002,1998008059,2,2002-03-04,63,O,00, 8059,9.6,62,3,,43,4.0,179,2002-05-30,5,0,02
02SH00003,1992811961,2,2002-03-04,63,O,81,Z1961,8.4,62,3,,58,10,154,2002-05-30,5,0,02
02SH00004,1997044601,2,2002-03-04,63,O,04,A4601,6.4,60,4,,30,5.0,194,2002-05-30,5,0,02
02SH00005,2000001486,2,2002-03-04,63,O,00,01486,9.2,60,4,,02,2.0,157,2002-05-30,5,0,02
02SH00006,1995444793,2,2002-03-04,63,O,44,T4793,7.6,62,3,,02,7.0,181,2002-05-30,5,0,02
02SH00007,1996445706,2,2002-03-04,63,O,44,T5706,8.0,60,4,,02,6.0,175,2002-05-30,5,0,02
02SH00008,1998446436,2,2002-03-04,63,O,44,T6436,8.6,60,4,,02,4.0,206,2002-06-27,5,0,02
02SH00009,1999046130,2,2002-03-04,63,O,04,A6130,5.8,58,5,,30,3.0,172,2002-05-30,5,0,02
02SH00010,2000000483,2,2002-03-04,63,O,00,00483,5.6,62,3,,07,2.0,129,2002-05-30,5,0,02
02SH03702,2000448277,1,2002-03-09,68,M,44,T8277,12.6,62,3,,02,2.0,193,2002-05-22,M,81,02
02SH03703,1997639738,1,2002-03-09,68,M,63,K9738,12.4,60,4,,05,5.0,227,2002-05-22,M,72,02
02SH03704,2000447971,1,2002-03-09,68,M,44,T7971,10.8,60,4,,02,2.0,182,2002-05-22,M,83,02
02SH03705,1995445077,1,2002-03-09,68,M,44,T5077,10.0,62,3,,02,7.0,199,2002-05-22,M,0,02
02SH03706,1997044142,1,2002-03-09,68,M,04,A4142,9.2,56,6,,71,5.0,228,2002-05-22,M,0,02
02SH03707,1999046759,1,2002-03-09,68,M,04,A6759,8.6,56,6,,30,3.0,231,2002-05-22,M,79,02
02SH03708,         0,1,2002-03-09,68,M,00,I0064,11.2,58,5,KRAKOW,02,6.0,220,2002-05-22,M,79,02
02SH03709,1998109632,1,2002-03-09,68,M,10,S9632,12.6,62,3,,07,4.0,207,2002-05-22,M,0,02
02SH03710,1995444883,2,2002-03-09,68,2,44,T4883,8.0,58,5,PREG* ADDED,32,7.0,0,,*,0,02
02SH03711,1997814229,2,2002-03-09,68,2,81,Z4229,7.0,62,3,LAMBED 4/27,00,5.0,180,2002-05-24,4,0,02
