UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,LOT,RMK,ADG,DISP
12SH00001,H1399,2,,0.0,0,,0,30,Missing,,
12SH00002,H1571,2,,0.0,0,,0,30,Band 1 Ewe,,6
12SH00003,H2267,2,,0.0,0,,0,30,Missing,,
12SH00004,H2704,2,,0.0,0,,0,30,Missing,,
12SH00005,H3493,2,,10.2,102,,52,30,Band 2 Ewe,,
12SH00006,H3747,2,,0.0,0,,0,30,Band 2 Ewe,,6
12SH00007,H3794,2,,0.0,0,,0,30,Missing,,
12SH00008,H5652,2,,0.0,0,,0,30,Missing,,
12SH00009,H5668,2,,0.0,0,,0,30,Band 2 Ewe,,
12SH00010,H5684,2,,0.0,0,,0,30,Missing,,
12SH02968,X8116,2,,7.0,70,,54,R3,R3,,
12SH02969,X8015,2,,5.4,54,,54,R3,R3,,
12SH02970,X7833,2,,5.6,56,,54,R3,R3,,
12SH02971,X7941,2,,4.3,43,,54,R3,R3,,
12SH02972,X8110,2,,5.9,59,,54,R3,R3,,
12SH02973,X8925,2,,6.6,66,,54,R3,R3,,
12SH02974,X8172,2,,6.7,67,,54,R3,R3,,
12SH02975,X9004,2,,7.6,76,,54,R3,R3,,
12SH02976,X9123,2,,3.6,36,,54,R3,R3,,
12SH02977,X7962,2,,6.6,66,,54,R3,R3,,
