UID,ID9,ABEWE,YR,SEX,BRD,ETAG,LINE,DAYSH,BAND,TEETH,SPWT,GRFL,L,CLFL,FLGR1,SIGR,THGR,SQEZ,H,J,FACE,DEWLAP,NECK,TYPE,COND,WTFEB,N_FEB,T_FEB,C_FEB,FTRT,DIAM,VARD,CRIMP,DIGR,WT_JULY,YEAR,STM,AGE
90SH00001, 88000001, 0,88,1,00,00001,,137,M,,210,14.8,92,,5,2,3,,2,1, 7,,,,,,,,,,,,,,244,90,02,2.0
90SH00002, 88008068, 0,88,1,00,08068,,137,M,,198,12.4,91,,2,2,3,,1,2, 9,,,,,,,,,,,,,,224,90,02,2.0
90SH00003, 88008083, 0,88,1,00,08083,,137,M,,203,21.7,90,,2,1,2,,1,2, 9,,,,,,,,,,,,,,230,90,02,2.0
90SH00004, 88008155, 0,88,1,00,08155,,137,M,,240,15.4,99,,2,1,2,,1,7, 8,,,,,,,,,,,,,,273,90,02,2.0
90SH00005, 88008289, 0,88,1,00,08289,,137,M,,193,17.9,93,,3,3,4,,2,1, 9,,,,,,,,,,,,,,228,90,02,2.0
90SH00006, 83023908, 0,83,2,02,Y3908,73,137,X,,147,7.0,,,5,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00007, 83023910, 0,83,2,02,Y3910,81,125,J,,150,9.0,,,5,,,,,,,,,,,,,,,7,,,,,,90,30,7.0
90SH00008, 83023914, 0,83,2,02,Y3914,72,137,5,,169,9.3,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00009, 83023918, 0,83,2,02,Y3918,74,136,5,,149,10.3,,,6,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH00010, 83023924, 0,83,2,02,Y3924,74,137,5,,183,10.9,,,7,,,,,,,,,,,,,,,6,,,,,,90,30,7.0
90SH04864, 84976578, 0,84,1,97,M6578,97,138,M,,190,5.9,,,9,,,,,,,,,,,,,,,,,,,,209,90,97,6.0
90SH04865, 84976581, 0,84,2,97,M6581,97,138,B,,193,5.7,,,9,,,,,,,,,,,,,,,7,,,,,,90,97,6.0
90SH04866, 85978598, 0,85,1,97,M8598,97,138,M,,210,6.7,,,9,,,,,,,,,,,,,,,,,,,,233,90,97,5.0
90SH04867, 85978610, 0,85,2,97,M8610,97,138,B,,233,5.1,,,9,,,,,,,,,,,,,,,7,,,,,,90,97,5.0
90SH04868, 85978700, 0,85,1,97,M8700,97,138,M,,228,10.0,,,9,,,,,,,,,,,,,,,,,,,,275,90,97,5.0
90SH04869, 85978761, 0,85,2,97,M8761,97,138,B,,235,5.3,,,9,,,,,,,,,,,,,,,7,,,,,,90,97,5.0
90SH04870, 85978851, 0,85,1,97,M8851,97,138,M,,229,6.2,,,9,,,,,,,,,,,,,,,,,,,,257,90,97,5.0
90SH04871, 85978865, 0,85,1,97,M8865,97,138,M,,240,5.5,,,9,,,,,,,,,,,,,,,,,,,,264,90,97,5.0
90SH04872, 85978973, 0,85,1,97,M8973,97,138,M,,196,5.5,,,9,,,,,,,,,,,,,,,,,,,,227,90,97,5.0
90SH04873, 85979037, 0,85,2,97,M9037,97,138,B,,176,6.4,,,9,,,,,,,,,,,,,,,7,,,,,,90,97,5.0
