UID,ID10,SEX,SHDAY,DAYSH,BGRP,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
00SH00001,1998109859,2,2000-03-06,66,1,10,S9859,11.0,62,3,NO FLEECE ?,42,2.0,177,2000-04-27,1,82,00
00SH00002,1996107120,2,2000-03-06,66,1,10,S7120,9.2,60,4,,07,4.0,156,2000-04-20,1,0,00
00SH00003,1996445557,2,2000-03-06,66,1,44,T5557,12.2,58,5,,02,4.0,198,2000-04-27,1,0,00
00SH00004,1998109399,2,2000-03-06,66,1,10,S9399,10.6,64,2,,43,2.0,171,2000-04-27,1,71,00
00SH00005,1994637058,2,2000-03-06,66,1,63,K7058,9.4,54,7,,06,6.0,150,2000-04-24,2,0,00
00SH00006,1996106949,2,2000-03-06,66,1,10,S6949,9.0,64,2,,43,4.0,152,2000-05-01,2,0,00
00SH00007,1998109558,2,2000-03-06,66,1,10,S9558,10.6,62,3,,07,2.0,161,2000-04-20,1,68,00
00SH00008,1996107060,2,2000-03-06,66,1,10,S7060,10.6,60,4,,42,4.0,151,2000-04-27,1,0,00
00SH00009,1994637284,2,2000-03-06,66,1,63,K7284,14.4,58,5,HEAVY,06,6.0,216,2000-04-20,1,0,00
00SH00010,1995638078,2,2000-03-06,66,1,63,K8078,13.0,56,6,,06,5.0,215,2000-04-27,1,0,00
00SH04270,1995050161,2,2000-03-12,72,3,05,50161,10.4,56,6,,00,5.0,150,2000-04-25,3,0,00
00SH04271,1995637849,2,2000-03-12,72,3,63,K7849,10.6,58,5,,06,5.0,155,2000-04-25,H,0,00
00SH04272,1998008556,2,2000-03-12,72,3,00, 8556,8.6,58,5,,07,2.0,152,2000-04-25,3,82,00
00SH04273,1998446640,2,2000-03-12,72,3,44,T6640,10.6,60,4,,02,2.0,160,2000-04-25,3,0,00
00SH04274,1997108370,2,2000-03-12,72,3,10,S8370,9.4,62,3,,07,3.0,150,2000-04-25,3,0,00
00SH04275,1998045854,2,2000-03-12,72,3,04,A5854,6.8,58,5,,30,1.5,139,2000-04-25,3,0,00
00SH04276,1996043498,2,2000-03-12,72,3,04,A3498,7.8,62,3,,30,4.0,155,2000-04-25,3,0,00
00SH04277,1997044294,2,2000-03-12,72,3,04,A4294,6.0,60,4,,30,3.0,141,2000-04-25,3,0,00
00SH04278,1998008269,2,2000-03-12,72,3,00, 8269,7.4,62,3,,07,2.0,145,2000-04-25,3,86,00
00SH04279,1999090333,2,2000-03-11,71,P,09,90333,6.0,58,5,,30,1.0,139,2000-05-22,3,0,00
