UID,ID10,BRD,ETAG,SEX,LINE,GRFL,GRADE,FLGR1,SHDAY,DAYSH,BGRP,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
99SH00001,1993040424,04,A0424,2,72,7.4,58,5,1999-03-15,74,3,,30,5.5,148,1999-04-26,3,0,99
99SH00002,1994041592,04,A1592,2,73,8.4,56,6,1999-03-15,74,3,,30,4.5,151,1999-04-26,3,0,99
99SH00003,1997639558,63,K9558,2,68,7.2,60,4,1999-03-15,74,3,,06,2.0,162,1999-05-17,3,81,99
99SH00004,1997044242,04,A4242,2,73,5.8,60,4,1999-03-15,74,3,,30,2.0,129,1999-06-17,5,0,99
99SH00005,1996043105,04,A3105,2,73,8.0,60,4,1999-03-15,74,3,,30,3.0,157,1999-04-26,3,0,99
99SH00006,1997044457,04,A4457,2,73,7.0,58,5,1999-03-15,74,3,,30,2.0,151,1999-06-17,5,0,99
99SH00007,1992039385,03,L9385,2,73,6.8,58,5,1999-03-15,74,3,,30,6.5,167,1999-04-26,3,0,99
99SH00008,1995042608,04,A2608,2,73,5.8,62,3,1999-03-15,74,3,,30,3.5,149,1999-04-26,3,0,99
99SH00009,1991102255,10,S2255,2,18,8.4,60,4,1999-03-15,74,3,,07,7.5,156,1999-04-26,3,0,99
99SH00010,1995050784,05,50784,2,00,11.2,58,5,1999-03-15,74,3,,00,4.0,153,1999-04-26,3,0,99
99SH04129,1993039990,03,L9990,2,81,6.6,60,4,1999-03-12,71,2,,30,6.0,147,1999-04-30,1,0,99
99SH04130,1997445910,44,T5910,2,41,8.8,60,4,1999-03-12,71,2,,02,2.0,176,1999-04-30,1,0,99
99SH04131,1996445672,44,T5672,2,42,7.8,64,2,1999-03-12,71,2,,02,3.0,209,1999-05-11,2,0,99
99SH04132,1993443924,44,T3924,2,41,7.2,62,3,1999-03-12,71,2,,02,6.0,195,1999-05-11,2,0,99
99SH04133,1992442775,44,T2775,2,42,9.2,62,3,1999-03-12,71,2,,02,7.0,182,1999-05-24,2,0,99
99SH04134,1995444717,44,T4717,2,41,11.2,58,5,1999-03-12,71,2,,02,4.0,219,1999-05-05,1,0,99
99SH04135,1996042873,04,A2873,2,81,6.8,58,5,1999-03-12,71,2,,30,3.0,235,1999-05-03,2,0,99
99SH04136,1994041151,04,A1151,2,81,7.6,60,4,1999-03-12,71,2,,30,5.0,206,1999-05-05,1,0,99
99SH04137,1997044081,04,A4081,2,81,6.4,62,3,1999-03-12,71,2,,30,2.0,171,1999-05-05,1,0,99
99SH04138,1997044189,04,A4189,2,00,7.0,58,5,1999-03-12,71,2,,71,2.0,154,1999-05-03,2,75,99
