UID,ID10,SEX,DAYSH,DATE,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,RGRP,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
97SH00001,1994105170,2,69,1997-03-10,10,S5170,14.4,58,5,,0,42,3.0,0,,*,,97
97SH00002,1994104631,2,69,1997-03-10,10,S4631,7.6,58,5,,0,42,3.0,140,1997-05-05,X,,97
97SH00003,1995638107,2,69,1997-03-10,63,K8107,9.4,58,5,,0,06,2.0,159,1997-05-07,1,,97
97SH00004,1995106249,2,69,1997-03-10,10,S6249,10.0,62,3,,0,07,2.0,176,1997-04-25,2,72,97
97SH00005,1992103128,2,69,1997-03-10,10,S3128,8.6,60,4,,I,07,5.0,161,1997-05-07,1,,97
97SH00006,1992102806,2,69,1997-03-10,10,S2806,10.4,60,4,,0,07,5.0,187,1997-05-20,H,,97
97SH00007,         0,2,69,1997-03-10,,PENNY,11.0,58,5,PENNY=JYB EWE,J,,0.0,208,1997-05-07,1,,97
97SH00008,1992103302,2,69,1997-03-10,10,S3302,10.8,58,5,UGLY,0,07,5.0,193,1997-04-28,2,,97
97SH00009,1995042379,2,69,1997-03-10,04,A2379,8.2,60,4,JYB FL EWE,6,30,2.0,148,1997-05-20,2,,97
97SH00010,1992102715,2,69,1997-03-10,10,S2715,5.8,62,3,,0,07,5.0,160,1997-05-05,X,,97
97SH03792,1995050076,2,73,1997-03-14,05,50076,9.6,60,4,,7,00,2.0,177,,3,,97
97SH03793,1995050347,2,73,1997-03-14,05,50347,8.2,62,3,,7,00,2.0,135,,3,,97
97SH03794,1991102067,2,73,1997-03-14,10, 4525,7.4,60,4,,7,07,6.0,168,,3,,97
97SH03795,1994000854,2,73,1997-03-14,00, 5138,8.4,60,4,,7,00,3.0,143,,3,,97
97SH03796,1994000802,2,73,1997-03-14,00, 2093,8.4,62,3,End L.I.S.A.,7,00,3.0,158,,3,,97
97SH03797,1992443013,2,72,1997-03-13,44,T3013,6.5,62,3,SICK PEN-97,2,02,5.0,110,1997-05-05,X,,97
97SH03798,1990035024,2,72,1997-03-13,03,L5024,8.2,58,5,SICK PEN-97,0,30,7.0,178,1997-05-20,2,,97
97SH03799,1992038869,2,72,1997-03-13,03,L8869,8.5,56,6,SICK PEN-97,0,30,5.0,142,1997-05-20,H,,97
97SH03800,1990441084,2,72,1997-03-13,44,T1084,10.5,60,4,SICK PEN-97,2,02,7.0,0,,*,,97
97SH03801,1995638064,2,69,1997-03-10,63,K8064,10.0,58,5,,0,06,2.0,174,1997-04-25,2,,97
