UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
03SH00001,2001048804,04,A8804,4.8,60,4,2,2003-03-13,72,OVX,O,,30,2.0,156,2003-05-21,5,0,03
03SH00002,2000000882,00,00882,9.8,62,3,2,2003-03-13,72,OVX,O,,07,3.0,0,,*,0,03
03SH00003,2001112314,11,R2314,7.8,62,3,2,2003-03-13,72,OVX,O,,43,2.0,111,2003-05-21,5,0,03
03SH00004,2000001257,00,01257,10.6,58,5,2,2003-03-13,72,OVX,O,,06,3.0,158,2003-05-21,5,0,03
03SH00005,2001048668,04,A8668,6.0,58,5,2,2003-03-13,72,OVX,O,,30,2.0,127,2003-05-21,5,0,03
03SH00006,2001112474,11,R2474,7.8,60,4,2,2003-03-13,72,OVX,O,,07,2.0,135,2003-05-21,5,0,03
03SH00007,2001048691,04,A8691,6.8,58,5,2,2003-03-13,72,OVX,O,,30,2.0,131,2003-05-21,5,0,03
03SH00008,2001048643,04,A8643,5.4,58,5,2,2003-03-13,72,OVX,O,,30,2.0,139,2003-05-21,5,0,03
03SH00009,2001641994,64,K1994,7.4,58,5,2,2003-03-13,72,OVX,O,,06,2.0,0,,*,0,03
03SH00010,1999447522,44,T7522,9.0,58,5,2,2003-03-13,72,OVX,O,,02,4.0,121,2003-05-21,5,0,03
03SH03089,2002448838,44,T8838,11.2,60,4,2,2003-03-11,70,EWE LAMB,4,,02,1.0,141,2003-05-21,5,0,03
03SH03090,2002449331,44,T9331,4.6,62,3,2,2003-03-11,70,EWE LAMB,4,,02,1.0,134,2003-05-21,5,0,03
03SH03091,2002818332,81,Z8332,5.2,60,4,2,2003-03-11,70,EWE LAMB,4,,00,1.0,119,2003-05-21,5,0,03
03SH03092,2002449006,44,T9006,7.0,60,4,2,2003-03-11,70,EWE LAMB,4,,02,1.0,135,2003-05-21,5,0,03
03SH03093,2002449204,44,T9204,5.6,60,4,2,2003-03-11,70,EWE LAMB,4,,02,1.0,110,2003-05-21,5,0,03
03SH03094,2002113680,11,R3680,9.4,62,3,2,2003-03-11,70,EWE LAMB,4,,07,1.0,148,2003-05-21,5,0,03
03SH03095,2002449108,44,T9108,6.2,60,4,2,2003-03-11,70,EWE LAMB,4,,02,1.0,122,2003-05-21,5,0,03
03SH03096,2002113613,11,R3613,8.8,60,4,2,2003-03-11,70,EWE LAMB,4,,43,1.0,103,2003-05-21,5,0,03
03SH03097,2002449267,44,T9267,5.4,62,3,2,2003-03-11,70,EWE LAMB,4,,02,1.0,101,2003-05-21,5,0,03
03SH03098,2001112183,11,R2183,9.0,62,3,2,2003-03-11,70,BAND 2,2,,07,2.0,136,2003-05-02,2,0,03
