UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
96WN00525, 96043288,96,A3288,04,1,ch,31,-0-,8,2,2,2.0,2,2,1,103,218,115,9,8.7,51,68,0.516,71,1,1,6,,2,h,-CH,H6,S1541,10,A1161,04,ch,1,,0,5,5,99,1.5,106.5,1,79,,0.32,0,0,0,,0.0,0.64
96WN00526, 96043289,96,A3289,04,2,81,30,04,8,2,2,2.0,2,2,1,103,218,115,9,9.0,45,66,0.496,68,1,1,,,0,M,22,,A0942,04,A0975,04,81,2,92,263,5,5,91,1.94,115.2,2,85,91,18.33,0,0,0,,17.23,19.42
96WN00527, 96043287,96,A3287,04,2,ch,31,-0-,8,2,2,2.0,2,2,1,103,218,115,18,8.6,42,58,0.43,60,1,1,,,2,h,j.1,,S1541,10,A1161,04,ch,1,,0,5,5,96,1.5,106.5,1,76,,0.0,0,0,0,,0.0,0.0
96WN00528, 96043291,96,A3291,04,2,ch,31,-0-,5,1,1,4.0,4,4,H,103,222,119,3,14.2,80,103,0.746,104,1,1,,,2,h,j.1,,S1390,10,L8689,03,88,1,,0,1,1,133,1.72,119.8,1,113,,22.2,0,0,0,,0.0,22.2
96WN00529, 96043290,96,A3290,04,1,81,30,04,8,2,2,2.0,2,2,1,103,218,115,6,9.6,44,65,0.482,67,1,1,,,0,M,,,A0942,04,A0975,04,81,3,93,239,5,5,86,1.94,115.2,3,75,,18.33,0,0,0,,17.23,19.42
96WN00530, 96043293,96,A3293,04,2,82,30,29,5,1,1,7.0,7,5,2,103,220,117,1,10.8,59,79,0.583,81,1,1,,,0,C,e.8,,A0697,04,L4018,03,82,1,,0,1,1,106,2.12,133.6,1,88,,19.27,0,0,0,,17.83,20.7
96WN00531, 96043294,96,A3294,04,2,82,30,22,8,2,1,3.0,3,3,1,103,218,115,17,11.0,57,74,0.548,77,1,1,,,0,C,e.8,,A0944,04,L9984,03,82,1,,0,3,2,98,1.98,120.0,1,93,,14.64,0,0,0,,11.73,17.55
96WN00532, 96043296,96,A3296,04,2,ch,31,-2-,5,1,1,2.0,2,2,H,103,222,119,7,8.6,61,81,0.608,82,1,1,,,2,c,j.0,,S1878,10,A1232,04,ch,1,,0,1,1,101,1.5,87.0,1,88,,0.0,0,0,0,,0.0,0.0
96WN00533, 96043298,96,A3298,04,1,81,30,01,8,2,2,2.0,2,2,1,103,218,115,17,8.6,48,63,0.473,65,1,1,,,0,M,,"RAM+,WETHER-",A0733,04,A1089,04,81,3,93,239,5,5,86,1.94,115.4,3,72,,19.94,0,0,0,,25.7,14.17
96WN00534, 96043299,96,A3299,04,1,82,30,30,8,2,2,3.0,3,3,1,103,218,115,3,9.8,46,64,0.471,66,1,1,3,,0,C,,H3 X,A0760,04,L9949,03,82,3,93,239,5,5,91,1.98,126.9,3,75,,21.3,0,0,0,,22.05,20.55
96WN00535, 96043297,96,A3297,04,2,81,30,01,8,2,2,2.0,2,2,1,103,218,115,5,9.6,46,68,0.508,71,1,1,,,0,M,e.8,,A0733,04,A1089,04,81,1,,0,5,5,92,1.94,115.4,1,83,,19.94,0,0,0,,25.7,14.17
96WN00536, 96043271,96,A3271,04,2,88,30,e.8,5,1,1,1.0,1,1,1,103,218,115,1,9.5,55,76,0.578,79,1,1,,,0,e,20,,A1368,04,A2517,04,82,2,92,263,1,1,101,2.02,124.2,2,89,94,17.77,0,0,0,,15.94,19.59
96WN00537, 96043270,96,A3270,04,2,73,30,742,8,2,2,1.5,1,1,H,103,222,119,3,8.5,48,68,0.5,69,1,1,,,6,,-FL,,A1572,04,A1531,04,73,1,,0,5,4,100,2.12,134.0,1,74,,0.0,0,0,0,,0.0,0.0
96WN00538, 96043273,96,A3273,04,1,ch,31,-0-,8,2,1,4.0,4,4,H,103,222,119,7,11.1,72,100,0.747,101,1,1,,,2,c,-CH,,S1497,10,L8723,03,88,1,,0,3,2,115,1.72,101.4,1,106,,11.88,0,0,0,,0.0,11.88
96WN00539, 96043275,96,A3275,04,2,81,30,01,9,3,2,3.0,3,3,1,103,218,115,12,9.7,63,72,0.542,75,1,1,,,0,M,e.9,,A0733,04,L9743,03,81,1,,0,8,4,98,2.12,122.6,1,85,,22.68,0,0,0,,25.7,19.66
96WN00540, 96043276,96,A3276,04,2,81,30,01,9,3,2,3.0,3,3,1,103,218,115,18,7.7,44,58,0.437,60,1,1,,,0,M,X,X SCOURS,A0733,04,L9743,03,81,3,93,268,8,6,90,2.12,122.6,3,75,71,22.68,0,0,0,,25.7,19.66
96WN00541, 96043272,96,A3272,04,2,88,30,e.7,5,1,1,1.0,1,1,1,103,218,115,17,11.0,45,58,0.409,60,1,1,,,0,e,,,A0708,04,A1785,04,81,3,93,268,1,1,89,2.02,120.4,3,73,,21.19,0,0,0,,18.39,23.99
96WN00542, 96043278,96,A3278,04,1,ch,31,j.2,5,1,1,1.0,1,1,H,103,222,119,4,10.0,63,88,0.655,89,1,1,,,2,c,-CH,,A1126,04,A2293,04,ch,1,,0,1,1,101,1.0,89.0,1,92,,10.14,0,0,0,,15.46,4.82
96WN00543, 96043279,96,A3279,04,1,82,30,20,9,3,2,5.0,5,4,1,103,218,115,17,9.8,68,94,0.732,98,1,1,,,0,C,,,A0740,04,L7712,03,82,3,93,239,8,4,122,2.15,158.1,3,105,,20.63,0,0,0,,13.92,27.34
96WN00544, 96043277,96,A3277,04,2,ch,00,j.8,5,1,1,1.0,1,1,H,103,222,119,6,10.3,52,75,0.544,76,1,1,,,2,h,j.6,,T4345,44,A2511,04,ch,1,,0,1,1,91,1.0,76.0,1,81,,0.0,0,0,0,,8.07,0.0
96WN00545, 96043000,96,A3000,04,2,81,30,02,5,1,1,2.0,2,2,1,98,218,120,18,11.8,66,85,0.61,85,1,1,,,0,M,e.9,,A1423,04,A1073,04,81,1,,0,1,1,104,1.94,123.5,1,100,,22.15,0,0,0,,19.9,24.4
96WN00546, 96042811,96,A2811,04,2,88,30,e.8,5,1,1,1.0,1,1,1,88,218,130,1,7.7,53,71,0.487,66,1,6,,,0,e,,JAW6 X,A1368,04,A2075,04,82,3,93,268,1,1,93,2.02,121.6,3,84,,15.62,0,0,0,,15.94,15.29
96WN00547, 96042810,96,A2810,04,2,88,30,e.7,8,2,1,1.0,1,1,1,88,218,130,1,7.5,60,82,0.573,76,1,1,,,0,e,21,BRITCHY,A0708,04,A1936,04,82,2,92,263,3,2,102,2.12,129.0,2,95,97,19.57,0,0,0,,18.39,20.75
96WN00548, 96042813,96,A2813,04,3,ch,31,j.8,8,2,1,1.0,1,1,1,89,218,129,1,8.5,74,101,0.717,95,1,1,,,2,h,-CH,,T4345,44,A2327,04,ch,3,93,268,3,2,117,2.0,125.5,3,113,,9.51,0,0,0,,8.07,10.94
96WN00549, 96042814,96,A2814,04,3,88,30,e.8,8,2,2,1.0,1,1,1,89,218,129,1,5.5,53,72,0.516,67,1,1,,,0,e,,,A1368,04,A1903,04,81,7,97,222,5,5,99,2.12,135.0,,0,,17.95,0,0,0,,15.94,19.95
96WN00550, 96042815,96,A2815,04,2,88,30,e.8,8,2,2,1.0,1,1,1,89,218,129,1,6.1,47,71,0.503,66,1,1,,,0,e,,BRITCHY,A1368,04,A1903,04,81,3,93,268,5,5,99,2.12,135.0,3,83,,17.95,0,0,0,,15.94,19.95
96WN00551, 96042816,96,A2816,04,2,88,30,e.8,8,2,1,1.0,1,1,1,89,218,129,2,7.0,64,86,0.612,80,1,1,,,0,e,,X BRITCHY,A1368,04,A2050,04,81,3,93,268,3,2,102,2.12,124.4,3,101,,18.67,0,0,0,,15.94,21.39
96WN00552, 96042812,96,A2812,04,2,ch,31,j.8,8,2,1,1.0,1,1,H,89,222,133,3,8.6,66,85,0.574,78,1,1,,,2,h,j.7,,T4345,44,A2327,04,ch,1,,0,3,2,118,2.0,125.5,1,91,,9.51,0,0,0,,8.07,10.94
96WN00553, 96042801,96,A2801,04,1,ch,31,j.2,8,2,1,1.0,1,1,H,86,222,136,7,7.6,61,84,0.562,75,1,1,,,2,c,-CH,,A1126,04,A2322,04,ch,1,,0,3,2,86,2.0,75.0,1,88,,11.18,0,0,0,,15.46,6.89
96WN00554, 96042800,96,A2800,04,2,ch,34,j.3,5,1,1,1.0,1,1,H,86,222,136,5,9.2,59,74,0.476,66,1,1,,,2,h,j.6,,A1264,04,A2306,04,ch,1,,0,1,1,79,1.0,66.0,1,79,,10.91,0,0,0,,13.22,8.59
96WN00555, 96042803,96,A2803,04,3,88,30,e.8,5,1,1,1.0,1,1,1,87,218,131,1,11.1,63,81,0.534,75,1,1,,,0,e,-HQ,HAIRY,A1368,04,A2546,04,81,T,95,304,1,1,98,2.02,123.4,T,0,,16.63,0,0,0,,15.94,17.31
96WN00556, 96042804,96,A2804,04,2,ch,31,j.5,5,1,1,1.0,1,1,H,87,222,135,3,7.7,74,96,0.654,86,1,1,,,2,h,j.6,,A1444,04,A2270,04,ch,1,,0,1,1,103,1.0,86.0,1,102,,14.86,0,0,0,,22.82,6.89
96WN00557, 96042805,96,A2805,04,2,88,30,e.7,8,2,2,1.0,1,1,1,88,218,130,18,8.5,57,77,0.527,72,1,1,,,0,e,21,BRITCHY,A0708,04,A2243,04,82,2,92,263,5,5,102,2.12,135.2,2,97,102,17.73,0,0,0,,18.39,17.06
96WN00558, 96042806,96,A2806,04,3,88,30,e.7,8,2,2,1.0,1,1,1,88,218,130,9,8.4,49,67,0.451,62,1,1,,,0,e,,,A0708,04,A2243,04,82,3,93,268,5,5,97,2.12,135.2,3,86,,17.73,0,0,0,,18.39,17.06
96WN00559, 96042808,96,A2808,04,2,88,30,e.8,5,1,1,1.0,1,1,1,88,218,130,1,9.5,63,82,0.558,76,1,1,,,0,e,,BLK SPT BACK,A1368,04,A2358,04,81,Z,93,257,1,1,99,2.02,123.6,Z,87,,21.57,0,0,0,,15.94,27.19
96WN00560, 96042809,96,A2809,04,3,88,30,e.7,8,2,1,1.0,1,1,1,88,218,130,1,8.2,49,70,0.475,65,1,1,,,0,e,,,A0708,04,A1936,04,82,3,93,268,3,2,95,2.12,129.0,3,87,,19.57,0,0,0,,18.39,20.75
96WN00561, 96042807,96,A2807,04,2,ch,31,j.6,5,1,1,1.0,1,1,H,88,222,134,4,10.6,63,87,0.57,79,1,1,,,2,h,j.2,,T4244,44,A2302,04,ch,1,,0,1,1,95,1.0,79.0,1,94,,6.95,0,0,0,,6.54,7.36
96WN00562, 96042830,96,A2830,04,2,ch,31,j.0,8,2,2,1.0,1,1,H,92,222,130,4,5.8,46,65,0.455,60,1,1,,,2,c,j.8,RAT,T4367,44,A2323,04,ch,1,,0,5,7,106,2.0,125.0,1,72,,10.5,0,0,0,,14.1,6.89
96WN00563, 96042833,96,A2833,04,3,73,30,744,5,1,1,1.5,1,1,2,92,220,128,7,7.4,55,70,0.489,66,1,1,,,6,,-FL,IN BAND 2,A1567,04,A1535,04,73,3,93,268,1,1,92,2.02,121.6,3,83,,0.0,0,0,0,,8.42,0.0
96WN00564, 96042834,96,A2834,04,1,82,30,27,9,3,2,5.0,5,4,2,92,220,128,1,6.2,45,69,0.491,65,1,2,,,0,C,,,A1399,04,L6769,03,82,3,93,239,8,5,87,2.37,118.0,3,82,,16.91,0,0,0,,15.85,17.97
