UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
15WN00001,2015058833,15,H8833,05,1,,30,18,9,3,2,3.0,3,3,1,70,194,124,,7.0,  0,89,0.661,86,1,1,,,0,,GRN,,Small scurs,H8376,05,H7848,05,,1,93,260,8,5,,,,3,95,231,,,0.027,,,
15WN00002,2015058834,15,H8834,05,1,,30,18,9,3,2,3.0,3,3,1,70,194,124,,7.0,  0,75,0.548,73,1,1,,,0,,GRN,,Scurs,H8376,05,H7848,05,,1,93,244,8,5,,,,3,86,231,,,0.027,,,
15WN00003,2015058835,15,H8835,05,1,,30,14,8,2,2,3.0,3,3,1,71,194,123,,11.0,  0,87,0.618,85,1,1,,,0,,GRN,,PINK,H7479,05,H7516,05,,3,93,244,5,5,,,,,99,231,,,0.021,,,
15WN00004,2015058836,15,H8836,05,1,,30,14,8,2,2,3.0,3,3,1,71,194,123,,10.8,  0,89,0.636,87,1,1,,,0,,GRN,,Ugly,H7479,05,H7516,05,,1,93,260,5,5,,,,3,87,231,,,0.021,,,
15WN00005,2015058837,15,H8837,05,1,,30,17,8,2,2,2.0,2,2,1,71,194,123,,9.3,  0,75,0.534,73,1,1,,,7,,GRN,,Small scurs,H8210,05,H8410,05,,1,,,5,5,,,,,90,231,,,0.031,,,
15WN00006,2015058838,15,H8838,05,2,,30,17,8,2,2,2.0,2,2,1,71,194,123,,9.5,  0,69,0.484,68,1,1,,,7,,GRN,e5,.,H8210,05,H8410,05,,1,,,5,5,,,,,89,251,,,0.031,,,
15WN00007,2015058840,15,H8840,05,1,,30,18,9,3,2,5.0,5,5,1,71,194,123,,10.5,  0,110,0.809,108,1,1,,,0,.,GRN,,Nice,H8376,05,H5730,05,,1,,,8,4,,,,,121,231,,,0.015,,,
15WN00008,2015058841,15,H8841,05,1,,30,18,9,3,2,5.0,5,5,1,71,194,123,,8.1,  0,85,0.625,83,1,1,,,0,.,GRN,,Scurs,H8376,05,H5730,05,,1,93,260,8,7,,,,3,98,231,,,0.015,,,
15WN00009,2015058846,15,H8846,05,1,,30,17,3,4,1,2.0,2,2,1,72,194,122,,8.0,  0,53,0.369,52,1,1,,,,,GRN,,.,H8210,05,H7946,05,,3,93,244,7,2,,,,,64,231,,,0.025,,,
15WN00010,2015058849,15,H8849,05,1,,30,18,8,2,2,2.0,2,2,1,72,194,122,,11.2,  0,77,0.539,76,1,1,,,0,,,,1ST.NICE.LEFT,H8376,05,H8302,05,,3,93,244,5,5,,,,,90,231,,,0.03,,,
15WN00011,2015058850,15,H8850,05,2,,30,18,8,2,2,2.0,2,2,1,72,194,122,,11.5,  0,76,0.529,75,1,1,,,0,,,e6,2ND,H8376,05,H8302,05,,1,,,5,5,,,,,100,251,,,0.03,,,
15WN00012,2015058851,15,H8851,05,1,,30,16,9,3,2,2.0,2,2,1,72,194,122,,8.2,  0,83,0.613,82,1,1,,,,,GRN,,Scurs,H8061,05,H8209,05,,1,93,244,8,5,,,,3,96,231,,,0.032,,,
15WN00013,2015058852,15,H8852,05,1,,30,16,9,3,2,2.0,2,2,1,72,194,122,,6.7,  0,64,0.47,63,1,1,,,,,GRN,,2ND,H8061,05,H8209,05,,3,93,244,8,6,,,,,81,231,,,0.032,,,
15WN00014,2015058854,15,H8854,05,3,,30,e13,8,2,2,1.0,1,1,1,72,194,122,,9.1,  0,47,0.311,46,1,1,,,,,,,PINK,H8137,05,H8468,05,,3,93,274,5,4,,,,,77,251,,,0.018,,,
15WN00015,2015058855,15,H8855,05,3,,30,e13,8,2,2,1.0,1,1,1,72,194,122,,7.1,  0,59,0.425,58,1,1,,,,,,,.,H8137,05,H8468,05,,3,93,274,5,6,,,,,73,251,,,0.018,,,
15WN00016,2015058857,15,H8857,05,2,,30,16,8,2,1,2.0,2,2,1,72,195,123,,10.1,  0,51,0.333,50,2,1,,,0,,,,BR.EAR.TIPS,H8061,05,H8218,05,,3,93,274,3,2,,,,,72,251,,,0.032,,,
15WN00017,2015058858,15,H8858,05,2,,30,17,9,3,2,3.0,3,3,1,73,194,121,,8.3,  0,66,0.477,66,1,1,,,0,,,e5,.,H8210,05,H7467,05,,1,,,8,5,,,,,73,251,,,0.03,,,
15WN00018,2015058859,15,H8859,05,1,,30,17,9,3,2,3.0,3,3,1,73,194,121,,9.4,  0,84,0.617,83,1,1,,,0,,,,Scurs,H8210,05,H7467,05,,3,93,244,8,4,,,,,96,231,,,0.03,,,
15WN00019,2015058860,15,H8860,05,2,,30,17,9,3,1,3.0,3,3,1,73,194,121,,9.5,  0,76,0.55,76,1,1,,,0,,,e8,NICE LAMB,H8210,05,H7467,05,,1,,,7,2,,,,,98,251,,,0.03,,,
15WN00020,2015058861,15,H8861,05,1,,30,18,8,2,2,5.0,5,5,1,73,194,121,,10.9,  0,84,0.604,83,1,1,,,0,.,,,Sm. and pink,H8376,05,H6438,05,,1,93,244,5,6,,,,3,97,231,,,0.018,,,
15WN00021,2015058862,15,H8862,05,1,,30,18,8,2,2,5.0,5,5,1,73,194,121,,13.1,  0,101,0.726,100,1,1,,,0,.,,,.,H8376,05,H6438,05,,1,,,5,4,,,,,112,231,,,0.018,,,
15WN00022,2015058863,15,H8863,05,2,,30,18,5,1,1,2.0,2,2,1,73,194,121,,11.6,  0,88,0.631,87,1,1,,,0,,GRN,e6,NICE LAMB,H8376,05,H8092,05,,1,,,1,1,,,,,100,251,,,0.034,,,
15WN00023,2015058864,15,H8864,05,1,,30,14,8,2,2,4.0,4,4,1,73,194,121,,11.5,  0,94,0.682,93,1,1,,,0,.,.,,NICE LAMB,H7479,05,H7103,05,,3,93,244,5,5,,,,,108,231,,,0.024,,,
15WN00024,2015058865,15,H8865,05,1,,30,14,8,2,2,4.0,4,4,1,73,195,122,,13.4,  0,87,0.603,86,1,1,,,0,.,.,,NICE LAMB,H7479,05,H7103,05,,1,,,5,5,,,,,92,231,,,0.024,,,
15WN00025,2015058866,15,H8866,05,2,,30,14,9,3,2,5.0,5,5,1,73,194,121,,6.6,  0,67,0.499,66,1,1,,,0,.,,e5,.,H7479,05,H6116,05,,1,,,8,6,,,,,85,251,,,0.022,,,
15WN00026,2015058867,15,H8867,05,2,,30,14,9,3,2,5.0,5,5,1,73,194,121,,8.1,  0,74,0.545,74,1,1,,,0,.,,,O'dByMistake,H7479,05,H6116,05,,1,93,274,8,5,,,,3,88,251,,,0.022,,,
15WN00027,2015058868,15,H8868,05,3,,30,15,8,2,2,3.0,3,3,1,73,194,121,,8.9,  0,52,0.356,52,1,1,,,0,,GRN,,.,H7809,05,H7621,05,,3,93,274,5,6,,,,,72,251,,,0.018,,,
15WN00028,2015058869,15,H8869,05,3,,30,15,8,2,2,3.0,3,3,1,73,194,121,,12.0,  0,70,0.479,69,1,1,,,0,,GRN,,.,H7809,05,H7621,05,,3,93,274,5,4,,,,,96,251,,,0.018,,,
15WN00029,2015058870,15,H8870,05,1,,30,17,9,3,1,5.0,5,5,1,73,194,121,,9.5,  0,59,0.409,59,1,1,,,0,.,GRN,,2ND,H8210,05,H5760,05,,3,93,244,7,2,,,,,69,231,,,0.028,,,
