UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
88WN03023, 88806064,88,80,X6064,2,58,58,  9,2,1,3,2,1.0,1,1,2,99,130,7,46,57,403, 8, 3,10, 8, 37,,6,7,1,1,1,116,198,1124,93,45,,7,0000,19,4831,80,,53,343,47,3,60
88WN03024, 88806065,88,80,X6065,1,97,97,197,3,1,7,2,6.0,6,4,5,99,118,4,134,88,632,,,,,,,,,4,6,,,200,1325,,,,7,0022,97,2471,97,,89,,,1,105
88WN03025, 88806066,88,80,X6066,3,97,97,197,3,1,7,2,6.0,6,4,8,99,118,8,118,106,798,,,,,,,,,,6,,,200,1325,93,,,7,0022,97,2471,97,,108,,,3,118
88WN03026, 88806068,88,80,X6068,1,65,56,612,4,3,0,8,5.0,5,4,3,99,125,8,82,67,470, 7, 2,10, 8, 47,192,5,6,2,1,1,155,226,1251,93,,,,2854,63,5539,94,,65,537,64,3,78
88WN03027, 88806069,88,80,X6069,1,65,56,612,4,3,0,8,5.0,5,4,3,99,125,18,93,76,534,10, 2, 9, 7, 52,235,6,7,2,1,2,152,226,1251,93,,,,2854,63,5539,94,,73,616,64,3,85
88WN03028, 88806070,88,80,X6070,2,65,56,612,4,1,0,2,5.0,5,4,9,99,119,3,68,73,556, 8, 3,11, 8, 47,,5,8,1,1,1,150,226,1251,93,,235,,2854,63,5539,94,,74,568,64,9,
88WN03029, 88806071,88,80,X6071,2,65,56,612,4,3,0,8,5.0,5,4,3,99,125,7,72,55,382, 6, 2,12,10, 66,,6,7,1,1,1,169,226,1251,92,,266,,2854,63,5539,94,,53,468,64,2,61
88WN03030, 88806072,88,80,X6072,2,58,58,  9,2,1,3,2,1.0,1,1,2,99,130,13,66,66,457, 7, 3, 9, 7, 42,,4,5,1,1,1,132,198,1152,92,,266,,0000,19,4233,80,,61,404,45,2,68
88WN03031, 88806073,88,80,X6073,2,58,58,  9,2,1,4,2,1.0,1,1,9,99,119,4,54,59,450, 8, 3,10, 9, 27,,5,6,1,1,1,134,198,1152,93,,235,,0000,19,4233,80,,59,491,45,9,
88WN03032, 88806074,88,80,X6074,2,54,54,  9,1,1,1,1,1.0,1,1,2,99,130,6,89,87,601, 5, 3, 9, 7, 31,,5,6,1,1,1,150,217,1137,92,,266,7,0000,19,4795,80,,81,517,16,2,88
88WN03033, 88806075,88,80,X6075,1,54,54,  9,2,1,3,2,1.0,1,1,5,99,118,3,75,71,538,,,,,,,,,,1,,0,227,1147,93,,,7,0000,19,4427,80,,72,567,16,4,
88WN03034, 88806077,88,80,X6077,3,55,55,  9,2,1,3,2,1.0,1,1,2,99,130,8,78,86,602, 7, 3, 9, 7, 38,,2,3,1,1,1,148,227,1129,93,,,,0000,19,4170,80,,80,485,46,3,97
88WN03035, 88806078,88,80,X6078,1,55,55,  9,3,1,7,2,1.0,1,1,5,99,118,4,86,74,554,,,,,,,,,,1,,0,237,1155,93,,,7,0000,19,4223,80,,75,588,46,4,
88WN03036, 88806081,88,80,X6081,3,67,56,673,2,2,5,4,8.0,8,5,2,99,130,5,85,80,550, 6, 3, 9, 7, 35,,4,5,1,1,1,156,169,1168,93,,,,3725,80,9371,93,,75,573,65,3,84
88WN03037, 88806082,88,80,X6082,2,67,56,673,2,2,5,6,8.0,8,5,2,99,130,8,65,67,465, 6, 3,10, 7, 48,,4,5,3,1,1,155,169,1168,92,,266,,3725,80,9371,93,,62,512,65,2,71
88WN03038, 88806083,88,80,X6083,3,54,54,  9,1,1,1,1,1.0,1,1,2,99,130,7,70,86,608, 9, 3, 8, 6, 47,,5,6,2,1,1,135,217,1129,93,,,,0000,19,3757,80,,80,500,14,3,92
88WN03039, 88806084,88,80,X6084,2,97,97,497,1,1,1,1,1.0,1,1,5,99,118,1,95,92,699,,,,,,,,,,6,,,100,930,,,,7,1058,80,3830,80,,93,,,1,104
88WN03040, 88806085,88,80,X6085,1,46,52,461,2,2,5,6,5.0,5,4,2,99,129,10,99,82,559, 5, 3, 9, 7, 49,260,5,6,1,1,2,170,193,1234,93,,,,4469,80,4986,94,,77,540,44,3,88
88WN03041, 88806086,88,80,X6086,1,46,52,461,2,2,5,4,5.0,5,4,2,99,129,13,119,95,644, 5, 3, 9, 7, 38,251,4,5,1,1,1,169,193,1234,,,,,4469,80,4986,94,,89,605,44,1,92
88WN03042, 88806087,88,80,X6087,1,65,56,632,2,2,5,5,9.0,9,5,2,99,129,2,114,77,509, 8, 3, 9, 7, 42,186,5,6,1,1,1,141,213,1267,93,,,,2343,63,7864,93,,72,482,64,3,83
88WN03043, 88806088,88,80,X6088,2,65,56,632,2,2,5,5,9.0,9,5,2,99,130,2,113,82,544, 8, 3,10, 8, 50,,6,7,3,1,1,157,213,1267,15,,267,,2343,63,7864,93,,77,564,64,6,80
88WN03044, 88806089,88,80,X6089,2,67,56,673,2,2,5,7,2.0,2,2,2,99,130,6,76,71,488, 6, 3,10, 7, 45,,6,7,1,1,1,158,193,1222,92,,266,,3725,80,1085,80,,66,536,67,2,75
88WN03045, 88806090,88,80,X6090,3,67,56,673,2,2,5,3,2.0,2,2,2,99,130,12,108,92,625, 7, 3, 9, 6, 50,,5,6,1,1,1,175,193,1222,93,,,,3725,80,1085,80,,86,662,67,3,100
88WN03046, 88806091,88,80,X6091,2,67,56,674,2,2,5,5,3.0,3,3,2,99,130,2,77,65,441, 5, 3, 9, 7, 76,,7,8,1,1,1,171,190,1214,92,,266,,3780,80,8570,94,,61,451,65,2,71
88WN03047, 88806092,88,80,X6092,2,67,56,674,2,2,5,5,3.0,3,3,2,99,130,13,77,70,479, 5, 3,10, 8, 50,,7,8,1,1,1,163,190,1214,92,,266,,3780,80,8570,94,,65,506,65,2,78
88WN03048, 88806093,88,80,X6093,2,67,56,671,2,2,5,5,2.0,2,2,2,99,130,7,112,88,591, 6, 3, 9, 7, 56,,5,6,2,1,1,178,210,1270,,,,,3742,80,1548,80,,82,622,67,1,90
88WN03049, 88806094,88,80,X6094,2,67,56,671,2,2,5,5,2.0,2,2,2,99,130,7,108,85,571, 8, 3, 9, 7, 52,,5,6,2,1,1,162,210,1270,,,,,3742,80,1548,80,,79,602,67,1,87
88WN03050, 88806095,88,80,X6095,2,67,56,671,3,2,8,4,4.0,4,4,2,99,130,10,106,79,526, 8, 3,10, 7, 50,,5,6,1,1,1,149,184,1247,,,,,3742,80,6876,94,,74,539,67,1,85
88WN03051, 88806096,88,80,X6096,2,67,56,671,3,2,8,6,4.0,4,4,2,99,130,11,84,78,535, 7, 3, 9, 6, 56,,6,7,1,1,1,163,184,1247,,,,,3742,80,6876,94,,73,570,67,1,81
88WN03052, 88806097,88,80,X6097,1,67,56,671,3,1,7,2,4.0,4,4,2,99,129,3,108,103,715, 5, 3, 8, 6, 43,248,3,5,1,1,1,175,184,1247,93,90,,,3742,80,6876,94,,97,645,67,3,102
88WN03053, 88806098,88,80,X6098,2,16,51,163,3,1,7,2,2.0,2,2,2,99,130,8,73,84,590, 8, 3, 9, 6, 35,,5,6,1,1,1,141,245,1118,92,,266,,5137,80,1301,80,,78,570,16,2,85
88WN03054, 88806099,88,80,X6099,2,67,56,672,2,1,3,2,6.0,6,4,2,99,130,13,68,82,578, 5, 3, 9, 6, 53,,4,5,2,1,1,164,218,1024,,,,,3692,80,3736,94,,76,546,67,1,86
88WN03055, 88806102,88,80,X6102,2,97,97,297,2,1,3,2,6.0,6,4,8,99,118,8,120,94,695,,,,,,,,,,6,,,150,1218,,,,7,6574,97,2487,97,,95,,,1,98
88WN03056, 88806103,88,80,X6103,3,54,54,  9,2,1,3,2,1.0,1,1,2,99,130,1,83,96,675, 8, 3, 9, 6, 34,,5,6,2,1,1,146,227,1149,93,,,,0000,19,4758,80,,89,551,14,3,98
88WN03057, 88806105,88,80,X6105,2,54,54,  9,2,1,3,2,1.0,1,1,2,99,130,7,45,68,488, 6, 3, 9, 7, 37,,5,6,1,1,1,134,227,1099,92,,266,,0000,19,4781,80,,63,428,14,2,72
88WN03058, 88806107,88,80,X6107,1,67,56,673,2,2,5,5,7.0,7,5,2,99,129,12,103,84,571, 6, 2, 9, 6, 48,253,5,6,2,1,1,165,218,1188,93,,,,3725,80,1463,94,,79,559,65,3,90
88WN03059, 88806108,88,80,X6108,1,67,56,673,2,2,5,5,7.0,7,5,2,99,129,8,99,100,698, 6, 3, 8, 6, 45,258,5,6,2,1,2,174,218,1188,93,,,,3725,80,1463,94,,94,680,65,5,106
88WN03060, 88806109,88,80,X6109,2,16,51,161,2,2,5,5,3.0,3,3,2,99,130,12,92,68,452, 6, 3,10, 7, 41,,2,3,1,1,1,147,226,1172,92,,266,,4827,80,9574,94,,63,477,16,2,73
88WN03061, 88806110,88,80,X6110,2,16,51,161,2,2,5,5,3.0,3,3,2,99,130,5,84,60,397, 5, 3,10, 9, 57,,6,7,1,1,1,159,226,1172,92,,266,,4827,80,9574,94,,56,412,16,2,62
88WN03062, 88806113,88,80,X6113,3,97,97,197,2,2,5,3,2.0,2,2,8,99,118,8,134,62,412,,,,,,,,,,6,,,150,1045,93,,,7,0022,97,1016,80,,63,,,3,66
88WN03063, 88806114,88,80,X6114,3,97,97,197,2,2,5,7,2.0,2,2,8,99,118,8,98,68,493,,,,,,,,,,6,,,150,1045,24,79,263,7,0022,97,1016,80,,69,,,6,73
